Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
301	0.0	#838383	Chroma	Unnamed	21003polarizer0
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	1e-05				
315	1e-05				
316	1e-05				
317	2e-05				
318	3e-05				
319	4e-05				
320	5e-05				
321	5e-05				
322	8e-05				
323	0.0001				
324	8.999999999999999e-05				
325	0.00012				
326	0.00015				
327	0.00017				
328	0.00018999999999999998				
329	0.00021999999999999998				
330	0.00023				
331	0.00024				
332	0.00027				
333	0.00026				
334	0.00026				
335	0.00029				
336	0.00028000000000000003				
337	0.00027				
338	0.00027				
339	0.00028000000000000003				
340	0.00027				
341	0.00027				
342	0.00026				
343	0.00026				
344	0.00024				
345	0.00025				
346	0.00018999999999999998				
347	0.00024				
348	0.00023				
349	0.00021999999999999998				
350	0.00023				
351	0.00023				
352	0.00023				
353	0.00023				
354	0.00023				
355	0.00021999999999999998				
356	0.00024				
357	0.00021999999999999998				
358	0.00024				
359	0.00024				
360	0.00026				
361	0.00026				
362	0.00028000000000000003				
363	0.00029				
364	0.00029				
365	0.0003				
366	0.00031				
367	0.00033				
368	0.00035000000000000005				
369	0.00035999999999999997				
370	0.00037999999999999997				
371	0.00037999999999999997				
372	0.00041				
373	0.00041				
374	0.00043				
375	0.00045				
376	0.00043999999999999996				
377	0.00046				
378	0.00047				
379	0.00049				
380	0.0005				
381	0.00049				
382	0.0005099999999999999				
383	0.00052				
384	0.00052				
385	0.00053				
386	0.00052				
387	0.00053				
388	0.00054				
389	0.00054				
390	0.00053				
391	0.00052				
392	0.00053				
393	0.00052				
394	0.00052				
395	0.0005099999999999999				
396	0.0005				
397	0.00049				
398	0.00049				
399	0.00048				
400	0.00047				
401	0.00047				
402	0.00045				
403	0.00043999999999999996				
404	0.00043				
405	0.00043				
406	0.00043				
407	0.00042				
408	0.0004				
409	0.0004				
410	0.00039				
411	0.00037999999999999997				
412	0.00037				
413	0.00037				
414	0.00035999999999999997				
415	0.00035000000000000005				
416	0.00035000000000000005				
417	0.00034				
418	0.00033				
419	0.00032				
420	0.00032				
421	0.00032				
422	0.0003				
423	0.0003				
424	0.00029				
425	0.00028000000000000003				
426	0.00028000000000000003				
427	0.00027				
428	0.00027				
429	0.00026				
430	0.00026				
431	0.00025				
432	0.00025				
433	0.00024				
434	0.00023				
435	0.00023				
436	0.00021999999999999998				
437	0.00021999999999999998				
438	0.00021				
439	0.0002				
440	0.0002				
441	0.00018999999999999998				
442	0.00018999999999999998				
443	0.00018999999999999998				
444	0.00017999999999999998				
445	0.00017999999999999998				
446	0.00017999999999999998				
447	0.00017				
448	0.00016				
449	0.00016				
450	0.00016				
451	0.00016				
452	0.00015				
453	0.00015				
454	0.00014000000000000001				
455	0.00014000000000000001				
456	0.00014000000000000001				
457	0.00014000000000000001				
458	0.00013				
459	0.00013				
460	0.00013				
461	0.00013				
462	0.00013				
463	0.00012				
464	0.00012				
465	0.00012				
466	0.00012				
467	0.00012				
468	0.00012				
469	0.00012				
470	0.00010999999999999999				
471	0.00010999999999999999				
472	0.00010999999999999999				
473	0.00010999999999999999				
474	0.00010999999999999999				
475	0.00010999999999999999				
476	0.00010999999999999999				
477	0.00010999999999999999				
478	0.00010999999999999999				
479	0.00010999999999999999				
480	0.00010999999999999999				
481	0.00010999999999999999				
482	0.00010999999999999999				
483	0.00010999999999999999				
484	0.0001				
485	0.0001				
486	0.0001				
487	0.0001				
488	0.0001				
489	0.0001				
490	0.0001				
491	0.0001				
492	0.0001				
493	0.0001				
494	0.0001				
495	0.0001				
496	0.0001				
497	0.0001				
498	8.999999999999999e-05				
499	8.999999999999999e-05				
500	8.999999999999999e-05				
501	8.999999999999999e-05				
502	8.999999999999999e-05				
503	8e-05				
504	8e-05				
505	8e-05				
506	8e-05				
507	8e-05				
508	7.000000000000001e-05				
509	7.000000000000001e-05				
510	7.000000000000001e-05				
511	7.000000000000001e-05				
512	6e-05				
513	6e-05				
514	6e-05				
515	5e-05				
516	5e-05				
517	5e-05				
518	5e-05				
519	5e-05				
520	5e-05				
521	4e-05				
522	4e-05				
523	4e-05				
524	4e-05				
525	4e-05				
526	4e-05				
527	4e-05				
528	4e-05				
529	4e-05				
530	3e-05				
531	3e-05				
532	3e-05				
533	3e-05				
534	3e-05				
535	3e-05				
536	3e-05				
537	3e-05				
538	3e-05				
539	3e-05				
540	3e-05				
