Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
301	0.0	#838383	Chroma	Unnamed	270570
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	1e-05				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	1e-05				
358	1e-05				
359	2e-05				
360	1e-05				
361	1e-05				
362	1e-05				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	1e-05				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	1e-05				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	2e-05				
449	1e-05				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	1e-05				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	1e-05				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	1e-05				
550	4e-05				
551	0.0002				
552	0.0013				
553	0.01367				
554	0.25157				
555	0.95824				
556	0.98809				
557	0.98694				
558	0.98542				
559	0.9973099999999999				
560	0.9860800000000001				
561	0.9891800000000001				
562	0.99401				
563	0.99047				
564	0.9814400000000001				
565	0.99092				
566	0.99142				
567	0.9833				
568	0.9846299999999999				
569	0.99004				
570	0.99205				
571	0.99055				
572	0.98482				
573	0.98405				
574	0.9914400000000001				
575	0.99271				
576	0.9897400000000001				
577	0.98577				
578	0.98905				
579	0.9926200000000001				
580	0.98629				
581	0.97977				
582	0.9843500000000001				
583	0.98717				
584	0.98706				
585	0.97881				
586	0.9710599999999999				
587	0.97161				
588	0.9821				
589	0.9874200000000001				
590	0.99151				
591	0.97934				
592	0.97234				
593	0.9725199999999999				
594	0.97729				
595	0.97442				
596	0.96509				
597	0.95738				
598	0.95894				
599	0.96506				
600	0.97198				
601	0.9686				
602	0.96662				
603	0.9669				
604	0.96974				
605	0.9774299999999999				
606	0.97603				
607	0.9774200000000001				
608	0.9732599999999999				
609	0.97065				
610	0.9722700000000001				
611	0.9760599999999999				
612	0.9754999999999999				
613	0.96753				
614	0.96138				
615	0.9659099999999999				
616	0.96931				
617	0.9765999999999999				
618	0.9814799999999999				
619	0.97797				
620	0.97207				
621	0.9698699999999999				
622	0.97497				
623	0.97816				
624	0.98036				
625	0.97575				
626	0.9752				
627	0.97724				
628	0.98111				
629	0.98797				
630	0.9865900000000001				
631	0.98074				
632	0.97375				
633	0.97351				
634	0.9767600000000001				
635	0.98075				
636	0.98084				
637	0.9825400000000001				
638	0.975				
639	0.96979				
640	0.9684900000000001				
641	0.97053				
642	0.97819				
643	0.97655				
644	0.97382				
645	0.96758				
646	0.96573				
647	0.96772				
648	0.97392				
649	0.97756				
650	0.98222				
651	0.9748				
652	0.9656600000000001				
653	0.9586				
654	0.9610500000000001				
655	0.96541				
656	0.9698399999999999				
657	0.96951				
658	0.9619199999999999				
659	0.9562900000000001				
660	0.95562				
661	0.9606699999999999				
662	0.9698				
663	0.97573				
664	0.9789100000000001				
665	0.96795				
666	0.9554699999999999				
667	0.9483199999999999				
668	0.95056				
669	0.96173				
670	0.96958				
671	0.9736100000000001				
672	0.9762900000000001				
673	0.97012				
674	0.96651				
675	0.96478				
676	0.9729800000000001				
677	0.97479				
678	0.96993				
679	0.9572499999999999				
680	0.95167				
681	0.95365				
682	0.96051				
683	0.97053				
684	0.9647199999999999				
685	0.95134				
686	0.9404				
687	0.94231				
688	0.93836				
689	0.91927				
690	0.8791599999999999				
691	0.84784				
692	0.8514400000000001				
693	0.8709399999999999				
694	0.86354				
695	0.8823099999999999				
696	0.496				
697	0.23436				
698	0.03016				
699	0.00831				
700	0.00228				
701	0.0007599999999999999				
702	0.00029				
703	0.00012				
704	6e-05				
705	3e-05				
706	2e-05				
707	1e-05				
708	1e-05				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	0.0				
