Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	1e-05	#838383	Chroma	Unnamed	AT450lp
301	1e-05				
302	1e-05				
303	2e-05				
304	1e-05				
305	1e-05				
306	1e-05				
307	1e-05				
308	1e-05				
309	1e-05				
310	1e-05				
311	1e-05				
312	1e-05				
313	1e-05				
314	1e-05				
315	1e-05				
316	1e-05				
317	0.0				
318	1e-05				
319	1e-05				
320	1e-05				
321	1e-05				
322	1e-05				
323	1e-05				
324	2e-05				
325	2e-05				
326	2e-05				
327	2e-05				
328	2e-05				
329	3e-05				
330	3e-05				
331	3e-05				
332	3e-05				
333	3e-05				
334	3e-05				
335	2e-05				
336	1e-05				
337	1e-05				
338	1e-05				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	1e-05				
442	2e-05				
443	5e-05				
444	0.00016				
445	0.0005				
446	0.00181				
447	0.00764				
448	0.03862				
449	0.20292000000000002				
450	0.63927				
451	0.91244				
452	0.9296599999999999				
453	0.9335				
454	0.9347				
455	0.9345699999999999				
456	0.92927				
457	0.9328700000000001				
458	0.93325				
459	0.93489				
460	0.9340900000000001				
461	0.93801				
462	0.9355100000000001				
463	0.93527				
464	0.94105				
465	0.9388299999999999				
466	0.93952				
467	0.9395				
468	0.93414				
469	0.93878				
470	0.93556				
471	0.93462				
472	0.93536				
473	0.9362999999999999				
474	0.93707				
475	0.93876				
476	0.9380200000000001				
477	0.9337000000000001				
478	0.93609				
479	0.93203				
480	0.93566				
481	0.93132				
482	0.9372400000000001				
483	0.93906				
484	0.93953				
485	0.9384600000000001				
486	0.94105				
487	0.9399				
488	0.9375				
489	0.93831				
490	0.94052				
491	0.93983				
492	0.9383199999999999				
493	0.9403100000000001				
494	0.9399500000000001				
495	0.94024				
496	0.93616				
497	0.9362900000000001				
498	0.93676				
499	0.93529				
500	0.9342100000000001				
501	0.93502				
502	0.93826				
503	0.93768				
504	0.9371299999999999				
505	0.93742				
506	0.93669				
507	0.93621				
508	0.93498				
509	0.93375				
510	0.93186				
511	0.92549				
512	0.92116				
513	0.9162300000000001				
514	0.91526				
515	0.91637				
516	0.9150100000000001				
517	0.91781				
518	0.9174				
519	0.9219799999999999				
520	0.92585				
521	0.92979				
522	0.92989				
523	0.93294				
524	0.93458				
525	0.93585				
526	0.9359000000000001				
527	0.93793				
528	0.9337000000000001				
529	0.93554				
530	0.93513				
531	0.93635				
532	0.93176				
533	0.93467				
534	0.93604				
535	0.9398099999999999				
536	0.9401999999999999				
537	0.93899				
538	0.93934				
539	0.94025				
540	0.93994				
541	0.9423				
542	0.93946				
543	0.94056				
544	0.93694				
545	0.93539				
546	0.93313				
547	0.9326300000000001				
548	0.9323699999999999				
549	0.9319700000000001				
550	0.93109				
551	0.93191				
552	0.92931				
553	0.93348				
554	0.93741				
555	0.93743				
556	0.9382699999999999				
557	0.9389700000000001				
558	0.93919				
559	0.9368500000000001				
560	0.9381				
561	0.93637				
562	0.93482				
563	0.9333199999999999				
564	0.93242				
565	0.92672				
566	0.9266800000000001				
567	0.92388				
568	0.92298				
569	0.92119				
570	0.91794				
571	0.91659				
572	0.9194499999999999				
573	0.9229999999999999				
574	0.92857				
575	0.92681				
576	0.92838				
577	0.93124				
578	0.93176				
579	0.93298				
580	0.93676				
581	0.9373600000000001				
582	0.9360200000000001				
583	0.93343				
584	0.93594				
585	0.9351600000000001				
586	0.93341				
587	0.93169				
588	0.93078				
589	0.92785				
590	0.93057				
591	0.92598				
592	0.92816				
593	0.9284300000000001				
594	0.92727				
595	0.9300700000000001				
596	0.92527				
597	0.92935				
598	0.9294899999999999				
599	0.93137				
600	0.93214				
601	0.92975				
602	0.9319299999999999				
603	0.93254				
604	0.93121				
605	0.93187				
606	0.9301200000000001				
607	0.9295				
608	0.92927				
609	0.92791				
610	0.9284600000000001				
611	0.92548				
612	0.92262				
613	0.92262				
614	0.92381				
615	0.9242				
616	0.92239				
617	0.9253199999999999				
618	0.92176				
619	0.92582				
620	0.92368				
621	0.92342				
622	0.9251				
623	0.92341				
624	0.92622				
625	0.92995				
626	0.92877				
627	0.92803				
628	0.92826				
629	0.9276800000000001				
630	0.92533				
631	0.92592				
632	0.9270999999999999				
633	0.9245399999999999				
634	0.92449				
635	0.92257				
636	0.9243399999999999				
637	0.92047				
638	0.9232899999999999				
639	0.92199				
640	0.9200400000000001				
641	0.9233				
642	0.9243899999999999				
643	0.9218600000000001				
644	0.9258				
645	0.92458				
646	0.9257599999999999				
647	0.92687				
648	0.9255200000000001				
649	0.9279900000000001				
650	0.92913				
651	0.93024				
652	0.9303400000000001				
653	0.93207				
654	0.92908				
655	0.92739				
656	0.9278700000000001				
657	0.92824				
658	0.92771				
659	0.92789				
660	0.92455				
661	0.92523				
662	0.92289				
663	0.92157				
664	0.91985				
665	0.91853				
666	0.92109				
667	0.91786				
668	0.91718				
669	0.91758				
670	0.9181100000000001				
671	0.91696				
672	0.9181100000000001				
673	0.91696				
674	0.9185500000000001				
675	0.9215300000000001				
676	0.9240999999999999				
677	0.92306				
678	0.9220999999999999				
679	0.92336				
680	0.92128				
681	0.92714				
682	0.9267799999999999				
683	0.92818				
684	0.92652				
685	0.92758				
686	0.92786				
687	0.9267400000000001				
688	0.92559				
689	0.9239799999999999				
690	0.92363				
691	0.9209				
692	0.91881				
693	0.9179200000000001				
694	0.9197799999999999				
695	0.9174				
696	0.90959				
697	0.91167				
698	0.91045				
699	0.909				
700	0.91137				
701	0.90886				
702	0.90659				
703	0.90866				
704	0.90563				
705	0.9136				
706	0.9107299999999999				
707	0.91092				
708	0.91047				
709	0.91336				
710	0.91167				
711	0.91634				
712	0.9172199999999999				
713	0.91943				
714	0.91824				
715	0.92238				
716	0.9205200000000001				
717	0.9152				
718	0.92449				
719	0.92502				
720	0.92081				
721	0.9235800000000001				
722	0.92049				
723	0.9222199999999999				
724	0.91631				
725	0.9207599999999999				
726	0.9199200000000001				
727	0.91184				
728	0.91499				
729	0.9152899999999999				
730	0.90889				
731	0.90899				
732	0.90452				
733	0.9056000000000001				
734	0.90957				
735	0.90429				
736	0.90735				
737	0.9022199999999999				
738	0.90128				
739	0.90346				
740	0.90293				
741	0.89764				
742	0.8973399999999999				
743	0.89649				
744	0.8981				
745	0.89523				
746	0.90373				
747	0.91025				
748	0.9085599999999999				
749	0.9040900000000001				
750	0.90184				
751	0.9089700000000001				
752	0.90593				
753	0.9024899999999999				
754	0.90862				
755	0.91011				
756	0.9041899999999999				
757	0.90886				
758	0.91164				
759	0.90902				
760	0.90507				
761	0.90616				
762	0.9125				
763	0.9092100000000001				
764	0.90374				
765	0.90254				
766	0.90512				
767	0.90129				
768	0.8975799999999999				
769	0.89971				
770	0.90231				
771	0.91027				
772	0.89091				
773	0.89629				
774	0.90524				
775	0.90148				
776	0.8985				
777	0.8931600000000001				
778	0.89437				
779	0.89916				
780	0.9003				
781	0.90106				
782	0.90098				
783	0.89319				
784	0.89766				
785	0.90781				
786	0.9011199999999999				
787	0.90393				
788	0.90648				
789	0.91351				
790	0.9113				
791	0.9033				
792	0.91054				
