Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.13968999999999998	#838383	Chroma	Unnamed	AT515DC
351	0.17651				
352	0.21079				
353	0.23317				
354	0.24087				
355	0.25322				
356	0.28931999999999997				
357	0.32327				
358	0.3196				
359	0.30920000000000003				
360	0.35162				
361	0.4236				
362	0.44347000000000003				
363	0.40253				
364	0.38543				
365	0.43307				
366	0.50866				
367	0.52276				
368	0.48488				
369	0.47304999999999997				
370	0.48475999999999997				
371	0.44622				
372	0.39299				
373	0.39722				
374	0.41577				
375	0.39837000000000006				
376	0.37819				
377	0.38965000000000005				
378	0.37052999999999997				
379	0.27013000000000004				
380	0.15105000000000002				
381	0.06597				
382	0.02281				
383	0.00968				
384	0.0053300000000000005				
385	0.00445				
386	0.00685				
387	0.02675				
388	0.09327999999999999				
389	0.10234				
390	0.042679999999999996				
391	0.01171				
392	0.01463				
393	0.02903				
394	0.032780000000000004				
395	0.01703				
396	0.005430000000000001				
397	0.00321				
398	0.00383				
399	0.00782				
400	0.01169				
401	0.009399999999999999				
402	0.004				
403	0.00151				
404	0.00121				
405	0.0014099999999999998				
406	0.00315				
407	0.00483				
408	0.00454				
409	0.00222				
410	0.00116				
411	0.0008500000000000001				
412	0.0012				
413	0.00115				
414	0.0020599999999999998				
415	0.0037099999999999998				
416	0.0034200000000000003				
417	0.00188				
418	0.0008500000000000001				
419	0.00047				
420	0.0007000000000000001				
421	0.0008500000000000001				
422	0.00132				
423	0.00261				
424	0.0028799999999999997				
425	0.0022				
426	0.00115				
427	0.0005600000000000001				
428	0.00013				
429	0.00054				
430	0.0007000000000000001				
431	0.00154				
432	0.0030299999999999997				
433	0.00309				
434	0.0019				
435	0.00096				
436	0.0005600000000000001				
437	0.00066				
438	0.0008				
439	0.00121				
440	0.00218				
441	0.00333				
442	0.0032600000000000003				
443	0.00167				
444	0.00095				
445	0.00061				
446	0.00064				
447	0.00109				
448	0.00154				
449	0.00316				
450	0.00542				
451	0.00504				
452	0.00272				
453	0.00111				
454	0.00096				
455	0.00109				
456	0.00108				
457	0.00179				
458	0.00475				
459	0.00884				
460	0.00767				
461	0.00321				
462	0.00133				
463	0.00082				
464	0.00073				
465	0.00164				
466	0.006500000000000001				
467	0.01131				
468	0.00769				
469	0.00168				
470	0.00037				
471	0.0002				
472	0.00017				
473	0.00021				
474	0.00021				
475	0.00021				
476	0.00026				
477	0.0002				
478	0.00017				
479	3e-05				
480	7.000000000000001e-05				
481	0.00017				
482	7.000000000000001e-05				
483	0.00010999999999999999				
484	6e-05				
485	0.00013				
486	0.00018999999999999998				
487	0.00017				
488	0.00017				
489	0.00017999999999999998				
490	0.00018999999999999998				
491	0.00028000000000000003				
492	0.00026				
493	0.00035999999999999997				
494	0.0005				
495	0.00066				
496	0.0009				
497	0.00128				
498	0.0017499999999999998				
499	0.00251				
500	0.00315				
501	0.0041199999999999995				
502	0.00538				
503	0.00734				
504	0.010509999999999999				
505	0.01587				
506	0.02617				
507	0.04650000000000001				
508	0.0863				
509	0.16081				
510	0.2551				
511	0.35146				
512	0.41808999999999996				
513	0.43984				
514	0.45098999999999995				
515	0.48639000000000004				
516	0.57175				
517	0.71454				
518	0.8368800000000001				
519	0.91061				
520	0.93321				
521	0.9355800000000001				
522	0.9336199999999999				
523	0.9323600000000001				
524	0.93413				
525	0.93683				
526	0.93864				
527	0.9383499999999999				
528	0.9384600000000001				
529	0.9379000000000001				
530	0.93784				
531	0.9381999999999999				
532	0.93906				
533	0.93977				
534	0.93964				
535	0.9392199999999999				
536	0.93918				
537	0.93768				
538	0.93861				
539	0.93938				
540	0.93906				
541	0.93867				
542	0.9391200000000001				
543	0.93994				
544	0.9399500000000001				
545	0.94018				
546	0.94021				
547	0.9407599999999999				
548	0.94023				
549	0.9404699999999999				
550	0.94095				
551	0.941				
552	0.94109				
553	0.94199				
554	0.9427800000000001				
555	0.94402				
556	0.94525				
557	0.9453900000000001				
558	0.9457599999999999				
559	0.9443				
560	0.94191				
561	0.93964				
562	0.93692				
563	0.9357099999999999				
564	0.93514				
565	0.93527				
566	0.93695				
567	0.93887				
568	0.9412999999999999				
569	0.94289				
570	0.9438599999999999				
571	0.94411				
572	0.9431499999999999				
573	0.94069				
574	0.93826				
575	0.9362999999999999				
576	0.93414				
577	0.93257				
578	0.93239				
579	0.93351				
580	0.93521				
581	0.93723				
582	0.9401999999999999				
583	0.94231				
584	0.9442				
585	0.94475				
586	0.94318				
587	0.93958				
588	0.93503				
589	0.9339700000000001				
590	0.9289499999999999				
591	0.9259499999999999				
592	0.92416				
593	0.92367				
594	0.9245699999999999				
595	0.92609				
596	0.9296899999999999				
597	0.9317799999999999				
598	0.9357800000000001				
599	0.93805				
600	0.94134				
601	0.94505				
