Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
363	0.00017	#838383	Chroma	1931 Std. Obs. x-bar function	CIE 1931 Std. Obs. x-bar function
364	0.00018999999999999998				
365	0.00021999999999999998				
366	0.00025				
367	0.00028000000000000003				
368	0.00031				
369	0.00035000000000000005				
370	0.00039				
371	0.00043999999999999996				
372	0.00049				
373	0.00055				
374	0.00062				
375	0.0007000000000000001				
376	0.0008				
377	0.00091				
378	0.0010299999999999999				
379	0.00116				
380	0.0012900000000000001				
381	0.0014099999999999998				
382	0.00155				
383	0.0017000000000000001				
384	0.00188				
385	0.0021				
386	0.0023899999999999998				
387	0.00272				
388	0.00311				
389	0.0035299999999999997				
390	0.0039900000000000005				
391	0.0044800000000000005				
392	0.00501				
393	0.005620000000000001				
394	0.00634				
395	0.0072				
396	0.00823				
397	0.009439999999999999				
398	0.01075				
399	0.012110000000000001				
400	0.013460000000000001				
401	0.01477				
402	0.01613				
403	0.017669999999999998				
404	0.01952				
405	0.02182				
406	0.02466				
407	0.02802				
408	0.03188				
409	0.03619				
410	0.04093				
411	0.0461				
412	0.05177				
413	0.058070000000000004				
414	0.06512				
415	0.07304000000000001				
416	0.08181				
417	0.09143000000000001				
418	0.10199				
419	0.11362				
420	0.12643000000000001				
421	0.14052				
422	0.15561				
423	0.17120999999999997				
424	0.18686				
425	0.20206				
426	0.21655999999999997				
427	0.23039				
428	0.24346				
429	0.25572				
430	0.2671				
431	0.27749				
432	0.28685				
433	0.29522				
434	0.30261				
435	0.30906				
436	0.31456				
437	0.31913				
438	0.32281				
439	0.32564				
440	0.32767				
441	0.32891				
442	0.32942				
443	0.3293				
444	0.32860999999999996				
445	0.32746000000000003				
446	0.32587000000000005				
447	0.32389				
448	0.32158000000000003				
449	0.31902				
450	0.31629999999999997				
451	0.31348				
452	0.31051				
453	0.3073				
454	0.30378				
455	0.29984				
456	0.29544				
457	0.29059999999999997				
458	0.28534				
459	0.27966				
460	0.27359				
461	0.26716				
462	0.26034				
463	0.253				
464	0.24501				
465	0.23623999999999998				
466	0.22658999999999999				
467	0.21625				
468	0.20548				
469	0.19457000000000002				
470	0.1838				
471	0.17331				
472	0.16307				
473	0.15306				
474	0.14327				
475	0.13369				
476	0.12436				
477	0.11531000000000001				
478	0.10657				
479	0.09812				
480	0.08997999999999999				
481	0.08213				
482	0.07461000000000001				
483	0.06747				
484	0.060759999999999995				
485	0.05452				
486	0.04878999999999999				
487	0.04354				
488	0.03872				
489	0.03426				
490	0.03012				
491	0.02626				
492	0.022719999999999997				
493	0.019459999999999998				
494	0.0165				
495	0.01383				
496	0.011439999999999999				
497	0.00933				
498	0.0075				
499	0.00592				
500	0.00461				
501	0.0035499999999999998				
502	0.0027700000000000003				
503	0.00228				
504	0.0021				
505	0.00226				
506	0.0027500000000000003				
507	0.00361				
508	0.00487				
509	0.00657				
510	0.00875				
511	0.011430000000000001				
512	0.01462				
513	0.01832				
514	0.02257				
515	0.02738				
516	0.03275				
517	0.03869				
518	0.045149999999999996				
519	0.0521				
520	0.05953				
521	0.0674				
522	0.0757				
523	0.08442999999999999				
524	0.09356999999999999				
525	0.10311				
526	0.11305				
527	0.12335000000000002				
528	0.13394				
529	0.14475				
530	0.15571				
531	0.16677				
532	0.17795000000000002				
533	0.18925999999999998				
534	0.20074000000000003				
535	0.21239				
536	0.22422				
537	0.23620999999999998				
538	0.24837				
539	0.2607				
540	0.27321				
541	0.28591				
542	0.29878				
543	0.31182				
544	0.32504				
545	0.33841				
546	0.35194000000000003				
547	0.36564				
548	0.3795				
549	0.39354999999999996				
550	0.4078				
551	0.42223				
552	0.43685				
553	0.45165				
554	0.46662				
555	0.48174				
556	0.49703				
557	0.51245				
558	0.52799				
559	0.54362				
560	0.55931				
561	0.57504				
562	0.5908100000000001				
563	0.6065999999999999				
564	0.62241				
565	0.63825				
566	0.6540900000000001				
567	0.6699200000000001				
568	0.68569				
569	0.70139				
570	0.71699				
571	0.73246				
572	0.7477800000000001				
573	0.7629300000000001				
574	0.77789				
575	0.79264				
576	0.80716				
577	0.8214100000000001				
578	0.8353400000000001				
579	0.84891				
580	0.8620699999999999				
581	0.87477				
582	0.887				
583	0.89874				
584	0.90997				
585	0.9206799999999999				
586	0.9308299999999999				
587	0.9403900000000001				
588	0.9493699999999999				
589	0.95776				
590	0.96556				
591	0.9727800000000001				
592	0.97937				
593	0.98521				
594	0.9901800000000001				
595	0.9941599999999999				
596	0.9970699999999999				
597	0.99896				
598	0.9998999999999999				
599	1.0				
600	0.99933				
601	0.9979600000000001				
602	0.9958				
603	0.99277				
604	0.9887699999999999				
605	0.98371				
606	0.9775400000000001				
607	0.97032				
608	0.96214				
609	0.95309				
610	0.94326				
611	0.93269				
612	0.92137				
613	0.90929				
614	0.89645				
615	0.88286				
616	0.86855				
617	0.85355				
618	0.8378				
619	0.8212600000000001				
620	0.80388				
621	0.78566				
622	0.7667100000000001				
623	0.7471800000000001				
624	0.72721				
625	0.70693				
626	0.6864				
627	0.66571				
628	0.6450199999999999				
629	0.62452				
630	0.60438				
631	0.58473				
632	0.56554				
633	0.54671				
634	0.52817				
635	0.50983				
636	0.49167				
637	0.47374000000000005				
638	0.45604999999999996				
639	0.4386				
640	0.42139000000000004				
641	0.40442				
642	0.38771				
643	0.37128999999999995				
644	0.35519				
645	0.33945000000000003				
646	0.32406999999999997				
647	0.30907				
648	0.29449000000000003				
649	0.28036				
650	0.26672				
651	0.25359000000000004				
652	0.24096				
653	0.2288				
654	0.21707				
655	0.20576				
656	0.19484				
657	0.18433				
658	0.17421				
659	0.16448000000000002				
660	0.15514				
661	0.14617000000000002				
662	0.13757999999999998				
663	0.12935				
664	0.1215				
665	0.11403				
666	0.10691				
667	0.10016				
668	0.09379				
669	0.08781				
670	0.08223000000000001				
671	0.07705000000000001				
672	0.07226				
673	0.06781				
674	0.06368				
675	0.05984				
676	0.05627				
677	0.05295				
678	0.04984				
679	0.04687				
680	0.044000000000000004				
681	0.04119				
682	0.03846				
683	0.03582				
684	0.03331				
685	0.030950000000000002				
686	0.028759999999999997				
687	0.026699999999999998				
688	0.02479				
689	0.023010000000000003				
690	0.02136				
691	0.01984				
692	0.01844				
693	0.017159999999999998				
694	0.01598				
695	0.0149				
696	0.013919999999999998				
697	0.013009999999999999				
698	0.01218				
699	0.01141				
700	0.01069				
701	0.01				
702	0.00935				
703	0.00874				
704	0.00817				
705	0.0076300000000000005				
706	0.00713				
707	0.006670000000000001				
708	0.00624				
709	0.005829999999999999				
710	0.00545				
711	0.00509				
712	0.00475				
713	0.00444				
714	0.00414				
715	0.00387				
716	0.00361				
717	0.00336				
718	0.00314				
719	0.00293				
720	0.0027300000000000002				
721	0.00254				
722	0.0023699999999999997				
723	0.00221				
724	0.00207				
725	0.00193				
726	0.0018				
727	0.00168				
728	0.00156				
729	0.00145				
730	0.00135				
731	0.00126				
732	0.00117				
733	0.00109				
734	0.00101				
735	0.00094				
736	0.0008699999999999999				
737	0.0008100000000000001				
738	0.00075				
739	0.0007000000000000001				
740	0.00065				
741	0.0006				
742	0.0005600000000000001				
743	0.00052				
744	0.00048				
745	0.00045				
746	0.00042				
747	0.00039				
748	0.00035999999999999997				
749	0.00034				
750	0.00031				
751	0.00029				
752	0.00027				
753	0.00025				
754	0.00024				
755	0.00021999999999999998				
756	0.00021				
757	0.00018999999999999998				
758	0.00017999999999999998				
759	0.00017				
760	0.00016				
761	0.00015				
762	0.00014000000000000001				
763	0.00013				
764	0.00012				
765	0.00010999999999999999				
766	0.0001				
767	0.0001				
768	8.999999999999999e-05				
769	8e-05				
770	8e-05				
771	7.000000000000001e-05				
772	7.000000000000001e-05				
773	6e-05				
774	6e-05				
775	6e-05				
776	5e-05				
777	5e-05				
778	4e-05				
779	4e-05				
780	4e-05				
781	4e-05				
782	3e-05				
783	3e-05				
784	3e-05				
785	3e-05				
786	3e-05				
787	2e-05				
788	2e-05				
789	2e-05				
790	2e-05				
791	2e-05				
792	2e-05				
793	2e-05				
794	1e-05				
795	1e-05				
796	1e-05				
797	1e-05				
798	1e-05				
799	1e-05				
800	1e-05				
801	1e-05				
802	1e-05				
803	1e-05				
804	1e-05				
805	1e-05				
806	1e-05				
807	1e-05				
808	1e-05				
809	1e-05				
810	0.0				
811	0.0				
812	0.0				
813	0.0				
814	0.0				
815	0.0				
816	0.0				
817	0.0				
818	0.0				
819	0.0				
820	0.0				
821	0.0				
822	0.0				
823	0.0				
824	0.0				
825	0.0				
826	0.0				
827	0.0				
828	0.0				
829	0.0				
830	0.0				
831	0.0				
