Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	ET645/75m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.0				
600	0.0				
601	0.0				
602	1e-05				
603	4e-05				
604	0.00024				
605	0.0018599999999999999				
606	0.02104				
607	0.28585				
608	0.8340000000000001				
609	0.93652				
610	0.9826				
611	0.9880800000000001				
612	0.9835299999999999				
613	0.9763299999999999				
614	0.96811				
615	0.9654200000000001				
616	0.96951				
617	0.97822				
618	0.9876600000000001				
619	0.99206				
620	0.98911				
621	0.98206				
622	0.9784900000000001				
623	0.98209				
624	0.98925				
625	0.9918300000000001				
626	0.9868899999999999				
627	0.9773499999999999				
628	0.97113				
629	0.9729000000000001				
630	0.9806199999999999				
631	0.98921				
632	0.99158				
633	0.9876699999999999				
634	0.98057				
635	0.97687				
636	0.9791500000000001				
637	0.98426				
638	0.9903400000000001				
639	0.9919100000000001				
640	0.98942				
641	0.98577				
642	0.98382				
643	0.98548				
644	0.9898399999999999				
645	0.99367				
646	0.99407				
647	0.9908				
648	0.98638				
649	0.98276				
650	0.9827400000000001				
651	0.9859600000000001				
652	0.9904000000000001				
653	0.9929300000000001				
654	0.9933				
655	0.99047				
656	0.9879300000000001				
657	0.9858				
658	0.98625				
659	0.98897				
660	0.9918				
661	0.99361				
662	0.9933700000000001				
663	0.99055				
664	0.98458				
665	0.9782500000000001				
666	0.97382				
667	0.97406				
668	0.97914				
669	0.9848699999999999				
670	0.98706				
671	0.98343				
672	0.97762				
673	0.9781399999999999				
674	0.98551				
675	0.9933299999999999				
676	0.99031				
677	0.98662				
678	0.99119				
679	0.98322				
680	0.9292				
681	0.6995600000000001				
682	0.22915				
683	0.03405				
684	0.005849999999999999				
685	0.00116				
686	0.00029				
687	8e-05				
688	3e-05				
689	1e-05				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	0.0				
737	0.0				
738	0.0				
739	0.0				
740	0.0				
741	0.0				
742	0.0				
743	0.0				
744	0.0				
745	0.0				
746	0.0				
747	0.0				
748	0.0				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	0.0				
754	0.0				
755	0.0				
756	0.0				
757	0.0				
758	0.0				
759	0.0				
760	0.0				
761	0.0				
762	0.0				
763	0.0				
764	0.0				
765	0.0				
766	0.0				
767	0.0				
768	0.0				
769	0.0				
770	0.0				
771	0.0				
772	0.0				
773	0.0				
774	0.0				
775	0.0				
776	0.0				
777	0.0				
778	0.0				
779	0.0				
780	0.0				
781	0.0				
782	0.0				
783	0.0				
784	0.0				
785	0.0				
786	0.0				
787	0.0				
788	0.0				
789	0.0				
790	3e-05				
791	3e-05				
792	1e-05				
793	0.0				
794	1e-05				
795	1e-05				
796	3e-05				
797	5e-05				
798	3e-05				
799	1e-05				
800	2e-05				
801	2e-05				
802	2e-05				
803	2e-05				
804	2e-05				
805	2e-05				
806	2e-05				
807	2e-05				
808	2e-05				
809	2e-05				
810	2e-05				
811	2e-05				
812	1e-05				
813	1e-05				
814	1e-05				
815	1e-05				
816	1e-05				
817	1e-05				
818	1e-05				
819	1e-05				
820	1e-05				
821	1e-05				
822	1e-05				
823	1e-05				
824	1e-05				
825	1e-05				
826	1e-05				
827	1e-05				
828	1e-05				
829	1e-05				
830	0.0				
831	0.0				
832	0.0				
833	0.0				
834	0.0				
835	0.0				
836	0.0				
837	0.0				
838	0.0				
839	0.0				
840	0.0				
841	0.0				
842	0.0				
843	0.0				
844	0.0				
845	0.0				
846	0.0				
847	0.0				
848	0.0				
849	0.0				
850	0.0				
851	0.0				
852	0.0				
853	0.0				
854	0.0				
855	0.0				
856	0.0				
857	0.0				
858	0.0				
859	0.0				
860	0.0				
861	0.0				
862	0.0				
863	0.0				
864	0.0				
865	0.0				
866	0.0				
867	0.0				
868	0.0				
869	0.0				
870	0.0				
871	0.0				
872	0.0				
873	0.0				
874	0.0				
875	0.0				
876	0.0				
877	0.0				
878	0.0				
879	0.0				
880	0.0				
881	0.0				
882	0.0				
883	0.0				
884	0.0				
885	0.0				
886	0.0				
887	0.0				
888	0.0				
889	0.0				
890	0.0				
891	0.0				
892	0.0				
893	1e-05				
894	1e-05				
895	1e-05				
896	1e-05				
897	1e-05				
898	1e-05				
899	1e-05				
900	2e-05				
901	2e-05				
902	2e-05				
903	2e-05				
904	3e-05				
905	3e-05				
906	3e-05				
907	3e-05				
908	4e-05				
909	4e-05				
910	4e-05				
911	5e-05				
912	5e-05				
913	6e-05				
914	6e-05				
915	7.000000000000001e-05				
916	7.000000000000001e-05				
917	8e-05				
918	8e-05				
919	8.999999999999999e-05				
920	8.999999999999999e-05				
921	0.0001				
922	0.0001				
923	0.00010999999999999999				
924	0.00010999999999999999				
925	0.00010999999999999999				
926	0.00012				
927	0.00012				
928	0.00012				
929	0.00012				
930	0.00013				
931	0.00013				
932	0.00013				
933	0.00013				
934	0.00014000000000000001				
935	0.00014000000000000001				
936	0.00014000000000000001				
937	0.00015				
938	0.00016				
939	0.00016				
940	0.00017				
941	0.00017999999999999998				
942	0.00018999999999999998				
943	0.0002				
944	0.00021999999999999998				
945	0.00024				
946	0.00026				
947	0.00029				
948	0.00031				
949	0.00035000000000000005				
950	0.00039				
951	0.00043				
952	0.00049				
953	0.0005600000000000001				
954	0.00063				
955	0.0007199999999999999				
956	0.00083				
957	0.00095				
958	0.0011				
959	0.00126				
960	0.00145				
961	0.00167				
962	0.00192				
963	0.00218				
964	0.00247				
965	0.0027800000000000004				
966	0.00309				
967	0.0034200000000000003				
968	0.00375				
969	0.004079999999999999				
970	0.00443				
971	0.0047599999999999995				
972	0.00512				
973	0.0055000000000000005				
974	0.0059				
975	0.00637				
976	0.00688				
977	0.00747				
978	0.008159999999999999				
979	0.00894				
980	0.00988				
981	0.01031				
982	0.011479999999999999				
983	0.0129				
984	0.014530000000000001				
985	0.01657				
986	0.01905				
987	0.022090000000000002				
988	0.02598				
989	0.03048				
990	0.035230000000000004				
991	0.03882				
992	0.03871				
993	0.033620000000000004				
994	0.025670000000000002				
995	0.01804				
996	0.012190000000000001				
997	0.00974				
998	0.006670000000000001				
999	0.00464				
1000	0.0032700000000000003				
