Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.32798	#838383	Chroma	Unnamed	KG1
301	0.34841				
302	0.36955				
303	0.39046				
304	0.41127				
305	0.43198000000000003				
306	0.45325000000000004				
307	0.47423000000000004				
308	0.49509000000000003				
309	0.51575				
310	0.53616				
311	0.55622				
312	0.57567				
313	0.59506				
314	0.61381				
315	0.63168				
316	0.65042				
317	0.66782				
318	0.6841700000000001				
319	0.70158				
320	0.71548				
321	0.7306699999999999				
322	0.74533				
323	0.7598699999999999				
324	0.77178				
325	0.7857500000000001				
326	0.7956699999999999				
327	0.80778				
328	0.81798				
329	0.82827				
330	0.8382299999999999				
331	0.84679				
332	0.8551000000000001				
333	0.8631399999999999				
334	0.8696699999999999				
335	0.87649				
336	0.8837				
337	0.88896				
338	0.89414				
339	0.89913				
340	0.9050199999999999				
341	0.90806				
342	0.9113500000000001				
343	0.91547				
344	0.91684				
345	0.92176				
346	0.9260299999999999				
347	0.9295				
348	0.93174				
349	0.9361400000000001				
350	0.93965				
351	0.94232				
352	0.94637				
353	0.94966				
354	0.95203				
355	0.9543699999999999				
356	0.9572700000000001				
357	0.95866				
358	0.96092				
359	0.96162				
360	0.96341				
361	0.9651900000000001				
362	0.9663299999999999				
363	0.9662999999999999				
364	0.96846				
365	0.9691200000000001				
366	0.9697100000000001				
367	0.97001				
368	0.9705400000000001				
369	0.97131				
370	0.9708199999999999				
371	0.97223				
372	0.9724200000000001				
373	0.97259				
374	0.97352				
375	0.97315				
376	0.9733799999999999				
377	0.9737300000000001				
378	0.97342				
379	0.97409				
380	0.9730200000000001				
381	0.97259				
382	0.97316				
383	0.97265				
384	0.97222				
385	0.9717600000000001				
386	0.97036				
387	0.9696899999999999				
388	0.9699599999999999				
389	0.9689				
390	0.96663				
391	0.96607				
392	0.96465				
393	0.96368				
394	0.96207				
395	0.9610500000000001				
396	0.95951				
397	0.95738				
398	0.95548				
399	0.95506				
400	0.95407				
401	0.95375				
402	0.95339				
403	0.95163				
404	0.95116				
405	0.94978				
406	0.94967				
407	0.94895				
408	0.94789				
409	0.9473				
410	0.94664				
411	0.94658				
412	0.94593				
413	0.9455100000000001				
414	0.94459				
415	0.94407				
416	0.94267				
417	0.94164				
418	0.94101				
419	0.9401600000000001				
420	0.93979				
421	0.93946				
422	0.93774				
423	0.93716				
424	0.9378700000000001				
425	0.9390999999999999				
426	0.9391700000000001				
427	0.93865				
428	0.93908				
429	0.94116				
430	0.94145				
431	0.94082				
432	0.9416500000000001				
433	0.94261				
434	0.9426399999999999				
435	0.94268				
436	0.94423				
437	0.94395				
438	0.94411				
439	0.94549				
440	0.9448399999999999				
441	0.9450700000000001				
442	0.94634				
443	0.94601				
444	0.9466				
445	0.94647				
446	0.94627				
447	0.9466800000000001				
448	0.9474800000000001				
449	0.9470399999999999				
450	0.9468300000000001				
451	0.9461499999999999				
452	0.94574				
453	0.9457599999999999				
454	0.945				
455	0.94533				
456	0.94404				
457	0.94399				
458	0.94277				
459	0.94313				
460	0.94365				
461	0.94414				
462	0.94381				
463	0.94414				
464	0.945				
465	0.94589				
466	0.94613				
467	0.94697				
468	0.94684				
469	0.94754				
470	0.94877				
471	0.94922				
472	0.95006				
473	0.95005				
474	0.95075				
475	0.9505899999999999				
476	0.95122				
477	0.95194				
478	0.9519				
479	0.9519				
480	0.95197				
481	0.95235				
482	0.95253				
483	0.9531399999999999				
484	0.95367				
485	0.9536				
486	0.9531000000000001				
487	0.95423				
488	0.95446				
489	0.95502				
490	0.95583				
491	0.9557599999999999				
492	0.95636				
493	0.95604				
494	0.95638				
495	0.95595				
496	0.95592				
497	0.95583				
498	0.95542				
499	0.95562				
500	0.9562999999999999				
501	0.95643				
502	0.95664				
503	0.9559099999999999				
504	0.95601				
505	0.95631				
506	0.95592				
507	0.95595				
508	0.95575				
509	0.95563				
510	0.9544799999999999				
511	0.95364				
512	0.95318				
513	0.9533				
514	0.9530500000000001				
515	0.9523199999999999				
516	0.9521599999999999				
517	0.95159				
518	0.95088				
519	0.95036				
520	0.95095				
521	0.95029				
522	0.9490900000000001				
523	0.94895				
524	0.9490000000000001				
525	0.9492				
526	0.9487300000000001				
527	0.9487300000000001				
528	0.9486100000000001				
529	0.94827				
530	0.94842				
531	0.94849				
532	0.9485399999999999				
533	0.94841				
534	0.9482299999999999				
535	0.9483499999999999				
536	0.9488599999999999				
537	0.9490999999999999				
538	0.9497199999999999				
539	0.94986				
540	0.95025				
541	0.95088				
542	0.95167				
543	0.95257				
544	0.9528				
545	0.9535800000000001				
546	0.95343				
547	0.95461				
548	0.9547599999999999				
549	0.9553				
550	0.95539				
551	0.95545				
552	0.95504				
553	0.95565				
554	0.95601				
555	0.95637				
556	0.9554699999999999				
557	0.95529				
558	0.9556600000000001				
559	0.9554600000000001				
560	0.95572				
561	0.95544				
562	0.95514				
563	0.95395				
564	0.9539				
565	0.9539				
566	0.9540900000000001				
567	0.9531499999999999				
568	0.95297				
569	0.95208				
570	0.95172				
571	0.95138				
572	0.9512900000000001				
573	0.95065				
574	0.95038				
575	0.94959				
576	0.94918				
577	0.9488800000000001				
578	0.94914				
579	0.94697				
580	0.94705				
581	0.94632				
582	0.9453				
583	0.94419				
584	0.94319				
585	0.94267				
586	0.9415				
587	0.9406699999999999				
588	0.9404300000000001				
589	0.93976				
590	0.93792				
591	0.93644				
592	0.9353400000000001				
593	0.93427				
594	0.9338599999999999				
595	0.9333499999999999				
596	0.93089				
597	0.92979				
598	0.9294199999999999				
599	0.92854				
600	0.92613				
601	0.92502				
602	0.9243000000000001				
603	0.92259				
604	0.9214600000000001				
605	0.92011				
606	0.9190200000000001				
607	0.91681				
608	0.91557				
609	0.91431				
610	0.9116599999999999				
611	0.9106799999999999				
612	0.90814				
613	0.90687				
614	0.90554				
615	0.90313				
616	0.90172				
617	0.9000400000000001				
618	0.89876				
619	0.89495				
620	0.89283				
621	0.89081				
622	0.88889				
623	0.8869199999999999				
624	0.88479				
625	0.88261				
626	0.88024				
627	0.8780100000000001				
628	0.8771800000000001				
629	0.8753700000000001				
630	0.87222				
631	0.8694				
632	0.86687				
633	0.8658899999999999				
634	0.86283				
635	0.85993				
636	0.85747				
637	0.85641				
638	0.8540000000000001				
639	0.85139				
640	0.84941				
641	0.8462999999999999				
642	0.84405				
643	0.84152				
644	0.83902				
645	0.83631				
646	0.83329				
647	0.83095				
648	0.82845				
649	0.82573				
650	0.8229099999999999				
651	0.8198799999999999				
652	0.8175199999999999				
653	0.81444				
654	0.81227				
655	0.80887				
656	0.80622				
657	0.80334				
658	0.8006699999999999				
659	0.79778				
660	0.79484				
661	0.79193				
662	0.78904				
663	0.78631				
664	0.7835				
665	0.78051				
666	0.77762				
667	0.77435				
668	0.77146				
669	0.76823				
670	0.76551				
671	0.76236				
672	0.75873				
673	0.7563599999999999				
674	0.75251				
675	0.7493099999999999				
676	0.74611				
677	0.7428				
678	0.7391				
679	0.73599				
680	0.73233				
681	0.72842				
682	0.72521				
683	0.7214499999999999				
684	0.71831				
685	0.71428				
686	0.71065				
687	0.7068000000000001				
688	0.7030500000000001				
689	0.69935				
690	0.69554				
691	0.6919				
692	0.68782				
693	0.68411				
694	0.6803100000000001				
695	0.6765399999999999				
696	0.6722100000000001				
697	0.66857				
698	0.66473				
699	0.66107				
700	0.6567700000000001				
701	0.65295				
702	0.6490699999999999				
703	0.6448900000000001				
704	0.64141				
705	0.6376				
706	0.63317				
707	0.62959				
708	0.62518				
709	0.6207699999999999				
710	0.61739				
711	0.61307				
712	0.60925				
713	0.6054999999999999				
714	0.60144				
715	0.59784				
716	0.593				
717	0.5895				
718	0.58549				
719	0.58132				
720	0.57763				
721	0.57379				
722	0.5697399999999999				
723	0.56568				
724	0.56162				
725	0.55776				
726	0.55357				
727	0.54933				
728	0.54603				
729	0.54173				
730	0.53735				
731	0.53379				
732	0.52985				
733	0.5257999999999999				
734	0.52181				
735	0.51835				
736	0.51397				
737	0.50997				
738	0.50563				
739	0.50157				
740	0.49782				
741	0.4938				
742	0.48959				
743	0.48588000000000003				
744	0.48107999999999995				
745	0.47787999999999997				
746	0.47377				
747	0.46968000000000004				
748	0.46597				
749	0.46192999999999995				
750	0.45781				
751	0.45408000000000004				
752	0.45017				
753	0.44612				
754	0.44268				
755	0.43837000000000004				
756	0.43451				
757	0.43058				
758	0.42686999999999997				
759	0.42247999999999997				
760	0.41851				
761	0.41459				
762	0.41072000000000003				
763	0.40677				
764	0.40279000000000004				
765	0.39902				
766	0.3951				
767	0.39092				
768	0.38758000000000004				
769	0.38384999999999997				
770	0.38032				
771	0.37634999999999996				
772	0.37188000000000004				
773	0.36869999999999997				
774	0.36516				
775	0.36094000000000004				
776	0.35700000000000004				
777	0.35329				
778	0.35				
779	0.34585				
780	0.34286				
781	0.33813000000000004				
782	0.33542				
783	0.3307				
784	0.32787999999999995				
785	0.3245				
786	0.3207				
787	0.31748				
788	0.31396999999999997				
789	0.31018				
790	0.30709				
791	0.30359				
792	0.30075				
793	0.29718				
794	0.29281				
795	0.2903				
796	0.28633				
797	0.28371999999999997				
798	0.27987				
799	0.27710999999999997				
800	0.27366				
801	0.27012				
802	0.26754				
803	0.26374				
804	0.26123				
805	0.25805				
806	0.2548				
807	0.25172				
808	0.24952000000000002				
809	0.24599000000000001				
810	0.24269				
811	0.23977				
812	0.23698				
813	0.23404				
814	0.23085999999999998				
815	0.22899				
816	0.22547				
817	0.22297				
818	0.21971				
819	0.21746				
820	0.21517				
821	0.21159				
822	0.20963				
823	0.20672000000000001				
824	0.20411				
825	0.20123000000000002				
826	0.19867				
827	0.19666				
828	0.19337				
829	0.19150999999999999				
830	0.18911999999999998				
831	0.18569				
832	0.18424				
833	0.18175999999999998				
834	0.17888				
835	0.17687				
836	0.17402				
837	0.17224				
838	0.16924				
839	0.16735				
840	0.16479				
841	0.16367				
842	0.16021999999999997				
843	0.15852				
844	0.15708				
845	0.15386				
846	0.15262				
847	0.14946				
848	0.14851				
849	0.14642				
850	0.14449				
851	0.1425				
852	0.1405				
853	0.13853				
854	0.13655				
855	0.13469				
856	0.13283				
857	0.13099				
858	0.12914				
859	0.12733				
860	0.12552				
861	0.12376				
862	0.12199				
863	0.12029				
864	0.1186				
865	0.11696				
866	0.11532				
867	0.11369				
868	0.11205				
869	0.11047000000000001				
870	0.10888				
871	0.10734				
872	0.1058				
873	0.10433999999999999				
874	0.10288				
875	0.1014				
876	0.09991				
877	0.09849999999999999				
878	0.09709				
879	0.09570000000000001				
880	0.09430999999999999				
881	0.09297000000000001				
882	0.09163				
883	0.09034				
884	0.08904				
885	0.08775000000000001				
886	0.08647				
887	0.08525				
888	0.08403000000000001				
889	0.08282				
890	0.08162000000000001				
891	0.08045				
892	0.07928				
893	0.07815				
894	0.07701				
895	0.07591				
896	0.0748				
897	0.07373				
898	0.07264999999999999				
899	0.07161				
900	0.07057000000000001				
901	0.06956999999999999				
902	0.06856				
903	0.06756999999999999				
904	0.06658				
905	0.06564				
906	0.0647				
907	0.06377				
908	0.06283				
909	0.061950000000000005				
910	0.06107				
911	0.0602				
912	0.059320000000000005				
913	0.05848				
914	0.05763				
915	0.05682				
916	0.055999999999999994				
917	0.05521				
918	0.05441				
919	0.05366				
920	0.0529				
921	0.05215				
922	0.051399999999999994				
923	0.05067				
924	0.04994				
925	0.049249999999999995				
926	0.04856				
927	0.047880000000000006				
928	0.0472				
929	0.04654				
930	0.045880000000000004				
931	0.04524				
932	0.0446				
933	0.04398				
934	0.04335				
935	0.04275				
936	0.04215				
937	0.041580000000000006				
938	0.040999999999999995				
939	0.04043				
940	0.03986				
941	0.03932				
942	0.03878				
943	0.03825				
944	0.03773				
945	0.03721				
946	0.03669				
947	0.03619				
948	0.03569				
949	0.03522				
950	0.03474				
951	0.03427				
952	0.03381				
953	0.03336				
954	0.0329				
955	0.03246				
956	0.032029999999999996				
957	0.03161				
958	0.031190000000000002				
959	0.03078				
960	0.030379999999999997				
961	0.029980000000000003				
962	0.029580000000000002				
963	0.0292				
964	0.02881				
965	0.028450000000000003				
966	0.028079999999999997				
967	0.027719999999999998				
968	0.027360000000000002				
969	0.02701				
970	0.02666				
971	0.02632				
972	0.025990000000000003				
973	0.02566				
974	0.02533				
975	0.025009999999999998				
976	0.024700000000000003				
977	0.024390000000000002				
978	0.02408				
979	0.023780000000000003				
980	0.02349				
981	0.0232				
982	0.02291				
983	0.022629999999999997				
984	0.02235				
985	0.022080000000000002				
986	0.02181				
987	0.021560000000000003				
988	0.0213				
989	0.02105				
990	0.0208				
991	0.020550000000000002				
992	0.02031				
993	0.02007				
994	0.01983				
995	0.0196				
996	0.019379999999999998				
997	0.01916				
998	0.01893				
999	0.01872				
1000	0.018500000000000003				
1001	0.0183				
1002	0.01809				
1003	0.01789				
1004	0.01768				
1005	0.017490000000000002				
1006	0.0173				
