Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	PCR565/22m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	1e-05				
549	4e-05				
550	0.00027				
551	0.0027400000000000002				
552	0.04923				
553	0.45527999999999996				
554	0.92549				
555	0.9839				
556	0.98014				
557	0.98756				
558	0.99012				
559	0.98846				
560	0.98809				
561	0.9852599999999999				
562	0.9841599999999999				
563	0.98685				
564	0.98842				
565	0.98943				
566	0.98857				
567	0.9852500000000001				
568	0.98765				
569	0.98167				
570	0.97167				
571	0.9621999999999999				
572	0.96488				
573	0.9706699999999999				
574	0.9253100000000001				
575	0.5788				
576	0.12605				
577	0.01294				
578	0.0016200000000000001				
579	0.00028000000000000003				
580	6e-05				
581	2e-05				
582	1e-05				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.0				
600	0.0				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	0.0				
737	0.0				
738	0.0				
739	0.0				
740	0.0				
741	0.0				
742	0.0				
743	0.0				
744	0.0				
745	0.0				
746	0.0				
747	0.0				
748	0.0				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	0.0				
754	0.0				
755	0.0				
756	0.0				
757	0.0				
758	0.0				
759	0.0				
760	0.0				
761	0.0				
762	1e-05				
763	1e-05				
764	2e-05				
765	6e-05				
766	0.00155				
767	0.00385				
768	0.00017999999999999998				
769	5e-05				
770	2e-05				
771	2e-05				
772	1e-05				
773	1e-05				
774	1e-05				
775	1e-05				
776	1e-05				
777	1e-05				
778	1e-05				
779	2e-05				
780	2e-05				
781	2e-05				
782	3e-05				
783	4e-05				
784	5e-05				
785	8e-05				
786	0.0001				
787	0.00015				
788	0.00023				
789	0.00034				
790	0.00053				
791	0.00079				
792	0.0011200000000000001				
793	0.00149				
794	0.00189				
795	0.0024				
796	0.00298				
797	0.00388				
798	0.00529				
799	0.00787				
800	0.06572				
801	0.07711				
802	0.09054000000000001				
803	0.1045				
804	0.1143				
805	0.11630000000000001				
806	0.11315				
807	0.10961				
808	0.10803000000000001				
809	0.10944000000000001				
810	0.11417				
811	0.12147999999999999				
812	0.13566				
813	0.16393999999999997				
814	0.21207				
815	0.28649				
816	0.39097000000000004				
817	0.51042				
818	0.5976400000000001				
819	0.61307				
820	0.56677				
821	0.49694000000000005				
822	0.43152999999999997				
823	0.38362999999999997				
824	0.35930999999999996				
825	0.3586				
826	0.37894				
827	0.41769				
828	0.47253				
829	0.5397500000000001				
830	0.61305				
831	0.6841700000000001				
832	0.7437999999999999				
833	0.78606				
834	0.80982				
835	0.81899				
836	0.8187399999999999				
837	0.81256				
838	0.80389				
839	0.7933499999999999				
840	0.78164				
841	0.76922				
842	0.7556				
843	0.7414700000000001				
844	0.72651				
845	0.70914				
846	0.68586				
847	0.65238				
848	0.60677				
849	0.54972				
850	0.48444000000000004				
851	0.41768				
852	0.35513				
853	0.30010000000000003				
854	0.25453				
855	0.21786999999999998				
856	0.18962				
857	0.16879000000000002				
858	0.15404				
859	0.14464				
860	0.14005				
861	0.13946				
862	0.14217000000000002				
863	0.14731				
864	0.15356				
865	0.15857				
866	0.15956				
867	0.15453				
868	0.14326				
869	0.12758				
870	0.11004				
871	0.09295999999999999				
872	0.07778				
873	0.06498999999999999				
874	0.054509999999999996				
875	0.046189999999999995				
876	0.03965				
877	0.03449				
878	0.030590000000000003				
879	0.02773				
880	0.02572				
881	0.02458				
882	0.024249999999999997				
883	0.024620000000000003				
884	0.025750000000000002				
885	0.02774				
886	0.03068				
887	0.03474				
888	0.04035999999999999				
889	0.048170000000000004				
890	0.05907				
891	0.07511				
892	0.10006999999999999				
893	0.14134				
894	0.21230000000000002				
895	0.33411				
896	0.51967				
897	0.70467				
898	0.74912				
899	0.62183				
900	0.0				
