Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	ZET405/488/532/642m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	2e-05				
418	0.00017999999999999998				
419	0.06981				
420	0.64362				
421	0.9477599999999999				
422	0.97113				
423	0.9729800000000001				
424	0.97336				
425	0.97115				
426	0.9575400000000001				
427	0.9556399999999999				
428	0.95272				
429	0.94667				
430	0.96025				
431	0.97225				
432	0.9558599999999999				
433	0.96089				
434	0.96247				
435	0.96695				
436	0.9718399999999999				
437	0.96722				
438	0.97354				
439	0.96515				
440	0.96824				
441	0.9768600000000001				
442	0.9760800000000001				
443	0.97232				
444	0.9685299999999999				
445	0.9626399999999999				
446	0.97336				
447	0.968				
448	0.97363				
449	0.97322				
450	0.95934				
451	0.96288				
452	0.95131				
453	0.94306				
454	0.95801				
455	0.9451999999999999				
456	0.94585				
457	0.9675199999999999				
458	0.9620099999999999				
459	0.94203				
460	0.90211				
461	0.88402				
462	0.94475				
463	0.97746				
464	0.97503				
465	0.97319				
466	0.95514				
467	0.89247				
468	0.91594				
469	0.92747				
470	0.9342400000000001				
471	0.96246				
472	0.95243				
473	0.95449				
474	0.91281				
475	0.90962				
476	0.38425				
477	0.0275				
478	0.01111				
479	0.00115				
480	4e-05				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	4e-05				
497	0.00041				
498	0.009899999999999999				
499	0.19943000000000002				
500	0.6187400000000001				
501	0.91668				
502	0.95219				
503	0.95978				
504	0.9695				
505	0.9589300000000001				
506	0.91022				
507	0.9077299999999999				
508	0.92723				
509	0.9410599999999999				
510	0.9681799999999999				
511	0.96758				
512	0.96013				
513	0.9643200000000001				
514	0.96817				
515	0.9639				
516	0.90704				
517	0.87165				
518	0.89536				
519	0.9406300000000001				
520	0.92085				
521	0.5140100000000001				
522	0.0245				
523	0.00633				
524	0.00021				
525	2e-05				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	1e-05				
546	0.00012				
547	0.00181				
548	0.06855				
549	0.50546				
550	0.85624				
551	0.96364				
552	0.96111				
553	0.9581399999999999				
554	0.95667				
555	0.9714				
556	0.97235				
557	0.96041				
558	0.95833				
559	0.9778100000000001				
560	0.9817				
561	0.96063				
562	0.95491				
563	0.96867				
564	0.9826699999999999				
565	0.98698				
566	0.98493				
567	0.98772				
568	0.98584				
569	0.97926				
570	0.96776				
571	0.96371				
572	0.9760500000000001				
573	0.97856				
574	0.95004				
575	0.91827				
576	0.92181				
577	0.95333				
578	0.97872				
579	0.9865200000000001				
580	0.9878199999999999				
581	0.9878199999999999				
582	0.98328				
583	0.9764700000000001				
584	0.97688				
585	0.98342				
586	0.98834				
587	0.98342				
588	0.98142				
589	0.9822799999999999				
590	0.9803700000000001				
591	0.97988				
592	0.9859399999999999				
593	0.99286				
594	0.99229				
595	0.99105				
596	0.99131				
597	0.97658				
598	0.94506				
599	0.93203				
600	0.9458199999999999				
601	0.97712				
602	0.98834				
603	0.9821500000000001				
604	0.97087				
605	0.9689700000000001				
606	0.9713200000000001				
607	0.97576				
608	0.98291				
609	0.9914000000000001				
610	0.99309				
611	0.99112				
612	0.98465				
613	0.96608				
614	0.96271				
615	0.9743600000000001				
616	0.9703700000000001				
617	0.91224				
618	0.87551				
619	0.90791				
620	0.95005				
621	0.89754				
622	0.71556				
623	0.23589				
624	0.02522				
625	0.0022500000000000003				
626	0.00026				
627	5e-05				
628	1e-05				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	1e-05				
660	4e-05				
661	0.0002				
662	0.0014000000000000002				
663	0.01988				
664	0.33966999999999997				
665	0.68066				
666	0.67547				
667	0.8959999999999999				
668	0.9750700000000001				
669	0.9824200000000001				
670	0.97313				
671	0.94286				
672	0.92783				
673	0.94195				
674	0.95892				
675	0.9672				
676	0.97087				
677	0.96887				
678	0.9621599999999999				
679	0.95627				
680	0.95853				
681	0.9733700000000001				
682	0.9810099999999999				
683	0.98177				
684	0.97405				
685	0.97468				
686	0.97934				
687	0.98807				
688	0.9937900000000001				
689	0.98599				
690	0.97842				
691	0.97732				
692	0.97734				
693	0.9810099999999999				
694	0.9749500000000001				
695	0.96525				
696	0.95812				
697	0.96124				
698	0.97311				
699	0.9880599999999999				
700	0.9936				
701	0.99187				
702	0.98494				
703	0.9806900000000001				
704	0.98685				
705	0.9917199999999999				
706	0.98822				
707	0.98014				
708	0.96759				
709	0.9606100000000001				
710	0.96122				
711	0.96931				
712	0.98355				
713	0.99235				
714	0.99354				
715	0.9878199999999999				
716	0.98161				
717	0.98116				
718	0.98461				
719	0.99058				
720	0.99356				
721	0.9918899999999999				
722	0.98651				
723	0.97738				
724	0.97464				
725	0.9727899999999999				
726	0.9733700000000001				
727	0.97795				
728	0.97909				
729	0.9813200000000001				
730	0.9825400000000001				
731	0.98001				
732	0.97819				
733	0.9808199999999999				
734	0.97882				
735	0.98224				
736	0.98466				
737	0.98163				
738	0.97765				
739	0.97858				
740	0.97626				
741	0.97764				
742	0.97571				
743	0.97763				
744	0.97836				
745	0.98125				
746	0.9835699999999999				
747	0.98544				
748	0.98964				
749	0.99197				
750	0.99265				
751	0.99208				
752	0.9903400000000001				
753	0.98874				
754	0.9840099999999999				
755	0.97729				
756	0.9780200000000001				
757	0.97033				
758	0.96769				
759	0.9706199999999999				
760	0.97677				
761	0.98797				
762	0.99208				
763	0.99504				
764	0.99563				
765	0.9871899999999999				
766	0.98482				
767	0.9797				
768	0.98693				
769	0.9906100000000001				
770	0.9965999999999999				
771	0.9978				
772	0.99331				
773	0.98681				
774	0.98124				
775	0.9715				
776	0.96986				
777	0.97253				
778	0.9784099999999999				
