Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	ZET488/561/635m
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.00013				
409	5e-05				
410	0.0				
411	3e-05				
412	4e-05				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	1e-05				
428	1e-05				
429	0.0016				
430	0.00092				
431	0.0				
432	0.0				
433	1e-05				
434	0.0014199999999999998				
435	0.00061				
436	0.0				
437	0.0				
438	1e-05				
439	0.00010999999999999999				
440	2e-05				
441	5e-05				
442	0.00447				
443	0.00256				
444	0.0005				
445	1e-05				
446	0.0				
447	1e-05				
448	0.00037999999999999997				
449	0.00025				
450	0.00193				
451	0.00092				
452	1e-05				
453	0.0				
454	0.0				
455	1e-05				
456	0.00106				
457	0.0035199999999999997				
458	0.0007199999999999999				
459	1e-05				
460	0.0				
461	3e-05				
462	0.0002				
463	4e-05				
464	4e-05				
465	0.00041				
466	0.00033				
467	0.01824				
468	0.0421				
469	0.01905				
470	0.0011899999999999999				
471	0.00012				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	1e-05				
498	0.00017999999999999998				
499	0.014079999999999999				
500	0.44741				
501	0.9573				
502	0.98283				
503	0.98149				
504	0.98332				
505	0.98202				
506	0.9814499999999999				
507	0.98375				
508	0.98488				
509	0.98355				
510	0.98346				
511	0.98461				
512	0.98431				
513	0.98292				
514	0.97503				
515	0.97396				
516	0.9809399999999999				
517	0.98383				
518	0.98138				
519	0.98284				
520	0.9843500000000001				
521	0.9843899999999999				
522	0.9855700000000001				
523	0.98613				
524	0.98603				
525	0.9828199999999999				
526	0.98301				
527	0.98542				
528	0.9829000000000001				
529	0.9767600000000001				
530	0.97813				
531	0.98129				
532	0.97711				
533	0.97607				
534	0.9816400000000001				
535	0.97905				
536	0.98051				
537	0.98099				
538	0.97163				
539	0.97649				
540	0.97636				
541	0.9498099999999999				
542	0.94918				
543	0.9687699999999999				
544	0.96524				
545	0.40531				
546	0.03379				
547	0.00497				
548	0.00032				
549	4e-05				
550	1e-05				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	1e-05				
575	2e-05				
576	0.00015				
577	0.00131				
578	0.02274				
579	0.36229				
580	0.8940600000000001				
581	0.96085				
582	0.9719				
583	0.95982				
584	0.96127				
585	0.96769				
586	0.96773				
587	0.9599				
588	0.96552				
589	0.97822				
590	0.98576				
591	0.98851				
592	0.98592				
593	0.98128				
594	0.98016				
595	0.9856699999999999				
596	0.98529				
