Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.28472000000000003	#838383	Chroma	Unnamed	ZT375/473/532/635rpc
351	0.39658				
352	0.50014				
353	0.55052				
354	0.42676000000000003				
355	0.20821				
356	0.08166999999999999				
357	0.07221				
358	0.14846				
359	0.24041				
360	0.20082				
361	0.09531				
362	0.06868				
363	0.11667999999999999				
364	0.17454				
365	0.15538				
366	0.06827				
367	0.01719				
368	0.01253				
369	0.01649				
370	0.02105				
371	0.0178				
372	0.00999				
373	0.00481				
374	0.00317				
375	0.00268				
376	0.0027				
377	0.00292				
378	0.00331				
379	0.00357				
380	0.00435				
381	0.00605				
382	0.011240000000000002				
383	0.0298				
384	0.09340999999999999				
385	0.19140000000000001				
386	0.24087				
387	0.25318				
388	0.31036				
389	0.37701999999999997				
390	0.46732				
391	0.58238				
392	0.71898				
393	0.86519				
394	0.9425100000000001				
395	0.95419				
396	0.9573900000000001				
397	0.96678				
398	0.97962				
399	0.98588				
400	0.9792400000000001				
401	0.9695199999999999				
402	0.95599				
403	0.94121				
404	0.92809				
405	0.92369				
406	0.93695				
407	0.9592400000000001				
408	0.97578				
409	0.97363				
410	0.95443				
411	0.94151				
412	0.94393				
413	0.95703				
414	0.968				
415	0.9656699999999999				
416	0.9620000000000001				
417	0.9615699999999999				
418	0.96736				
419	0.9756999999999999				
420	0.97784				
421	0.9687399999999999				
422	0.95854				
423	0.95588				
424	0.95702				
425	0.9583400000000001				
426	0.9558				
427	0.94697				
428	0.93678				
429	0.93175				
430	0.9368899999999999				
431	0.9487000000000001				
432	0.9621299999999999				
433	0.97043				
434	0.9730200000000001				
435	0.97378				
436	0.9709				
437	0.9747100000000001				
438	0.9757899999999999				
439	0.96931				
440	0.95994				
441	0.95089				
442	0.94562				
443	0.94735				
444	0.95723				
445	0.9643999999999999				
446	0.96458				
447	0.95604				
448	0.93951				
449	0.9231100000000001				
450	0.9153				
451	0.9165000000000001				
452	0.92396				
453	0.92916				
454	0.92672				
455	0.92542				
456	0.92624				
457	0.8963				
458	0.78461				
459	0.60405				
460	0.43323				
461	0.27909				
462	0.17154				
463	0.09676				
464	0.05912				
465	0.03711				
466	0.02581				
467	0.01893				
468	0.01482				
469	0.01254				
470	0.011040000000000001				
471	0.0104				
472	0.010369999999999999				
473	0.01084				
474	0.01194				
475	0.014079999999999999				
476	0.017310000000000002				
477	0.022879999999999998				
478	0.03189				
479	0.04798				
480	0.07467				
481	0.12247				
482	0.19377				
483	0.29227000000000003				
484	0.39006				
485	0.46999				
486	0.53258				
487	0.6033				
488	0.67657				
489	0.76089				
490	0.8366500000000001				
491	0.8926999999999999				
492	0.9338599999999999				
493	0.9554300000000001				
494	0.9666899999999999				
495	0.9723099999999999				
496	0.97237				
497	0.96773				
498	0.95959				
499	0.95245				
500	0.94643				
501	0.9444899999999999				
502	0.9472499999999999				
503	0.94887				
504	0.95051				
505	0.94893				
506	0.94388				
507	0.9362900000000001				
508	0.9351600000000001				
509	0.9412900000000001				
510	0.95317				
511	0.9704600000000001				
512	0.98528				
513	0.99112				
514	0.9910599999999999				
515	0.98746				
516	0.98304				
517	0.97705				
518	0.9488				
