Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.00216	#838383	Chroma	Unnamed	ZT405/473-491/NIRrpc
381	0.00179				
382	0.0014199999999999998				
383	0.00128				
384	0.00234				
385	0.010920000000000001				
386	0.04381				
387	0.04494				
388	0.01402				
389	0.013349999999999999				
390	0.02749				
391	0.03759				
392	0.02955				
393	0.03239				
394	0.05601				
395	0.10298				
396	0.15062				
397	0.16759000000000002				
398	0.08077999999999999				
399	0.0125				
400	0.00383				
401	0.00297				
402	0.003				
403	0.00272				
404	0.00234				
405	0.00261				
406	0.0027				
407	0.00298				
408	0.0035299999999999997				
409	0.00451				
410	0.00579				
411	0.00784				
412	0.01139				
413	0.02068				
414	0.050300000000000004				
415	0.1298				
416	0.2875				
417	0.40591				
418	0.46109				
419	0.5472				
420	0.7072499999999999				
421	0.8747199999999999				
422	0.9475100000000001				
423	0.95528				
424	0.95841				
425	0.95998				
426	0.9615				
427	0.9645699999999999				
428	0.96576				
429	0.9632200000000001				
430	0.95871				
431	0.95694				
432	0.9598099999999999				
433	0.9645199999999999				
434	0.96878				
435	0.97012				
436	0.9668899999999999				
437	0.96069				
438	0.95045				
439	0.9445399999999999				
440	0.94527				
441	0.9539300000000001				
442	0.96288				
443	0.968				
444	0.96794				
445	0.9653400000000001				
446	0.96512				
447	0.96509				
448	0.9652				
449	0.96384				
450	0.96124				
451	0.9591200000000001				
452	0.95773				
453	0.9581000000000001				
454	0.95975				
455	0.96232				
456	0.96441				
457	0.96516				
458	0.96406				
459	0.96088				
460	0.9571999999999999				
461	0.95529				
462	0.9546800000000001				
463	0.95083				
464	0.9375100000000001				
465	0.9008799999999999				
466	0.83065				
467	0.7137600000000001				
468	0.57489				
469	0.40186				
470	0.23832				
471	0.11678000000000001				
472	0.057830000000000006				
473	0.0292				
474	0.01706				
475	0.01046				
476	0.00726				
477	0.0053100000000000005				
478	0.00417				
479	0.0035099999999999997				
480	0.0031				
481	0.0028599999999999997				
482	0.0027600000000000003				
483	0.0027900000000000004				
484	0.0028799999999999997				
485	0.00315				
486	0.0035199999999999997				
487	0.00414				
488	0.0052				
489	0.006770000000000001				
490	0.009559999999999999				
491	0.01476				
492	0.023809999999999998				
493	0.04348				
494	0.08329				
495	0.16757999999999998				
496	0.2956				
497	0.42631				
498	0.48426				
499	0.49552				
500	0.54844				
501	0.68308				
502	0.84072				
503	0.91026				
504	0.9247				
505	0.9398000000000001				
506	0.95612				
507	0.96289				
508	0.9603700000000001				
509	0.95595				
510	0.95685				
511	0.96143				
512	0.96796				
513	0.97173				
514	0.9704900000000001				
515	0.96646				
516	0.9621999999999999				
517	0.95879				
518	0.95828				
519	0.9596399999999999				
520	0.96258				
521	0.9653400000000001				
522	0.96661				
523	0.96681				
524	0.96687				
525	0.9679099999999999				
526	0.96867				
527	0.9701099999999999				
528	0.9718899999999999				
529	0.9718300000000001				
530	0.97036				
531	0.96787				
532	0.9645699999999999				
533	0.96126				
534	0.95827				
535	0.95685				
536	0.9575				
537	0.95943				
538	0.9632999999999999				
539	0.96724				
540	0.97075				
541	0.97333				
542	0.97454				
543	0.97449				
544	0.9749899999999999				
545	0.9740099999999999				
546	0.97327				
547	0.97202				
548	0.97194				
549	0.97113				
550	0.9721				
551	0.97236				
552	0.9718300000000001				
553	0.97039				
554	0.97135				
555	0.97131				
556	0.97191				
557	0.9725100000000001				
558	0.97351				
559	0.9731399999999999				
560	0.97421				
561	0.9762000000000001				
562	0.97738				
563	0.97764				
564	0.97718				
565	0.9758				
566	0.97467				
567	0.9734900000000001				
568	0.97333				
569	0.97257				
570	0.97224				
571	0.97167				
572	0.97174				
573	0.9711700000000001				
574	0.9704600000000001				
575	0.9703499999999999				
576	0.97029				
577	0.96962				
578	0.9698				
579	0.9701900000000001				
580	0.9708				
581	0.97116				
582	0.97173				
583	0.9732599999999999				
584	0.97426				
585	0.9756199999999999				
586	0.97622				
587	0.97674				
588	0.9778				
589	0.97878				
590	0.97872				
591	0.97883				
592	0.97881				
593	0.97879				
594	0.9789100000000001				
595	0.97882				
596	0.97871				
597	0.97822				
598	0.9782299999999999				
599	0.97847				
600	0.9793000000000001				
601	0.98141				
602	0.98387				
603	0.9847499999999999				
604	0.98784				
605	0.9872299999999999				
606	0.98548				
607	0.9833700000000001				
608	0.98115				
609	0.9815200000000001				
610	0.9795699999999999				
611	0.9768600000000001				
612	0.9760899999999999				
613	0.97666				
614	0.97737				
615	0.97964				
616	0.98368				
617	0.9841200000000001				
618	0.98348				
619	0.98374				
620	0.98443				
621	0.98431				
622	0.98382				
623	0.98263				
624	0.98235				
625	0.98151				
626	0.9816800000000001				
627	0.9827800000000001				
628	0.98454				
629	0.9856100000000001				
630	0.9887699999999999				
631	0.98988				
632	0.98867				
633	0.98871				
634	0.9858199999999999				
635	0.9832				
636	0.98007				
637	0.97725				
638	0.97458				
639	0.9728100000000001				
640	0.97226				
641	0.9732				
642	0.97552				
643	0.97919				
644	0.9819599999999999				
645	0.98512				
646	0.9865200000000001				
647	0.98681				
648	0.986				
649	0.98482				
650	0.98371				
651	0.9822799999999999				
652	0.9809				
653	0.9790000000000001				
654	0.97842				
655	0.97775				
656	0.97816				
657	0.97935				
658	0.9795900000000001				
659	0.97933				
660	0.9787699999999999				
661	0.9775499999999999				
662	0.97675				
663	0.97603				
664	0.97528				
665	0.9753000000000001				
666	0.97596				
667	0.97771				
668	0.9798300000000001				
669	0.9823000000000001				
670	0.9843500000000001				
671	0.9870099999999999				
672	0.9885299999999999				
673	0.99072				
674	0.9915999999999999				
675	0.99237				
676	0.9918				
677	0.9920399999999999				
678	0.99229				
679	0.99107				
680	0.99104				
681	0.99068				
682	0.99107				
683	0.9907299999999999				
684	0.99116				
685	0.99312				
686	0.99509				
687	0.99763				
688	1.0				
689	0.99894				
690	0.99543				
691	0.9890000000000001				
692	0.9793000000000001				
693	0.96974				
694	0.9668899999999999				
695	0.97163				
696	0.97813				
697	0.96576				
698	0.90729				
699	0.80078				
700	0.66755				
701	0.56553				
702	0.49473				
703	0.44351999999999997				
704	0.40865				
705	0.38244999999999996				
706	0.36393000000000003				
707	0.35696				
708	0.36155000000000004				
709	0.37877000000000005				
710	0.41115				
711	0.44881				
712	0.47296				
713	0.44807				
714	0.36616				
715	0.25139				
716	0.15903				
717	0.09438				
718	0.05859				
719	0.03626				
720	0.02429				
721	0.01655				
722	0.01194				
723	0.00891				
724	0.006710000000000001				
725	0.00525				
726	0.00416				
727	0.00333				
728	0.0028599999999999997				
729	0.00233				
730	0.00207				
731	0.00185				
732	0.00155				
733	0.0014299999999999998				
734	0.00133				
735	0.00124				
736	0.0011899999999999999				
737	0.00115				
738	0.00107				
739	0.00109				
740	0.00104				
741	0.0011				
742	0.00104				
743	0.00104				
744	0.00114				
745	0.00124				
746	0.00145				
747	0.0017599999999999998				
748	0.0023499999999999997				
749	0.0032				
750	0.00363				
751	0.0035299999999999997				
752	0.0034699999999999996				
753	0.00395				
754	0.00492				
755	0.006670000000000001				
756	0.00891				
757	0.011890000000000001				
758	0.01444				
759	0.01508				
760	0.01348				
761	0.010740000000000001				
762	0.00808				
763	0.00613				
764	0.00471				
765	0.00377				
766	0.0031				
767	0.00263				
768	0.00228				
769	0.00208				
770	0.0019				
771	0.00179				
