Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.0	#838383	Chroma	Unnamed	ZT405/561/657rpc
381	0.0277				
382	0.15426				
383	0.2918				
384	0.22378				
385	0.26187				
386	0.19399999999999998				
387	0.28875				
388	0.30626000000000003				
389	0.2361				
390	0.08462				
391	0.10549				
392	0.17944				
393	0.19759000000000002				
394	0.25639				
395	0.30107				
396	0.15789				
397	0.07158				
398	0.06437				
399	0.034				
400	0.008960000000000001				
401	0.00306				
402	0.00194				
403	0.00156				
404	0.0018				
405	0.0025				
406	0.004079999999999999				
407	0.006979999999999999				
408	0.01476				
409	0.02956				
410	0.052110000000000004				
411	0.07708999999999999				
412	0.13073				
413	0.256				
414	0.4252				
415	0.51786				
416	0.53916				
417	0.71747				
418	0.95296				
419	0.9702200000000001				
420	0.95256				
421	0.94814				
422	0.95951				
423	0.97313				
424	0.97886				
425	0.9752299999999999				
426	0.96612				
427	0.9507099999999999				
428	0.9480299999999999				
429	0.96829				
430	0.98283				
431	0.97268				
432	0.9433				
433	0.9311499999999999				
434	0.93321				
435	0.92868				
436	0.90713				
437	0.89754				
438	0.91541				
439	0.95233				
440	0.9703400000000001				
441	0.9656				
442	0.9518800000000001				
443	0.9521599999999999				
444	0.95777				
445	0.9570000000000001				
446	0.9422499999999999				
447	0.93132				
448	0.93405				
449	0.94674				
450	0.9536				
451	0.9494400000000001				
452	0.9458799999999999				
453	0.94911				
454	0.9605				
455	0.96735				
456	0.96506				
457	0.95796				
458	0.95611				
459	0.9636199999999999				
460	0.9749899999999999				
461	0.97855				
462	0.97431				
463	0.9667600000000001				
464	0.96285				
465	0.9668399999999999				
466	0.9712000000000001				
467	0.96439				
468	0.95402				
469	0.94505				
470	0.94655				
471	0.9584600000000001				
472	0.9759699999999999				
473	0.98535				
474	0.98315				
475	0.97395				
476	0.9670099999999999				
477	0.968				
478	0.97026				
479	0.9719599999999999				
480	0.9714499999999999				
481	0.96942				
482	0.96982				
483	0.9706				
484	0.97317				
485	0.96834				
486	0.9568800000000001				
487	0.94297				
488	0.93329				
489	0.93269				
490	0.93877				
491	0.95327				
492	0.9641				
493	0.96624				
494	0.95937				
495	0.9466899999999999				
496	0.9347799999999999				
497	0.92631				
498	0.92688				
499	0.93416				
500	0.94414				
501	0.9510200000000001				
502	0.95719				
503	0.95914				
504	0.9587300000000001				
505	0.95721				
506	0.9559000000000001				
507	0.9580500000000001				
508	0.96154				
509	0.96438				
510	0.9670799999999999				
511	0.96518				
512	0.96069				
513	0.95463				
514	0.9523699999999999				
515	0.95375				
516	0.95812				
517	0.96391				
518	0.96658				
519	0.9666899999999999				
520	0.96345				
521	0.95813				
522	0.9544				
523	0.9534199999999999				
524	0.95697				
525	0.9611700000000001				
526	0.96345				
527	0.96186				
528	0.9578				
529	0.95429				
530	0.95377				
531	0.95707				
532	0.9625400000000001				
533	0.96951				
534	0.96631				
535	0.9627800000000001				
536	0.9543699999999999				
537	0.95113				
538	0.95526				
539	0.96509				
540	0.96576				
541	0.96221				
542	0.94132				
543	0.9166500000000001				
544	0.90184				
545	0.90884				
546	0.9191400000000001				
547	0.8680599999999999				
548	0.67082				
549	0.43327				
550	0.26386				
551	0.15905				
552	0.10212				
553	0.06927				
554	0.05225				
555	0.04013				
556	0.0327				
557	0.028149999999999998				
558	0.02544				
559	0.02416				
560	0.02403				
561	0.025089999999999998				
562	0.02725				
563	0.03072				
564	0.03646				
565	0.044219999999999995				
566	0.05682				
567	0.07361				
568	0.10213				
569	0.14207				
570	0.20021				
571	0.26386				
572	0.34637				
573	0.41408				
574	0.48585999999999996				
575	0.5515599999999999				
576	0.62636				
577	0.73027				
578	0.83461				
579	0.8909900000000001				
580	0.92824				
581	0.9506600000000001				
582	0.96682				
583	0.97478				
584	0.97479				
585	0.96842				
586	0.96071				
587	0.95415				
588	0.95209				
589	0.95357				
590	0.95903				
591	0.96269				
592	0.9678				
593	0.9696899999999999				
594	0.9703				
595	0.9696899999999999				
596	0.96855				
597	0.97108				
598	0.97002				
599	0.97137				
