Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	ZT532/640/NIR_rpc
301	0.00015				
302	0.0017399999999999998				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0001				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	3e-05				
337	0.0003				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	6e-05				
345	0.0				
346	0.0				
347	5e-05				
348	0.0				
349	0.0				
350	8.999999999999999e-05				
351	0.0				
352	4e-05				
353	0.00111				
354	0.00298				
355	0.00407				
356	0.00444				
357	0.00369				
358	0.00314				
359	0.00222				
360	0.0011200000000000001				
361	0.0006900000000000001				
362	0.00125				
363	0.0035499999999999998				
364	0.01119				
365	0.027200000000000002				
366	0.04181				
367	0.0393				
368	0.023559999999999998				
369	0.01974				
370	0.03476				
371	0.04147				
372	0.024900000000000002				
373	0.00945				
374	0.0072299999999999994				
375	0.01091				
376	0.02341				
377	0.030369999999999998				
378	0.01753				
379	0.00458				
380	0.0015199999999999999				
381	0.0009				
382	0.00098				
383	0.0007000000000000001				
384	2e-05				
385	0.00035999999999999997				
386	0.00017				
387	0.0008699999999999999				
388	0.00058				
389	0.00122				
390	0.00108				
391	0.00115				
392	0.0				
393	0.00097				
394	0.00104				
395	0.00179				
396	0.0018				
397	0.00086				
398	0.00132				
399	0.0005099999999999999				
400	0.00021				
401	0.00105				
402	0.00073				
403	0.00084				
404	0.0006900000000000001				
405	0.0008				
406	0.0008				
407	0.00098				
408	0.00167				
409	0.00792				
410	0.047880000000000006				
411	0.09677				
412	0.07769				
413	0.030830000000000003				
414	0.01373				
415	0.01443				
416	0.029289999999999997				
417	0.05074				
418	0.04575				
419	0.02017				
420	0.00603				
421	0.00382				
422	0.0030399999999999997				
423	0.00192				
424	0.00107				
425	0.00199				
426	0.00272				
427	0.00411				
428	0.00844				
429	0.017589999999999998				
430	0.026309999999999997				
431	0.024780000000000003				
432	0.01537				
433	0.00859				
434	0.00512				
435	0.00452				
436	0.00484				
437	0.00536				
438	0.00577				
439	0.00582				
440	0.00519				
441	0.00492				
442	0.005390000000000001				
443	0.00768				
444	0.01586				
445	0.026309999999999997				
446	0.02859				
447	0.01927				
448	0.01088				
