Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
380	0.36462000000000006	#838383	Chroma	Unnamed	ZT633rdc
381	0.32946				
382	0.28366				
383	0.33535				
384	0.40969				
385	0.43707999999999997				
386	0.42447				
387	0.36656				
388	0.30483				
389	0.32789				
390	0.36815				
391	0.30187				
392	0.18935				
393	0.16871				
394	0.22322				
395	0.24315				
396	0.18001999999999999				
397	0.13426				
398	0.17306000000000002				
399	0.26283				
400	0.30239				
401	0.28811				
402	0.32805				
403	0.43506999999999996				
404	0.5072				
405	0.49213				
406	0.44250999999999996				
407	0.46476999999999996				
408	0.5254				
409	0.48595999999999995				
410	0.3882				
411	0.28862				
412	0.19100999999999999				
413	0.14958				
414	0.16773				
415	0.20806000000000002				
416	0.17758				
417	0.08471000000000001				
418	0.03608				
419	0.030750000000000003				
420	0.05772				
421	0.07729				
422	0.0393				
423	0.00443				
424	0.0005600000000000001				
425	0.0005600000000000001				
426	0.0004				
427	0.00023				
428	0.00015				
429	0.0003				
430	0.00061				
431	0.0006				
432	0.00035999999999999997				
433	0.00061				
434	0.00049				
435	0.00035999999999999997				
436	0.00049				
437	0.00039				
438	0.00045				
439	0.0009				
440	0.0025700000000000002				
441	0.013460000000000001				
442	0.05618				
443	0.11631				
444	0.13769				
445	0.14559				
446	0.15526				
447	0.13478				
448	0.15537				
449	0.23549				
450	0.27311				
451	0.26948				
452	0.21068				
453	0.11065				
454	0.06536				
455	0.05449				
456	0.03915				
457	0.06079				
458	0.16115				
459	0.2305				
460	0.16638999999999998				
461	0.08449999999999999				
462	0.07583999999999999				
463	0.13093				
464	0.24511				
465	0.28396				
466	0.19337				
467	0.10862999999999999				
468	0.10308				
469	0.14804				
470	0.17321999999999999				
471	0.11871000000000001				
472	0.048949999999999994				
473	0.021720000000000003				
474	0.01534				
475	0.01727				
476	0.02598				
477	0.033620000000000004				
478	0.02891				
479	0.01443				
480	0.005699999999999999				
481	0.00312				
482	0.00222				
483	0.00207				
484	0.00246				
485	0.00366				
486	0.00615				
487	0.00803				
488	0.006979999999999999				
489	0.00419				
490	0.00212				
491	0.0012900000000000001				
492	0.0011799999999999998				
493	0.00131				
494	0.00153				
495	0.00213				
496	0.00268				
497	0.00261				
498	0.00192				
499	0.00117				
500	0.0008699999999999999				
501	0.00074				
502	0.00063				
503	0.0007099999999999999				
504	0.00094				
505	0.00123				
506	0.00145				
507	0.00136				
508	0.00113				
509	0.0008100000000000001				
510	0.00054				
511	0.00045				
512	0.00048				
513	0.00049				
514	0.00052				
515	0.0007000000000000001				
516	0.00097				
517	0.0011799999999999998				
518	0.00114				
519	0.00099				
520	0.0007099999999999999				
521	0.00055				
522	0.0005				
523	0.00041				
524	0.00049				
525	0.00061				
526	0.0007099999999999999				
527	0.00106				
528	0.00131				
529	0.0014099999999999998				
530	0.00124				
531	0.0009299999999999999				
532	0.0006900000000000001				
533	0.00063				
534	0.0005600000000000001				
535	0.00049				
536	0.00055				
537	0.00068				
538	0.00084				
539	0.00122				
540	0.00158				
541	0.00178				
542	0.00165				
543	0.00147				
544	0.00126				
545	0.00101				
546	0.00083				
547	0.00078				
548	0.0008699999999999999				
549	0.00104				
550	0.0012900000000000001				
551	0.0017399999999999998				
552	0.0025800000000000003				
553	0.0037				
554	0.00459				
555	0.00475				
556	0.00414				
557	0.0032500000000000003				
558	0.00268				
559	0.00232				
560	0.0023				
561	0.00244				
562	0.00292				
563	0.00377				
564	0.0054800000000000005				
565	0.00873				
566	0.01365				
567	0.018000000000000002				
568	0.01865				
569	0.015349999999999999				
570	0.010920000000000001				
571	0.00783				
572	0.00603				
573	0.005180000000000001				
574	0.00471				
575	0.00466				
576	0.00494				
577	0.00547				
578	0.006520000000000001				
579	0.00787				
580	0.010320000000000001				
581	0.0138				
582	0.01851				
583	0.02412				
584	0.02916				
585	0.031349999999999996				
586	0.02997				
587	0.026549999999999997				
588	0.02241				
589	0.01889				
590	0.01663				
591	0.015349999999999999				
592	0.014879999999999999				
593	0.015529999999999999				
594	0.01702				
595	0.020019999999999996				
596	0.02423				
597	0.03012				
598	0.03632				
599	0.03905				
600	0.03608				
601	0.02981				
