Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
301	0.0	#838383	Chroma	Unnamed	et655lptrf0
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.0				
600	0.0				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	1e-05				
652	4e-05				
653	0.00035000000000000005				
654	0.00532				
655	0.132				
656	0.716				
657	0.9259999999999999				
658	0.935				
659	0.932				
660	0.938				
661	0.927				
662	0.9229999999999999				
663	0.937				
664	0.9440000000000001				
665	0.9359999999999999				
666	0.929				
667	0.938				
668	0.948				
669	0.95				
670	0.9470000000000001				
671	0.943				
672	0.943				
673	0.9520000000000001				
674	0.9570000000000001				
675	0.96				
676	0.953				
677	0.9470000000000001				
678	0.9440000000000001				
679	0.9490000000000001				
680	0.956				
681	0.9620000000000001				
682	0.9640000000000001				
683	0.958				
684	0.95				
685	0.948				
686	0.9490000000000001				
687	0.955				
688	0.96				
689	0.963				
690	0.9590000000000001				
691	0.955				
692	0.951				
693	0.9470000000000001				
694	0.9470000000000001				
695	0.953				
696	0.955				
697	0.961				
698	0.9620000000000001				
699	0.96				
700	0.9520000000000001				
701	0.946				
702	0.945				
703	0.9440000000000001				
704	0.9470000000000001				
705	0.9520000000000001				
706	0.955				
707	0.956				
708	0.9570000000000001				
709	0.956				
710	0.951				
711	0.9470000000000001				
712	0.9440000000000001				
713	0.943				
714	0.9470000000000001				
715	0.95				
716	0.9540000000000001				
717	0.955				
718	0.955				
719	0.955				
720	0.953				
721	0.948				
722	0.946				
