Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	mv470200
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	3e-05				
368	7.000000000000001e-05				
369	1e-05				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	4e-05				
378	0.00017999999999999998				
379	0.00013				
380	1e-05				
381	6e-05				
382	0.00012				
383	0.00014000000000000001				
384	0.00028000000000000003				
385	2e-05				
386	2e-05				
387	0.00017999999999999998				
388	8.999999999999999e-05				
389	0.0				
390	1e-05				
391	0.00045				
392	0.00067				
393	0.0001				
394	0.00062				
395	0.00042				
396	0.00015				
397	0.00052				
398	0.00028000000000000003				
399	5e-05				
400	0.00014000000000000001				
401	0.00034				
402	0.00017				
403	7.000000000000001e-05				
404	0.00014000000000000001				
405	0.00037999999999999997				
406	0.00026				
407	8.999999999999999e-05				
408	0.00013				
409	0.00052				
410	0.00063				
411	0.00023				
412	0.00025				
413	0.00061				
414	0.00052				
415	0.00024				
416	0.00042				
417	0.00115				
418	0.00078				
419	0.00028000000000000003				
420	0.00029				
421	0.00025				
422	0.00012				
423	8e-05				
424	0.00013				
425	0.00049				
426	0.0007599999999999999				
427	0.00035999999999999997				
428	0.00032				
429	0.0007099999999999999				
430	0.00063				
431	0.0002				
432	0.00012				
433	0.00021				
434	0.00055				
435	0.00054				
436	0.00021999999999999998				
437	0.00017				
438	0.00035000000000000005				
439	0.0008699999999999999				
440	0.00065				
441	0.00018999999999999998				
442	0.00010999999999999999				
443	0.00010999999999999999				
444	0.00018999999999999998				
445	0.0004				
446	0.00058				
447	0.00043999999999999996				
448	0.00028000000000000003				
449	0.00024				
450	0.00027				
451	0.00037				
452	0.00066				
453	0.00146				
454	0.0045000000000000005				
455	0.02145				
456	0.16062				
457	0.62475				
458	0.8976000000000001				
459	0.9270999999999999				
460	0.97309				
461	0.98053				
462	0.98747				
463	0.9877400000000001				
464	0.9810599999999999				
465	0.98938				
466	0.98355				
467	0.96595				
468	0.9749599999999999				
469	0.9867400000000001				
470	0.97307				
471	0.9527599999999999				
472	0.94672				
473	0.91741				
474	0.89991				
475	0.94146				
476	0.8134999999999999				
477	0.43688000000000005				
478	0.17349				
479	0.06484				
480	0.02357				
481	0.00862				
482	0.0035199999999999997				
483	0.00172				
484	0.00101				
485	0.0007099999999999999				
486	0.0005899999999999999				
487	0.00058				
488	0.00065				
489	0.00083				
490	0.00115				
491	0.00164				
492	0.0022500000000000003				
493	0.00269				
494	0.00252				
495	0.0017499999999999998				
496	0.00104				
497	0.00064				
498	0.00045				
499	0.00037999999999999997				
500	0.00037999999999999997				
501	0.00043				
502	0.00058				
503	0.00083				
504	0.00111				
505	0.0011799999999999998				
506	0.00098				
507	0.00073				
508	0.0005600000000000001				
509	0.00045				
510	0.0004				
511	0.0004				
512	0.00043				
513	0.00052				
514	0.00068				
515	0.0008799999999999999				
516	0.001				
517	0.00094				
518	0.0008				
519	0.0007000000000000001				
520	0.00067				
521	0.00075				
522	0.00092				
523	0.0011899999999999999				
524	0.0013800000000000002				
525	0.0012900000000000001				
526	0.00098				
527	0.0006900000000000001				
528	0.0005099999999999999				
529	0.00041				
530	0.00035999999999999997				
531	0.00033				
532	0.00034				
533	0.00037999999999999997				
534	0.00043999999999999996				
535	0.00054				
536	0.00068				
537	0.00084				
538	0.00098				
539	0.00106				
540	0.00108				
541	0.00106				
542	0.001				
543	0.00091				
544	0.0008100000000000001				
545	0.0007000000000000001				
546	0.0006				
547	0.00053				
548	0.00049				
549	0.00046				
550	0.00045				
551	0.00045				
552	0.00046				
553	0.00046				
554	0.00045				
555	0.00043				
556	0.0004				
557	0.00035999999999999997				
558	0.00034				
559	0.00033				
560	0.00035000000000000005				
561	0.0004				
562	0.00052				
563	0.00073				
564	0.00108				
565	0.0013900000000000002				
566	0.0012900000000000001				
567	0.00092				
568	0.0006				
569	0.00042				
570	0.00033				
571	0.00028000000000000003				
572	0.00026				
573	0.00025				
574	0.00024				
575	0.00025				
576	0.00026				
577	0.00029				
578	0.00035000000000000005				
579	0.00046				
580	0.00068				
581	0.0010199999999999999				
582	0.00124				
583	0.00104				
584	0.00066				
585	0.00042				
586	0.00029				
587	0.00024				
588	0.00021				
589	0.00021999999999999998				
590	0.00025				
591	0.00032				
592	0.00043999999999999996				
593	0.00067				
594	0.00095				
595	0.00113				
596	0.00107				
597	0.0008799999999999999				
598	0.0007199999999999999				
599	0.00065				
600	0.00064				
601	0.0006900000000000001				
602	0.00082				
603	0.0010299999999999999				
604	0.00133				
605	0.00165				
606	0.00187				
607	0.00179				
608	0.0014399999999999999				
609	0.0010199999999999999				
610	0.00068				
611	0.00046				
612	0.00032				
613	0.00024				
614	0.00017999999999999998				
615	0.00015				
616	0.00013				
617	0.00012				
618	0.00012				
619	0.00013				
620	0.00015				
621	0.00017999999999999998				
622	0.00023				
623	0.00031				
624	0.00043999999999999996				
625	0.00065				
626	0.00092				
627	0.00116				
628	0.00127				
629	0.00123				
630	0.00114				
631	0.00106				
632	0.0010299999999999999				
633	0.00106				
634	0.00114				
635	0.00127				
636	0.00148				
637	0.0017599999999999998				
638	0.00216				
639	0.0027				
640	0.00336				
641	0.00407				
642	0.0044800000000000005				
643	0.0044				
644	0.00386				
645	0.00316				
646	0.00254				
647	0.0020599999999999998				
648	0.00172				
649	0.00147				
650	0.0012900000000000001				
651	0.00115				
652	0.00106				
653	0.00099				
654	0.00096				
655	0.00096				
656	0.00099				
657	0.0010199999999999999				
658	0.0010299999999999999				
659	0.00094				
660	0.0007599999999999999				
661	0.00055				
662	0.00037				
663	0.00024				
664	0.00017				
665	0.00012				
666	8.999999999999999e-05				
667	7.000000000000001e-05				
668	6e-05				
669	5e-05				
670	4e-05				
671	4e-05				
672	4e-05				
673	3e-05				
674	3e-05				
675	3e-05				
676	3e-05				
677	3e-05				
678	3e-05				
679	3e-05				
680	2e-05				
681	2e-05				
682	2e-05				
683	2e-05				
684	2e-05				
685	2e-05				
686	2e-05				
687	2e-05				
688	2e-05				
689	2e-05				
690	2e-05				
691	2e-05				
692	3e-05				
693	3e-05				
694	4e-05				
695	5e-05				
696	6e-05				
697	8e-05				
698	0.00010999999999999999				
699	0.00017				
700	0.00027				
701	0.0005				
702	0.0010299999999999999				
703	0.00203				
704	0.00267				
705	0.0020499999999999997				
706	0.0011799999999999998				
707	0.0007199999999999999				
708	0.0005				
709	0.00039				
710	0.00033				
711	0.0003				
712	0.00028000000000000003				
713	0.00028000000000000003				
714	0.00029				
715	0.00032				
716	0.00035999999999999997				
717	0.00041				
718	0.00047				
719	0.00052				
720	0.0005600000000000001				
721	0.00055				
722	0.00052				
723	0.00047				
724	0.00041				
725	0.00037				
726	0.00033				
727	0.00032				
728	0.0003				
729	0.0003				
730	0.00032				
731	0.00033				
732	0.00035999999999999997				
733	0.00042				
734	0.00048				
735	0.00058				
736	0.0007099999999999999				
737	0.0008699999999999999				
738	0.00107				
739	0.00128				
740	0.00145				
741	0.00156				
742	0.0016				
743	0.00156				
744	0.00147				
745	0.0013700000000000001				
746	0.00126				
747	0.00115				
748	0.00108				
749	0.00101				
750	0.00097				
751	0.00094				
752	0.00091				
753	0.00091				
754	0.00091				
755	0.0009299999999999999				
756	0.00095				
757	0.00095				
758	0.00094				
759	0.0009				
760	0.00083				
761	0.00075				
762	0.00064				
763	0.00054				
764	0.00045				
765	0.00039				
766	0.00033				
767	0.00028000000000000003				
768	0.00025				
769	0.00023				
770	0.00021				
771	0.0002				
772	0.0002				
773	0.0002				
774	0.00021				
775	0.00021999999999999998				
776	0.00023				
777	0.00027				
778	0.00031				
779	0.00035999999999999997				
780	0.00043999999999999996				
781	0.00055				
782	0.0007199999999999999				
783	0.00096				
784	0.00128				
785	0.0017299999999999998				
786	0.0022400000000000002				
787	0.0027500000000000003				
788	0.00309				
789	0.0032400000000000003				
790	0.0032				
791	0.00307				
792	0.0029				
793	0.00272				
794	0.00249				
795	0.00223				
796	0.00193				
797	0.00164				
798	0.00134				
799	0.00108				
800	0.00096				
801	0.00083				
802	0.0007099999999999999				
803	0.00061				
804	0.0005099999999999999				
805	0.00043				
806	0.00035999999999999997				
807	0.0003				
808	0.00026				
809	0.00023				
810	0.0002				
811	0.00018999999999999998				
812	0.00017				
813	0.00017				
814	0.00016				
815	0.00016				
816	0.00017				
817	0.00017999999999999998				
818	0.00018999999999999998				
819	0.0002				
820	0.00021999999999999998				
821	0.00024				
822	0.00027				
823	0.0003				
824	0.00033				
825	0.00037				
826	0.00041				
827	0.00046				
828	0.0005099999999999999				
829	0.00057				
830	0.00063				
831	0.0007099999999999999				
832	0.00078				
833	0.0008699999999999999				
834	0.00097				
835	0.00109				
836	0.00121				
837	0.00136				
838	0.00154				
839	0.0017399999999999998				
840	0.00197				
841	0.00223				
842	0.00253				
843	0.0028699999999999997				
844	0.0032400000000000003				
845	0.00365				
846	0.00409				
847	0.00455				
848	0.00501				
849	0.0054800000000000005				
850	0.0059499999999999996				
851	0.00638				
852	0.006770000000000001				
853	0.00713				
854	0.00745				
855	0.0077				
856	0.00788				
857	0.00797				
858	0.007980000000000001				
859	0.0079				
860	0.00772				
861	0.00745				
862	0.00712				
863	0.00672				
864	0.00626				
865	0.00579				
866	0.00528				
867	0.0047799999999999995				
868	0.0043				
869	0.00383				
870	0.0034100000000000003				
871	0.0030399999999999997				
872	0.0027				
873	0.00244				
874	0.00222				
875	0.0020499999999999997				
876	0.00193				
877	0.00185				
878	0.00181				
879	0.0018				
880	0.00181				
881	0.00184				
882	0.00188				
883	0.00191				
884	0.00192				
885	0.00191				
886	0.00185				
887	0.0017699999999999999				
888	0.00164				
889	0.00148				
890	0.0013				
891	0.0011200000000000001				
892	0.00094				
893	0.00078				
894	0.00063				
895	0.00052				
896	0.00043				
897	0.00035999999999999997				
898	0.00031				
899	0.00027				
900	0.00024				
901	0.00021999999999999998				
902	0.00021				
903	0.00018999999999999998				
904	0.00018999999999999998				
905	0.00017999999999999998				
906	0.00017999999999999998				
907	0.00018999999999999998				
908	0.00018999999999999998				
909	0.00021				
910	0.00021999999999999998				
911	0.00025				
912	0.00028000000000000003				
913	0.00032				
914	0.00037999999999999997				
915	0.00047				
916	0.00058				
917	0.00073				
918	0.0009				
919	0.00109				
920	0.00128				
921	0.0014399999999999999				
922	0.00155				
923	0.00158				
924	0.0015199999999999999				
925	0.0014000000000000002				
926	0.00122				
927	0.00104				
928	0.0008699999999999999				
929	0.00073				
930	0.00063				
931	0.00055				
932	0.00049				
933	0.00045				
934	0.00042				
935	0.00041				
936	0.0004				
937	0.0004				
938	0.0004				
939	0.00041				
940	0.00043				
941	0.00046				
942	0.00049				
943	0.00053				
944	0.00057				
945	0.00062				
946	0.00067				
947	0.0007099999999999999				
948	0.0007599999999999999				
949	0.00079				
950	0.00082				
951	0.00083				
952	0.00082				
953	0.0008100000000000001				
954	0.00078				
955	0.00075				
956	0.0007099999999999999				
957	0.00068				
958	0.00064				
959	0.00062				
960	0.0005899999999999999				
961	0.00058				
962	0.00057				
963	0.0005600000000000001				
964	0.0005600000000000001				
965	0.00057				
966	0.0005899999999999999				
967	0.0006				
968	0.00063				
969	0.00066				
970	0.0007000000000000001				
971	0.00074				
972	0.00079				
973	0.00083				
974	0.0008799999999999999				
975	0.0009299999999999999				
976	0.00096				
977	0.00099				
978	0.00101				
979	0.00101				
980	0.001				
981	0.00098				
982	0.00095				
983	0.00091				
984	0.0008699999999999999				
985	0.00083				
986	0.0008				
987	0.00077				
988	0.00074				
989	0.0007099999999999999				
990	0.0007000000000000001				
991	0.00068				
992	0.00068				
993	0.00067				
994	0.00068				
995	0.00068				
996	0.0007000000000000001				
997	0.0007099999999999999				
998	0.00073				
999	0.0007599999999999999				
1000	0.00078				
1001	0.0008100000000000001				
1002	0.0008500000000000001				
1003	0.0008799999999999999				
1004	0.00092				
1005	0.00096				
1006	0.00099				
1007	0.0010199999999999999				
1008	0.00105				
1009	0.00107				
1010	0.00109				
1011	0.00111				
1012	0.0011200000000000001				
1013	0.00113				
1014	0.00113				
1015	0.00113				
1016	0.00113				
1017	0.0011200000000000001				
1018	0.0011200000000000001				
1019	0.0011200000000000001				
1020	0.0011200000000000001				
1021	0.00111				
1022	0.00111				
1023	0.0011				
1024	0.0011				
1025	0.00109				
1026	0.00108				
1027	0.00106				
1028	0.00104				
1029	0.00101				
1030	0.00098				
1031	0.00094				
1032	0.0009				
1033	0.00086				
1034	0.00082				
1035	0.00078				
1036	0.00073				
1037	0.0006900000000000001				
1038	0.00065				
1039	0.00062				
1040	0.00058				
1041	0.00055				
1042	0.00052				
1043	0.0005				
1044	0.00048				
1045	0.00046				
1046	0.00043999999999999996				
1047	0.00043				
1048	0.00042				
1049	0.00041				
1050	0.00117				
