Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Chroma	Unnamed	zet647nf0
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.00012				
398	0.0015199999999999999				
399	0.00614				
400	0.021789999999999997				
401	0.034159999999999996				
402	0.08854				
403	0.38000999999999996				
404	0.7670399999999999				
405	0.83485				
406	0.84607				
407	0.85714				
408	0.8829699999999999				
409	0.9131100000000001				
410	0.92726				
411	0.92013				
412	0.9362				
413	0.95217				
414	0.9578700000000001				
415	0.96209				
416	0.9620399999999999				
417	0.95856				
418	0.95281				
419	0.9433199999999999				
420	0.9528300000000001				
421	0.96102				
422	0.9683799999999999				
423	0.95742				
424	0.94974				
425	0.9595999999999999				
426	0.9591				
427	0.94828				
428	0.9623900000000001				
429	0.95601				
430	0.95086				
431	0.9589				
432	0.96699				
433	0.96274				
434	0.97371				
435	0.97116				
436	0.9641				
