Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.00013	#FFFF00	Lee Filters	Medium Yellow	10
410	0.0001				
415	0.0001				
420	0.00010999999999999999				
425	0.0001				
430	0.0001				
435	0.0001				
440	0.0001				
445	0.00013				
450	0.00015				
455	0.00021999999999999998				
460	0.00046				
465	0.0015				
470	0.00732				
475	0.035539999999999995				
480	0.12475				
485	0.29092				
490	0.48003999999999997				
495	0.6417499999999999				
500	0.7394499999999999				
505	0.77984				
510	0.79753				
515	0.82685				
520	0.86481				
525	0.88849				
530	0.8872199999999999				
535	0.8748900000000001				
540	0.8628100000000001				
545	0.87193				
550	0.89324				
555	0.91079				
560	0.90979				
565	0.8985				
570	0.8832599999999999				
575	0.87264				
580	0.87464				
585	0.88578				
590	0.90119				
595	0.9104800000000001				
600	0.9111400000000001				
605	0.9047				
610	0.8950499999999999				
615	0.88763				
620	0.88837				
625	0.8950100000000001				
630	0.9012600000000001				
635	0.91148				
640	0.9144				
645	0.91239				
650	0.90838				
655	0.90436				
660	0.89969				
665	0.89751				
670	0.89672				
675	0.89889				
680	0.89756				
685	0.89661				
690	0.89857				
695	0.89767				
700	0.89653				
705	0.8970199999999999				
710	0.89744				
715	0.8978				
720	0.8981100000000001				
725	0.89837				
730	0.8986				
735	0.8987999999999999				
740	0.89897				
745	0.89911				
750	0.89924				
755	0.89934				
760	0.89944				
765	0.89952				
770	0.8995799999999999				
775	0.89964				
780	0.89969				
785	0.89974				
790	0.8997700000000001				
795	0.8998				
800	0.89983				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
