Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.41528	#B46EF0	Lee Filters	Lavender	58
410	0.44066000000000005				
415	0.45899				
420	0.48666				
425	0.51667				
430	0.53607				
435	0.55783				
440	0.5868				
445	0.59083				
450	0.56953				
455	0.55731				
460	0.55396				
465	0.5306799999999999				
470	0.48672				
475	0.44961				
480	0.41849				
485	0.38228				
490	0.33503				
495	0.28673				
500	0.24397				
505	0.20256				
510	0.16227				
515	0.12578				
520	0.09798				
525	0.07868				
530	0.0642				
535	0.051710000000000006				
540	0.03971				
545	0.02854				
550	0.019379999999999998				
555	0.01321				
560	0.010049999999999998				
565	0.00933				
570	0.010780000000000001				
575	0.01459				
580	0.02198				
585	0.03334				
590	0.05				
595	0.06978				
600	0.08622999999999999				
605	0.09295				
610	0.0889				
615	0.07887				
620	0.06941				
625	0.06585				
630	0.0723				
635	0.09292				
640	0.13555999999999999				
645	0.20439				
650	0.30089				
655	0.41082				
660	0.5214				
665	0.61393				
670	0.69144				
675	0.74944				
680	0.79108				
685	0.81853				
690	0.84036				
695	0.85234				
700	0.85602				
705	0.85611				
710	0.85627				
715	0.8565699999999999				
720	0.85711				
725	0.8580599999999999				
730	0.8597				
735	0.8623999999999999				
740	0.8665				
745	0.87209				
750	0.87862				
755	0.88504				
760	0.89035				
765	0.89416				
770	0.89661				
775	0.8980800000000001				
780	0.89893				
785	0.89941				
790	0.89968				
795	0.89982				
800	0.8998900000000001				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
