Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.75129	#DCF5FF	Lee Filters	Mist Blue	61
410	0.79184				
415	0.8245600000000001				
420	0.82438				
425	0.81333				
430	0.8229500000000001				
435	0.84028				
440	0.85146				
445	0.8539100000000001				
450	0.85515				
455	0.85544				
460	0.8532299999999999				
465	0.84799				
470	0.85072				
475	0.86214				
480	0.86937				
485	0.85981				
490	0.83327				
495	0.8111700000000001				
500	0.8010299999999999				
505	0.8042400000000001				
510	0.80658				
515	0.79452				
520	0.76601				
525	0.7364499999999999				
530	0.70976				
535	0.69339				
540	0.67664				
545	0.6499299999999999				
550	0.61067				
555	0.56964				
560	0.54083				
565	0.52883				
570	0.54038				
575	0.56236				
580	0.58128				
585	0.59399				
590	0.58991				
595	0.57434				
600	0.54737				
605	0.52312				
610	0.51068				
615	0.5019899999999999				
620	0.49695				
625	0.49363				
630	0.49523000000000006				
635	0.49518999999999996				
640	0.49617				
645	0.49302				
650	0.48210000000000003				
655	0.45458				
660	0.41213				
665	0.36698000000000003				
670	0.34781999999999996				
675	0.34674				
680	0.37091999999999997				
685	0.43023000000000006				
690	0.5105299999999999				
695	0.58379				
700	0.63613				
705	0.6732299999999999				
710	0.7051099999999999				
715	0.73251				
720	0.75606				
725	0.7763				
730	0.79369				
735	0.80864				
740	0.82148				
745	0.8325199999999999				
750	0.8420099999999999				
755	0.85016				
760	0.85717				
765	0.86319				
770	0.8683700000000001				
775	0.8728100000000001				
780	0.87664				
785	0.87992				
790	0.88274				
795	0.88517				
800	0.8868600000000001				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
