Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.0028699999999999997	#F00032	Lee Filters	Primary Red	106
410	0.0032300000000000002				
415	0.00344				
420	0.00358				
425	0.00361				
430	0.00358				
435	0.0033				
440	0.0028699999999999997				
445	0.0023699999999999997				
450	0.00183				
455	0.00133				
460	0.00095				
465	0.00065				
470	0.00046				
475	0.00031				
480	0.00024				
485	0.00015				
490	0.00010999999999999999				
495	0.0001				
500	0.0001				
505	0.0001				
510	0.0001				
515	0.0001				
520	0.0001				
525	0.0001				
530	0.0001				
535	0.0001				
540	0.00013				
545	0.0002				
550	0.00031				
555	0.00052				
560	0.00086				
565	0.00135				
570	0.00232				
575	0.0045000000000000005				
580	0.010209999999999999				
585	0.022250000000000002				
590	0.04716				
595	0.09247999999999999				
600	0.16427				
605	0.25917				
610	0.36552				
615	0.46317				
620	0.54149				
625	0.59985				
630	0.64725				
635	0.67973				
640	0.70392				
645	0.71949				
650	0.7312000000000001				
655	0.74375				
660	0.75286				
665	0.75849				
670	0.76239				
675	0.76946				
680	0.7762399999999999				
685	0.78629				
690	0.7993600000000001				
695	0.80597				
700	0.8105100000000001				
705	0.82309				
710	0.8339				
715	0.8432				
720	0.8511799999999999				
725	0.8580500000000001				
730	0.86395				
735	0.86901				
740	0.87337				
745	0.87711				
750	0.8803300000000001				
755	0.8831				
760	0.88547				
765	0.88752				
770	0.8892700000000001				
775	0.89078				
780	0.89208				
785	0.89319				
790	0.8941500000000001				
795	0.89497				
800	0.89554				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
