Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.54039	#FFB2AF	Lee Filters	Light Salmon	109
410	0.55904				
415	0.57184				
420	0.56253				
425	0.54978				
430	0.55386				
435	0.55658				
440	0.53696				
445	0.51097				
450	0.48942				
455	0.47868				
460	0.46796				
465	0.44856				
470	0.42357999999999996				
475	0.4023				
480	0.38911999999999997				
485	0.38036000000000003				
490	0.37403				
495	0.36199				
500	0.34970999999999997				
505	0.33976				
510	0.33295				
515	0.33054				
520	0.33301000000000003				
525	0.33905				
530	0.34865				
535	0.36151000000000005				
540	0.37668				
545	0.39112				
550	0.4042				
555	0.41207				
560	0.42289				
565	0.44974				
570	0.5017900000000001				
575	0.58044				
580	0.6666200000000001				
585	0.73301				
590	0.78483				
595	0.8275199999999999				
600	0.86357				
605	0.88578				
610	0.8959900000000001				
615	0.8966500000000001				
620	0.88381				
625	0.87178				
630	0.8666800000000001				
635	0.86753				
640	0.87436				
645	0.88836				
650	0.9030400000000001				
655	0.91542				
660	0.91912				
665	0.9161199999999999				
670	0.90964				
675	0.89561				
680	0.88515				
685	0.87764				
690	0.8769100000000001				
695	0.88039				
700	0.89062				
705	0.8919400000000001				
710	0.89307				
715	0.89405				
720	0.89488				
725	0.8956000000000001				
730	0.89622				
735	0.8967499999999999				
740	0.8972100000000001				
745	0.8976000000000001				
750	0.89794				
755	0.89823				
760	0.89848				
765	0.89869				
770	0.89888				
775	0.8990300000000001				
780	0.89917				
785	0.89929				
790	0.8993899999999999				
795	0.89947				
800	0.89953				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
