Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.5531	#FF8CBE	Lee Filters	Dark Pink	111
410	0.54937				
415	0.5604				
420	0.57064				
425	0.5657				
430	0.54932				
435	0.53738				
440	0.53145				
445	0.51925				
450	0.48857				
455	0.45147				
460	0.42046				
465	0.39974				
470	0.37682000000000004				
475	0.34668999999999994				
480	0.31293				
485	0.28291				
490	0.26122				
495	0.24257				
500	0.22326000000000001				
505	0.20245999999999997				
510	0.18059				
515	0.16413				
520	0.15506				
525	0.15464				
530	0.16007000000000002				
535	0.16539				
540	0.16412				
545	0.15592				
550	0.14427				
555	0.13627				
560	0.1384				
565	0.15614				
570	0.19704				
575	0.26771999999999996				
580	0.37311999999999995				
585	0.49061				
590	0.59739				
595	0.67958				
600	0.7334900000000001				
605	0.7719				
610	0.80483				
615	0.83711				
620	0.86322				
625	0.88509				
630	0.89655				
635	0.89606				
640	0.8864799999999999				
645	0.8739199999999999				
650	0.86446				
655	0.86009				
660	0.86374				
665	0.87113				
670	0.88201				
675	0.8945000000000001				
680	0.905				
685	0.91142				
690	0.9101300000000001				
695	0.90411				
700	0.90069				
705	0.90069				
710	0.9006799999999999				
715	0.9006799999999999				
720	0.90067				
725	0.90066				
730	0.90063				
735	0.90059				
740	0.9005200000000001				
745	0.90044				
750	0.90033				
755	0.90023				
760	0.90015				
765	0.9000900000000001				
770	0.9000499999999999				
775	0.90003				
780	0.9000199999999999				
785	0.9000100000000001				
790	0.9000100000000001				
795	0.9				
800	0.9				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
