Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.06522	#00C8B9	Lee Filters	Medium Blue-Green	116
410	0.09711				
415	0.12232				
420	0.14633				
425	0.16988				
430	0.18454				
435	0.21184				
440	0.24064				
445	0.25947				
450	0.28203				
455	0.29982				
460	0.31296				
465	0.33924				
470	0.37194000000000005				
475	0.40201				
480	0.43962				
485	0.4853				
490	0.52673				
495	0.54917				
500	0.56048				
505	0.5575800000000001				
510	0.53552				
515	0.50039				
520	0.45497				
525	0.39812				
530	0.33626				
535	0.2758				
540	0.21312				
545	0.15355				
550	0.10217999999999999				
555	0.06157				
560	0.03268				
565	0.01559				
570	0.00674				
575	0.0028199999999999996				
580	0.00109				
585	0.00043999999999999996				
590	0.00017999999999999998				
595	0.0001				
600	0.0001				
605	0.0001				
610	0.0001				
615	0.0001				
620	0.0001				
625	0.0001				
630	0.0001				
635	0.0001				
640	0.0001				
645	0.0001				
650	0.0001				
655	0.0001				
660	0.0001				
665	0.0001				
670	0.0001				
675	0.0001				
680	0.0001				
685	0.0001				
690	0.0001				
695	0.0001				
700	0.0023499999999999997				
705	0.00419				
710	0.00755				
715	0.01366				
720	0.02463				
725	0.044050000000000006				
730	0.0775				
735	0.13249				
740	0.21628				
745	0.33030000000000004				
750	0.46369				
755	0.59472				
760	0.7031100000000001				
765	0.78074				
770	0.83077				
775	0.86087				
780	0.87822				
785	0.8879900000000001				
790	0.8934099999999999				
795	0.8963899999999999				
800	0.89777				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
