Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.78778	#B4FAF5	Lee Filters	Steel Blue	117
410	0.79131				
415	0.7892				
420	0.8161799999999999				
425	0.85366				
430	0.87485				
435	0.8647				
440	0.85212				
445	0.86576				
450	0.89069				
455	0.9001300000000001				
460	0.88665				
465	0.8714400000000001				
470	0.8668300000000001				
475	0.87232				
480	0.87543				
485	0.87075				
490	0.8617900000000001				
495	0.8468300000000001				
500	0.8388500000000001				
505	0.83261				
510	0.821				
515	0.8035899999999999				
520	0.7835899999999999				
525	0.7632599999999999				
530	0.74442				
535	0.72935				
540	0.7121599999999999				
545	0.68987				
550	0.66121				
555	0.62432				
560	0.58118				
565	0.54484				
570	0.51048				
575	0.48269				
580	0.46314				
585	0.44673999999999997				
590	0.42979				
595	0.40485				
600	0.37095999999999996				
605	0.33798				
610	0.31465				
615	0.29852				
620	0.28637				
625	0.28376				
630	0.29022				
635	0.30674				
640	0.32655999999999996				
645	0.34360999999999997				
650	0.34746000000000005				
655	0.33033999999999997				
660	0.29164				
665	0.24893				
670	0.22952999999999998				
675	0.22715				
680	0.24858				
685	0.3064				
690	0.38915				
695	0.47459				
700	0.54946				
705	0.59874				
710	0.6411				
715	0.6775				
720	0.70878				
725	0.7356699999999999				
730	0.75877				
735	0.77863				
740	0.79569				
745	0.81036				
750	0.82296				
755	0.83379				
760	0.8431000000000001				
765	0.8511				
770	0.85798				
775	0.8638800000000001				
780	0.86896				
785	0.8733299999999999				
790	0.87708				
795	0.8803				
800	0.88255				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
