Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.047889999999999995	#78FA6E	Lee Filters	Fern Green	122
410	0.0405				
415	0.03418				
420	0.02924				
425	0.025939999999999998				
430	0.02488				
435	0.02638				
440	0.030670000000000003				
445	0.0378				
450	0.04819				
455	0.06321				
460	0.08810000000000001				
465	0.13113				
470	0.20529				
475	0.3161				
480	0.4521				
485	0.58238				
490	0.6798099999999999				
495	0.74016				
500	0.78303				
505	0.81789				
510	0.83202				
515	0.81786				
520	0.79238				
525	0.77026				
530	0.76156				
535	0.7624299999999999				
540	0.75182				
545	0.72048				
550	0.66838				
555	0.60941				
560	0.55153				
565	0.50348				
570	0.45821				
575	0.4152				
580	0.37165				
585	0.33054				
590	0.28655				
595	0.24093				
600	0.19863				
605	0.16507000000000002				
610	0.14337999999999998				
615	0.13108				
620	0.12391999999999999				
625	0.1216				
630	0.12368				
635	0.12892				
640	0.13457				
645	0.13752				
650	0.13359				
655	0.12017				
660	0.09778				
665	0.07614				
670	0.0642				
675	0.061470000000000004				
680	0.07078999999999999				
685	0.09593				
690	0.14089000000000002				
695	0.20395				
700	0.27809				
705	0.36552999999999997				
710	0.44067				
715	0.50525				
720	0.5607500000000001				
725	0.6084499999999999				
730	0.64944				
735	0.68467				
740	0.71494				
745	0.7409600000000001				
750	0.7633199999999999				
755	0.78254				
760	0.79905				
765	0.81324				
770	0.82544				
775	0.83592				
780	0.84493				
785	0.85268				
790	0.85933				
795	0.86505				
800	0.8690399999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
