Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.24147	#BE009B	Lee Filters	Mauve	126
410	0.25543				
415	0.27215				
420	0.28578				
425	0.29568				
430	0.31385				
435	0.33344999999999997				
440	0.34127				
445	0.33585				
450	0.3176				
455	0.28739000000000003				
460	0.2493				
465	0.21071				
470	0.17013999999999999				
475	0.13094				
480	0.0977				
485	0.07035999999999999				
490	0.049089999999999995				
495	0.03178				
500	0.01863				
505	0.009649999999999999				
510	0.00453				
515	0.00212				
520	0.00113				
525	0.0007099999999999999				
530	0.0005600000000000001				
535	0.00041				
540	0.00029				
545	0.00014000000000000001				
550	0.0001				
555	0.0001				
560	0.0001				
565	0.0001				
570	0.0001				
575	0.0001				
580	0.00046				
585	0.00164				
590	0.00697				
595	0.022949999999999998				
600	0.05346				
605	0.08858				
610	0.11517				
615	0.12757				
620	0.12969				
625	0.13244999999999998				
630	0.14478				
635	0.17443999999999998				
640	0.22829999999999998				
645	0.30761				
650	0.40976				
655	0.52016				
660	0.6222099999999999				
665	0.69869				
670	0.7541500000000001				
675	0.78377				
680	0.80388				
685	0.8236199999999999				
690	0.8414100000000001				
695	0.8552200000000001				
700	0.86772				
705	0.87226				
710	0.87616				
715	0.8795099999999999				
720	0.88239				
725	0.8848699999999999				
730	0.88699				
735	0.88882				
740	0.89039				
745	0.8917499999999999				
750	0.89291				
755	0.8939				
760	0.89476				
765	0.8955				
770	0.89613				
775	0.89667				
780	0.8971399999999999				
785	0.89754				
790	0.89789				
795	0.89819				
800	0.89839				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
