Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.198	#FCB98C	Lee Filters	Apricot	147
410	0.19477				
415	0.192				
420	0.19227				
425	0.19191				
430	0.18797				
435	0.18191				
440	0.1776				
445	0.17585				
450	0.17295000000000002				
455	0.17115				
460	0.17291				
465	0.18038				
470	0.19074000000000002				
475	0.20053				
480	0.2095				
485	0.21925				
490	0.2339				
495	0.25059000000000003				
500	0.26543				
505	0.2757				
510	0.28171				
515	0.2887				
520	0.29922				
525	0.3151				
530	0.33340000000000003				
535	0.35144				
540	0.3703				
545	0.39041				
550	0.40995				
555	0.42779000000000006				
560	0.44433				
565	0.47178				
570	0.52536				
575	0.61165				
580	0.70709				
585	0.7781199999999999				
590	0.82452				
595	0.8460599999999999				
600	0.85272				
605	0.85858				
610	0.86735				
615	0.8803799999999999				
620	0.89615				
625	0.9066200000000001				
630	0.90628				
635	0.89696				
640	0.8847				
645	0.8729600000000001				
650	0.87104				
655	0.8743099999999999				
660	0.88517				
665	0.90289				
670	0.9178700000000001				
675	0.92157				
680	0.9192199999999999				
685	0.9120900000000001				
690	0.89615				
695	0.8817499999999999				
700	0.87657				
705	0.8766200000000001				
710	0.8767				
715	0.8768600000000001				
720	0.87715				
725	0.8776600000000001				
730	0.8785299999999999				
735	0.87997				
740	0.88215				
745	0.8851300000000001				
750	0.88861				
755	0.89203				
760	0.89486				
765	0.89689				
770	0.89819				
775	0.89898				
780	0.89943				
785	0.89969				
790	0.89983				
795	0.89991				
800	0.89994				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
