Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.61225	#7DD2F5	Lee Filters	Slate Blue	161
410	0.64661				
415	0.67656				
420	0.71506				
425	0.75441				
430	0.78342				
435	0.79738				
440	0.81784				
445	0.8418800000000001				
450	0.8448699999999999				
455	0.8194400000000001				
460	0.7950400000000001				
465	0.79161				
470	0.79426				
475	0.78166				
480	0.74299				
485	0.6962900000000001				
490	0.66252				
495	0.63854				
500	0.61688				
505	0.58006				
510	0.5354800000000001				
515	0.48666				
520	0.43847				
525	0.39263				
530	0.34694				
535	0.30573				
540	0.27294				
545	0.2489				
550	0.22829999999999998				
555	0.20486000000000001				
560	0.17512				
565	0.14181				
570	0.11281000000000001				
575	0.09195				
580	0.08119				
585	0.08059				
590	0.08654				
595	0.09464				
600	0.09826				
605	0.09494999999999999				
610	0.08595000000000001				
615	0.0746				
620	0.06459				
625	0.05984				
630	0.0639				
635	0.07915				
640	0.11196999999999999				
645	0.16304				
650	0.22899999999999998				
655	0.29099				
660	0.32497				
665	0.32844				
670	0.33640000000000003				
675	0.35307				
680	0.38917				
685	0.46381999999999995				
690	0.5677				
695	0.6636799999999999				
700	0.73494				
705	0.75815				
710	0.77809				
715	0.79523				
720	0.8099599999999999				
725	0.82262				
730	0.8334999999999999				
735	0.84285				
740	0.85088				
745	0.8577899999999999				
750	0.86372				
755	0.86882				
760	0.8732099999999999				
765	0.87697				
770	0.88021				
775	0.88299				
780	0.88538				
785	0.88744				
790	0.8892100000000001				
795	0.8907200000000001				
800	0.89178				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
