Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.013340000000000001	#FF3200	Lee Filters	Flame Red	164
410	0.01262				
415	0.01214				
420	0.01218				
425	0.01268				
430	0.01343				
435	0.014039999999999999				
440	0.01444				
445	0.01448				
450	0.01425				
455	0.01398				
460	0.013680000000000001				
465	0.013580000000000002				
470	0.0138				
475	0.01433				
480	0.01508				
485	0.016				
490	0.017070000000000002				
495	0.01812				
500	0.01908				
505	0.01941				
510	0.01931				
515	0.01897				
520	0.01931				
525	0.02051				
530	0.022189999999999998				
535	0.02284				
540	0.020870000000000003				
545	0.01625				
550	0.011049999999999999				
555	0.007039999999999999				
560	0.00468				
565	0.00409				
570	0.0057599999999999995				
575	0.01283				
580	0.03803				
585	0.10256				
590	0.23003				
595	0.39872				
600	0.55358				
605	0.6578				
610	0.71792				
615	0.75711				
620	0.79061				
625	0.81881				
630	0.84038				
635	0.8490800000000001				
640	0.85017				
645	0.84274				
650	0.83569				
655	0.83634				
660	0.83946				
665	0.8495199999999999				
670	0.8648699999999999				
675	0.88152				
680	0.89569				
685	0.9022				
690	0.90274				
695	0.90125				
700	0.89224				
705	0.89333				
710	0.8942700000000001				
715	0.89507				
720	0.89577				
725	0.8963599999999999				
730	0.89687				
735	0.8973099999999999				
740	0.8976900000000001				
745	0.89802				
750	0.8982899999999999				
755	0.8985299999999999				
760	0.89874				
765	0.8989199999999999				
770	0.8990699999999999				
775	0.8992				
780	0.8993099999999999				
785	0.89941				
790	0.89949				
795	0.89956				
800	0.89961				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
