Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.48679	#E6AADC	Lee Filters	Deep Lavender	170
410	0.50664				
415	0.52966				
420	0.53533				
425	0.53535				
430	0.54099				
435	0.55193				
440	0.54936				
445	0.53737				
450	0.52921				
455	0.5228499999999999				
460	0.51542				
465	0.50196				
470	0.48747				
475	0.47232				
480	0.45499				
485	0.43738				
490	0.41767000000000004				
495	0.39939				
500	0.38042000000000004				
505	0.35616				
510	0.32985				
515	0.3006				
520	0.2727				
525	0.24974				
530	0.2311				
535	0.21553999999999998				
540	0.20145				
545	0.1875				
550	0.1744				
555	0.16265999999999997				
560	0.15525				
565	0.15277				
570	0.15608				
575	0.16685				
580	0.18446				
585	0.20894				
590	0.23803999999999997				
595	0.26692				
600	0.2908				
605	0.30715				
610	0.31379999999999997				
615	0.31399				
620	0.3128				
625	0.31718				
630	0.33454999999999996				
635	0.36823999999999996				
640	0.41942				
645	0.48173				
650	0.55039				
655	0.62125				
660	0.68632				
665	0.74238				
670	0.78525				
675	0.81549				
680	0.83434				
685	0.84027				
690	0.8432599999999999				
695	0.84871				
700	0.85324				
705	0.85981				
710	0.8654600000000001				
715	0.87032				
720	0.87449				
725	0.8780800000000001				
730	0.8811599999999999				
735	0.88381				
740	0.8860899999999999				
745	0.88804				
750	0.88972				
755	0.89117				
760	0.89241				
765	0.8934799999999999				
770	0.8943899999999999				
775	0.89518				
780	0.89586				
785	0.89644				
790	0.8969400000000001				
795	0.89737				
800	0.89767				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
