Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.2774	#00DCDC	Lee Filters	Lagoon Blue	172
410	0.32702				
415	0.36416				
420	0.4047				
425	0.43619				
430	0.45891				
435	0.4962				
440	0.5326299999999999				
445	0.5573				
450	0.58024				
455	0.59011				
460	0.60082				
465	0.61931				
470	0.65241				
475	0.68801				
480	0.70274				
485	0.6955100000000001				
490	0.68855				
495	0.68557				
500	0.67342				
505	0.63609				
510	0.5893999999999999				
515	0.54529				
520	0.50716				
525	0.46031999999999995				
530	0.40082999999999996				
535	0.33909999999999996				
540	0.28546				
545	0.23963				
550	0.19569				
555	0.1497				
560	0.10461999999999999				
565	0.06828000000000001				
570	0.0425				
575	0.026619999999999998				
580	0.01711				
585	0.01171				
590	0.00807				
595	0.00536				
600	0.00332				
605	0.00207				
610	0.0013900000000000002				
615	0.00105				
620	0.0009				
625	0.0008799999999999999				
630	0.0010199999999999999				
635	0.00128				
640	0.0017599999999999998				
645	0.00232				
650	0.0027300000000000002				
655	0.0027500000000000003				
660	0.0023499999999999997				
665	0.00189				
670	0.00172				
675	0.00189				
680	0.00263				
685	0.00475				
690	0.00978				
695	0.01955				
700	0.03595				
705	0.15743000000000001				
710	0.26183				
715	0.35156				
720	0.42866				
725	0.49493000000000004				
730	0.55188				
735	0.60083				
740	0.64289				
745	0.67904				
750	0.7101000000000001				
755	0.7368000000000001				
760	0.7597499999999999				
765	0.77947				
770	0.7964100000000001				
775	0.81098				
780	0.82349				
785	0.8342499999999999				
790	0.8434900000000001				
795	0.8514400000000001				
800	0.85698				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
