Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.6347999999999999	#AFE1FA	Lee Filters	Dark Steel Blue	174
410	0.6780200000000001				
415	0.7075199999999999				
420	0.71821				
425	0.73857				
430	0.7702100000000001				
435	0.79455				
440	0.8072				
445	0.81291				
450	0.8103400000000001				
455	0.79881				
460	0.80338				
465	0.80864				
470	0.79867				
475	0.76613				
480	0.73803				
485	0.72748				
490	0.72236				
495	0.69896				
500	0.6566200000000001				
505	0.61229				
510	0.58423				
515	0.56177				
520	0.5320199999999999				
525	0.48698				
530	0.43293				
535	0.38755				
540	0.35764				
545	0.34015999999999996				
550	0.32504				
555	0.30343				
560	0.26969				
565	0.22968				
570	0.19359				
575	0.16855				
580	0.15673				
585	0.15818				
590	0.16942000000000002				
595	0.18294				
600	0.18864				
605	0.18442				
610	0.17193000000000003				
615	0.15447				
620	0.14022				
625	0.13452999999999998				
630	0.14322				
635	0.17013999999999999				
640	0.21981				
645	0.28969				
650	0.37077				
655	0.4468				
660	0.49796999999999997				
665	0.51872				
670	0.53876				
675	0.5644100000000001				
680	0.6059300000000001				
685	0.66584				
690	0.7280200000000001				
695	0.7767499999999999				
700	0.80808				
705	0.821				
710	0.83211				
715	0.84166				
720	0.8498600000000001				
725	0.8569100000000001				
730	0.86297				
735	0.8681699999999999				
740	0.87265				
745	0.87649				
750	0.8798				
755	0.88264				
760	0.88508				
765	0.8871800000000001				
770	0.88898				
775	0.8905299999999999				
780	0.8918600000000001				
785	0.89301				
790	0.8939900000000001				
795	0.89483				
800	0.89542				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
