Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.6078	#F8DCDD	Lee Filters	Cosmetic Silver Rose	186
410	0.61206				
415	0.61507				
420	0.61889				
425	0.6188199999999999				
430	0.62035				
435	0.61908				
440	0.62026				
445	0.61902				
450	0.61522				
455	0.6127				
460	0.60952				
465	0.60676				
470	0.6028199999999999				
475	0.59738				
480	0.59388				
485	0.5898599999999999				
490	0.58594				
495	0.58221				
500	0.57544				
505	0.57145				
510	0.56662				
515	0.56341				
520	0.55958				
525	0.5534				
530	0.55019				
535	0.5494100000000001				
540	0.5501				
545	0.55189				
550	0.55393				
555	0.55884				
560	0.5636399999999999				
565	0.57394				
570	0.5875900000000001				
575	0.6054200000000001				
580	0.62582				
585	0.64122				
590	0.65535				
595	0.66743				
600	0.67747				
605	0.6842400000000001				
610	0.6876000000000001				
615	0.6945399999999999				
620	0.6993699999999999				
625	0.70604				
630	0.7114100000000001				
635	0.7177500000000001				
640	0.7227				
645	0.72502				
650	0.72734				
655	0.72943				
660	0.72964				
665	0.7329000000000001				
670	0.7364700000000001				
675	0.73863				
680	0.74212				
685	0.74422				
690	0.74436				
695	0.74279				
700	0.74374				
705	0.74406				
710	0.74464				
715	0.74571				
720	0.74762				
725	0.7509999999999999				
730	0.75682				
735	0.7663899999999999				
740	0.78098				
745	0.8008299999999999				
750	0.8240500000000001				
755	0.8468600000000001				
760	0.8657299999999999				
765	0.87924				
770	0.88795				
775	0.89319				
780	0.89621				
785	0.89791				
790	0.89885				
795	0.89937				
800	0.89961				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
