Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.59938	#FFEBD7	Lee Filters	Cosmetic Highlight	188
410	0.6015				
415	0.6017				
420	0.6013499999999999				
425	0.6011099999999999				
430	0.60311				
435	0.60293				
440	0.60302				
445	0.60169				
450	0.5986				
455	0.59748				
460	0.59492				
465	0.59545				
470	0.5928				
475	0.58904				
480	0.5885900000000001				
485	0.59089				
490	0.5923700000000001				
495	0.5932200000000001				
500	0.59246				
505	0.59639				
510	0.60435				
515	0.61173				
520	0.6191599999999999				
525	0.62412				
530	0.62946				
535	0.6340699999999999				
540	0.64216				
545	0.6537000000000001				
550	0.66584				
555	0.6807500000000001				
560	0.69499				
565	0.70563				
570	0.71328				
575	0.7186100000000001				
580	0.72259				
585	0.72529				
590	0.7281799999999999				
595	0.73247				
600	0.73443				
605	0.73419				
610	0.73405				
615	0.73583				
620	0.73407				
625	0.73634				
630	0.74118				
635	0.74481				
640	0.74827				
645	0.74941				
650	0.7509999999999999				
655	0.7502599999999999				
660	0.7484999999999999				
665	0.7475499999999999				
670	0.75131				
675	0.75227				
680	0.75644				
685	0.75991				
690	0.76114				
695	0.7631699999999999				
700	0.7642				
705	0.7644799999999999				
710	0.76498				
715	0.76591				
720	0.7675700000000001				
725	0.77051				
730	0.77557				
735	0.78389				
740	0.79656				
745	0.81381				
750	0.83399				
755	0.85382				
760	0.87021				
765	0.88196				
770	0.88953				
775	0.89408				
780	0.8967100000000001				
785	0.89818				
790	0.899				
795	0.89945				
800	0.8996599999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
