Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.35888	#82AAE6	Lee Filters	Alice Blue	197
410	0.39250999999999997				
415	0.41462000000000004				
420	0.43807				
425	0.46057000000000003				
430	0.48207				
435	0.50838				
440	0.52533				
445	0.53339				
450	0.5399				
455	0.53989				
460	0.53001				
465	0.5166499999999999				
470	0.50546				
475	0.4865				
480	0.45486				
485	0.41989				
490	0.39267				
495	0.36152				
500	0.31984				
505	0.27343				
510	0.23023				
515	0.1943				
520	0.16568000000000002				
525	0.14154999999999998				
530	0.12090999999999999				
535	0.10156000000000001				
540	0.08086				
545	0.06049				
550	0.04183				
555	0.02959				
560	0.02307				
565	0.0219				
570	0.024929999999999997				
575	0.03182				
580	0.042190000000000005				
585	0.053840000000000006				
590	0.0642				
595	0.0687				
600	0.06631999999999999				
605	0.06017				
610	0.053849999999999995				
615	0.04836				
620	0.044039999999999996				
625	0.04195				
630	0.04337				
635	0.04869				
640	0.057519999999999995				
645	0.06769				
650	0.07513				
655	0.07400000000000001				
660	0.0629				
665	0.049089999999999995				
670	0.04271				
675	0.04262				
680	0.051699999999999996				
685	0.07674				
690	0.122				
695	0.18197				
700	0.25047				
705	0.34179000000000004				
710	0.42027000000000003				
715	0.48772				
720	0.5456799999999999				
725	0.5954999999999999				
730	0.63831				
735	0.6751				
740	0.70672				
745	0.7339				
750	0.75725				
755	0.77732				
760	0.7945699999999999				
765	0.8093899999999999				
770	0.8221299999999999				
775	0.83308				
780	0.84249				
785	0.85057				
790	0.85752				
795	0.8634900000000001				
800	0.8676600000000001				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
