Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.13243	#DCBE8C	Lee Filters	Super Correction L.C.T. Yellow	230
410	0.14972				
415	0.16513000000000003				
420	0.17815999999999999				
425	0.18398				
430	0.18641				
435	0.19242				
440	0.20431999999999997				
445	0.21896000000000002				
450	0.23024999999999998				
455	0.23782				
460	0.24954				
465	0.26674				
470	0.28962				
475	0.31633				
480	0.34415				
485	0.36921				
490	0.39022				
495	0.40497999999999995				
500	0.40985999999999995				
505	0.40915				
510	0.40655				
515	0.40305				
520	0.39832999999999996				
525	0.39376				
530	0.38937				
535	0.38484999999999997				
540	0.38537999999999994				
545	0.38547				
550	0.38519				
555	0.38457				
560	0.38436				
565	0.38658000000000003				
570	0.3944				
575	0.40954999999999997				
580	0.42863999999999997				
585	0.44523				
590	0.46143999999999996				
595	0.47229999999999994				
600	0.47465				
605	0.47218000000000004				
610	0.4667				
615	0.46436999999999995				
620	0.4653				
625	0.47130000000000005				
630	0.48332				
635	0.50088				
640	0.52301				
645	0.54179				
650	0.55846				
655	0.56717				
660	0.56405				
665	0.54864				
670	0.53588				
675	0.5405599999999999				
680	0.56339				
685	0.60929				
690	0.67594				
695	0.7428100000000001				
700	0.79694				
705	0.81143				
710	0.8238800000000001				
715	0.83458				
720	0.84378				
725	0.85169				
730	0.85848				
735	0.86432				
740	0.86933				
745	0.8736400000000001				
750	0.87735				
755	0.8805299999999999				
760	0.88327				
765	0.88562				
770	0.88764				
775	0.8893800000000001				
780	0.89087				
785	0.89216				
790	0.8932599999999999				
795	0.8942100000000001				
800	0.8948699999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
