Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.30813	#B9E6B9	Lee Filters	LEE Fluorescent 4300 Kelvin	242
410	0.31634				
415	0.32498				
420	0.33204999999999996				
425	0.33372999999999997				
430	0.33238				
435	0.33606				
440	0.34579				
445	0.35292999999999997				
450	0.35191				
455	0.36089				
460	0.38250999999999996				
465	0.41579				
470	0.44919				
475	0.47198999999999997				
480	0.49201				
485	0.5235799999999999				
490	0.56462				
495	0.6028199999999999				
500	0.62363				
505	0.62352				
510	0.61231				
515	0.60268				
520	0.59851				
525	0.59179				
530	0.58102				
535	0.56213				
540	0.53096				
545	0.48776				
550	0.44053				
555	0.39392000000000005				
560	0.35975999999999997				
565	0.34188				
570	0.33738				
575	0.33964				
580	0.34043				
585	0.33291				
590	0.31555				
595	0.28937999999999997				
600	0.25969000000000003				
605	0.23498000000000002				
610	0.21995				
615	0.21123				
620	0.20794				
625	0.20832				
630	0.21274				
635	0.22008				
640	0.22774999999999998				
645	0.23196999999999998				
650	0.22871				
655	0.21451				
660	0.19194				
665	0.16829999999999998				
670	0.15961999999999998				
675	0.16232				
680	0.18445				
685	0.23109000000000002				
690	0.29942				
695	0.375				
700	0.44512999999999997				
705	0.50908				
710	0.56404				
715	0.61128				
720	0.65187				
725	0.68676				
730	0.71674				
735	0.7425				
740	0.76465				
745	0.7836799999999999				
750	0.80003				
755	0.8140900000000001				
760	0.8261700000000001				
765	0.83655				
770	0.8454699999999999				
775	0.85313				
780	0.8597199999999999				
785	0.86539				
790	0.8702500000000001				
795	0.87444				
800	0.87735				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
