Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.7976800000000001	#F3FFF3	Lee Filters	Eighth Plus Green	278
410	0.7961100000000001				
415	0.7738299999999999				
420	0.77253				
425	0.80172				
430	0.8180200000000001				
435	0.79593				
440	0.77199				
445	0.7798900000000001				
450	0.81066				
455	0.83327				
460	0.82086				
465	0.79915				
470	0.79914				
475	0.8289700000000001				
480	0.8630200000000001				
485	0.8771				
490	0.86142				
495	0.8432599999999999				
500	0.8429800000000001				
505	0.86485				
510	0.8966				
515	0.9127200000000001				
520	0.90553				
525	0.88453				
530	0.8651300000000001				
535	0.8622299999999999				
540	0.87548				
545	0.89483				
550	0.90872				
555	0.91313				
560	0.90223				
565	0.88548				
570	0.8778199999999999				
575	0.87118				
580	0.8713				
585	0.8732				
590	0.87382				
595	0.87012				
600	0.86044				
605	0.8554				
610	0.8533700000000001				
615	0.85297				
620	0.85397				
625	0.85492				
630	0.85913				
635	0.86006				
640	0.8598600000000001				
645	0.85543				
650	0.8486499999999999				
655	0.83506				
660	0.8115300000000001				
665	0.78408				
670	0.77845				
675	0.77995				
680	0.7972499999999999				
685	0.82577				
690	0.85031				
695	0.86417				
700	0.86933				
705	0.8693899999999999				
710	0.8695				
715	0.86971				
720	0.87009				
725	0.87075				
730	0.8718899999999999				
735	0.8737699999999999				
740	0.87664				
745	0.8805299999999999				
750	0.88509				
755	0.88957				
760	0.89327				
765	0.8959199999999999				
770	0.89763				
775	0.89866				
780	0.8992600000000001				
785	0.89959				
790	0.8997700000000001				
795	0.89988				
800	0.89992				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
