Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.5884199999999999	#AFD9F5	Lee Filters	One and a Half C.T. Blue	283
410	0.62907				
415	0.6567799999999999				
420	0.6695				
425	0.6789000000000001				
430	0.69512				
435	0.71706				
440	0.72732				
445	0.72116				
450	0.71346				
455	0.7051000000000001				
460	0.69682				
465	0.6842900000000001				
470	0.6656				
475	0.6436				
480	0.62001				
485	0.59707				
490	0.5704699999999999				
495	0.54466				
500	0.51238				
505	0.47647				
510	0.43523				
515	0.39472999999999997				
520	0.35784999999999995				
525	0.32918				
530	0.30548				
535	0.28366				
540	0.25364000000000003				
545	0.21731				
550	0.17787				
555	0.14513				
560	0.12416				
565	0.11630000000000001				
570	0.12085000000000001				
575	0.13354				
580	0.15334				
585	0.1722				
590	0.18579				
595	0.18646000000000001				
600	0.17463				
605	0.15862				
610	0.14468				
615	0.13545				
620	0.12933				
625	0.12713				
630	0.13134				
635	0.14169				
640	0.15648				
645	0.17034				
650	0.17681000000000002				
655	0.17026				
660	0.14966				
665	0.12423999999999999				
670	0.11013				
675	0.10773999999999999				
680	0.11951				
685	0.15396				
690	0.21559				
695	0.29098				
700	0.37004				
705	0.44455				
710	0.5085799999999999				
715	0.56362				
720	0.6109100000000001				
725	0.65155				
730	0.68648				
735	0.7165				
740	0.7423000000000001				
745	0.76447				
750	0.78353				
755	0.7998999999999999				
760	0.8139799999999999				
765	0.82607				
770	0.83647				
775	0.8454				
780	0.85307				
785	0.8596699999999999				
790	0.8653400000000001				
795	0.87021				
800	0.87361				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
