Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.33893	#8C00D2	Lee Filters	Special Medium Lavender	343
410	0.37500999999999995				
415	0.39014000000000004				
420	0.40973				
425	0.45266				
430	0.49186				
435	0.50613				
440	0.50986				
445	0.52293				
450	0.52231				
455	0.49468				
460	0.4567				
465	0.42721				
470	0.39614				
475	0.35734				
480	0.31273				
485	0.26694				
490	0.22414				
495	0.18167999999999998				
500	0.14023				
505	0.10428000000000001				
510	0.07604				
515	0.05624				
520	0.042809999999999994				
525	0.03263				
530	0.02412				
535	0.017079999999999998				
540	0.01155				
545	0.00786				
550	0.00553				
555	0.00431				
560	0.00384				
565	0.00383				
570	0.0042699999999999995				
575	0.0052				
580	0.00718				
585	0.01054				
590	0.01662				
595	0.02512				
600	0.0335				
605	0.03754				
610	0.03563				
615	0.030289999999999997				
620	0.02521				
625	0.022959999999999998				
630	0.024900000000000002				
635	0.03394				
640	0.05579				
645	0.09904				
650	0.17315000000000003				
655	0.27582999999999996				
660	0.39388				
665	0.50232				
670	0.59279				
675	0.66037				
680	0.718				
685	0.76315				
690	0.80182				
695	0.83226				
700	0.84981				
705	0.85687				
710	0.8629300000000001				
715	0.8681399999999999				
720	0.87262				
725	0.8764700000000001				
730	0.8797799999999999				
735	0.88262				
740	0.88507				
745	0.88716				
750	0.88897				
755	0.8905200000000001				
760	0.89185				
765	0.893				
770	0.89398				
775	0.89483				
780	0.89556				
785	0.89618				
790	0.89672				
795	0.8971800000000001				
800	0.8975				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
