Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.46511	#CD6ED7	Lee Filters	Fuchsia Pink	345
410	0.47759999999999997				
415	0.50552				
420	0.53024				
425	0.53294				
430	0.52549				
435	0.53622				
440	0.55431				
445	0.55896				
450	0.53667				
455	0.50628				
460	0.48447				
465	0.47121				
470	0.44888				
475	0.41284999999999994				
480	0.37059				
485	0.33254				
490	0.29888000000000003				
495	0.26592				
500	0.22826000000000002				
505	0.18725999999999998				
510	0.15036				
515	0.12340999999999999				
520	0.10722				
525	0.09841				
530	0.09234999999999999				
535	0.08364				
540	0.07017000000000001				
545	0.054610000000000006				
550	0.04149				
555	0.033780000000000004				
560	0.03233				
565	0.03732				
570	0.05083				
575	0.07592				
580	0.1167				
585	0.16745000000000002				
590	0.21836				
595	0.25498				
600	0.27142				
605	0.27414				
610	0.27288				
615	0.27086				
620	0.26861				
625	0.26664				
630	0.26667				
635	0.26796				
640	0.2691				
645	0.26708				
650	0.25743				
655	0.23617999999999997				
660	0.20204999999999998				
665	0.16845				
670	0.15123				
675	0.14621				
680	0.15814				
685	0.19510000000000002				
690	0.25378				
695	0.32134				
700	0.38688				
705	0.45902				
710	0.5210199999999999				
715	0.5743				
720	0.6201				
725	0.65945				
730	0.6932699999999999				
735	0.72233				
740	0.7473099999999999				
745	0.76878				
750	0.78723				
755	0.80308				
760	0.81671				
765	0.8284199999999999				
770	0.83848				
775	0.8471299999999999				
780	0.8545699999999999				
785	0.86095				
790	0.8664400000000001				
795	0.87116				
800	0.87445				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
