Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.55254	#61E8E3	Lee Filters	Lighter Blue	353
410	0.6095				
415	0.6552				
420	0.6777299999999999				
425	0.70093				
430	0.73894				
435	0.77922				
440	0.78708				
445	0.78732				
450	0.79986				
455	0.82146				
460	0.82817				
465	0.8166800000000001				
470	0.80245				
475	0.80333				
480	0.81391				
485	0.81597				
490	0.79203				
495	0.76396				
500	0.7414400000000001				
505	0.73462				
510	0.72653				
515	0.7080500000000001				
520	0.67256				
525	0.62583				
530	0.5841				
535	0.54988				
540	0.52216				
545	0.49589				
550	0.45974				
555	0.41343				
560	0.36310000000000003				
565	0.31207				
570	0.26527				
575	0.22769999999999999				
580	0.19918				
585	0.18053999999999998				
590	0.16498000000000002				
595	0.14763				
600	0.12900999999999999				
605	0.11125				
610	0.09622				
615	0.08489000000000001				
620	0.0767				
625	0.07341				
630	0.07417				
635	0.08097				
640	0.09122999999999999				
645	0.10288				
650	0.11114				
655	0.11176				
660	0.10276				
665	0.09068				
670	0.08574999999999999				
675	0.08712				
680	0.09838				
685	0.12445				
690	0.16366				
695	0.20882				
700	0.25721				
705	0.34758				
710	0.42524999999999996				
715	0.49200000000000005				
720	0.54936				
725	0.59866				
730	0.64103				
735	0.67744				
740	0.7087300000000001				
745	0.7356199999999999				
750	0.75873				
755	0.7785899999999999				
760	0.79566				
765	0.81033				
770	0.82294				
775	0.8337699999999999				
780	0.84308				
785	0.8510899999999999				
790	0.8579600000000001				
795	0.86387				
800	0.868				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
