Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.5226500000000001	#B4D2FF	Lee Filters	Double New Colour Blue	500
410	0.5499				
415	0.5624199999999999				
420	0.58436				
425	0.61726				
430	0.63833				
435	0.6486799999999999				
440	0.65931				
445	0.6756300000000001				
450	0.6879900000000001				
455	0.6819700000000001				
460	0.66559				
465	0.6581199999999999				
470	0.6575				
475	0.65095				
480	0.62578				
485	0.59118				
490	0.55924				
495	0.53118				
500	0.50547				
505	0.47367				
510	0.43144				
515	0.38756999999999997				
520	0.34604999999999997				
525	0.30994				
530	0.27709				
535	0.24594000000000002				
540	0.2147				
545	0.18664000000000003				
550	0.16099				
555	0.14113				
560	0.12694				
565	0.11857				
570	0.11506				
575	0.11646000000000001				
580	0.1225				
585	0.13241				
590	0.14429				
595	0.15233				
600	0.15237				
605	0.14529999999999998				
610	0.13428				
615	0.12281				
620	0.11379				
625	0.10987				
630	0.11560000000000001				
635	0.13332				
640	0.16358				
645	0.20268999999999998				
650	0.2434				
655	0.27029				
660	0.27222999999999997				
665	0.25512				
670	0.24562				
675	0.25178999999999996				
680	0.27905				
685	0.34228000000000003				
690	0.43679				
695	0.53171				
700	0.61387				
705	0.6541				
710	0.68867				
715	0.7183799999999999				
720	0.7439199999999999				
725	0.76586				
730	0.78472				
735	0.80093				
740	0.81486				
745	0.8268300000000001				
750	0.8371200000000001				
755	0.84596				
760	0.85356				
765	0.86009				
770	0.8656999999999999				
775	0.8705200000000001				
780	0.87466				
785	0.87823				
790	0.88129				
795	0.8839199999999999				
800	0.88575				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
