Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.0001	#00AA00	Lee Filters	Twickenham Green	736
410	0.0001				
415	0.0001				
420	0.0001				
425	0.0001				
430	0.0001				
435	0.0001				
440	0.0001				
445	0.0001				
450	0.0001				
455	0.0001				
460	0.0001				
465	0.00010999999999999999				
470	0.00024				
475	0.00068				
480	0.0020599999999999998				
485	0.00617				
490	0.01592				
495	0.03543				
500	0.06622				
505	0.10755				
510	0.15206				
515	0.19097999999999998				
520	0.21661000000000002				
525	0.22841				
530	0.22384				
535	0.20347				
540	0.17327				
545	0.13727999999999999				
550	0.09888999999999999				
555	0.06381				
560	0.0368				
565	0.01902				
570	0.00903				
575	0.00411				
580	0.0017299999999999998				
585	0.00075				
590	0.00034				
595	0.00013				
600	0.0001				
605	0.0001				
610	0.0001				
615	0.0001				
620	0.0001				
625	0.0001				
630	0.0001				
635	0.0001				
640	0.0001				
645	0.0001				
650	0.0001				
655	0.0001				
660	0.0001				
665	0.0001				
670	0.0001				
675	0.0001				
680	0.0001				
685	0.0001				
690	0.0001				
695	0.00017				
700	0.0027300000000000002				
705	0.00458				
710	0.007940000000000001				
715	0.014039999999999999				
720	0.025				
725	0.04442				
730	0.07786				
735	0.13282				
740	0.21658000000000002				
745	0.33055				
750	0.46387999999999996				
755	0.59485				
760	0.7031999999999999				
765	0.78079				
770	0.8308				
775	0.8608899999999999				
780	0.87823				
785	0.8879900000000001				
790	0.8934099999999999				
795	0.8963899999999999				
800	0.89778				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
