Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.20821	#F5B99F	Lee Filters	Easy White	747
410	0.20094				
415	0.19596				
420	0.19001				
425	0.18420000000000003				
430	0.18309999999999998				
435	0.18599				
440	0.18678999999999998				
445	0.18779				
450	0.19043				
455	0.1966				
460	0.20264				
465	0.20682999999999999				
470	0.2127				
475	0.21901				
480	0.22247				
485	0.22058				
490	0.21437				
495	0.20804999999999998				
500	0.20425000000000001				
505	0.20192				
510	0.19981000000000002				
515	0.19756				
520	0.19821999999999998				
525	0.2022				
530	0.21018				
535	0.21983				
540	0.22881				
545	0.23568				
550	0.24239				
555	0.25062				
560	0.2634				
565	0.28466				
570	0.32098				
575	0.36758				
580	0.41456000000000004				
585	0.44468				
590	0.45722				
595	0.45793				
600	0.45079				
605	0.44533				
610	0.44575000000000004				
615	0.44461				
620	0.44411				
625	0.44116999999999995				
630	0.44281				
635	0.44872999999999996				
640	0.45722999999999997				
645	0.46612000000000003				
650	0.46683				
655	0.44905				
660	0.41196				
665	0.37115000000000004				
670	0.35470999999999997				
675	0.35005000000000003				
680	0.37228				
685	0.42825				
690	0.50681				
695	0.58463				
700	0.6539				
705	0.6884999999999999				
710	0.71824				
715	0.7437900000000001				
720	0.76575				
725	0.7846299999999999				
730	0.80085				
735	0.81479				
740	0.8267700000000001				
745	0.83707				
750	0.8459099999999999				
755	0.8535200000000001				
760	0.86005				
765	0.8656699999999999				
770	0.8704999999999999				
775	0.87464				
780	0.8782099999999999				
785	0.88127				
790	0.8839100000000001				
795	0.88617				
800	0.88775				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
