Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.27448	#FCBE9B	Lee Filters	Nectarine	776
410	0.26643				
415	0.26447				
420	0.27046				
425	0.27191				
430	0.26496				
435	0.25395				
440	0.24661000000000002				
445	0.24422				
450	0.24347000000000002				
455	0.24234000000000003				
460	0.24202				
465	0.24442				
470	0.25152				
475	0.26052				
480	0.27047				
485	0.2814				
490	0.29314				
495	0.30618				
500	0.31831				
505	0.32622				
510	0.33061				
515	0.33399				
520	0.34076999999999996				
525	0.35655000000000003				
530	0.37886000000000003				
535	0.40409999999999996				
540	0.42672				
545	0.44310000000000005				
550	0.45188				
555	0.45787				
560	0.46582				
565	0.49256				
570	0.55008				
575	0.64256				
580	0.74006				
585	0.80805				
590	0.8433700000000001				
595	0.8567400000000001				
600	0.8579000000000001				
605	0.85772				
610	0.8622299999999999				
615	0.8731699999999999				
620	0.8853300000000001				
625	0.8927700000000001				
630	0.9001300000000001				
635	0.90059				
640	0.89851				
645	0.8919				
650	0.88991				
655	0.88792				
660	0.88964				
665	0.89216				
670	0.8959600000000001				
675	0.90056				
680	0.90251				
685	0.90295				
690	0.9036799999999999				
695	0.90696				
700	0.90896				
705	0.9089400000000001				
710	0.9089100000000001				
715	0.90884				
720	0.90874				
725	0.90854				
730	0.90821				
735	0.90766				
740	0.9068200000000001				
745	0.90569				
750	0.90435				
755	0.90305				
760	0.90196				
765	0.90119				
770	0.90069				
775	0.90039				
780	0.90022				
785	0.90012				
790	0.90007				
795	0.9000400000000001				
800	0.9000199999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
