Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.0001	#FF6F00	Lee Filters	AS Golden Amber	780
410	0.0001				
415	0.0001				
420	0.0001				
425	0.0001				
430	0.0001				
435	0.0001				
440	0.0001				
445	0.0001				
450	0.0001				
455	0.0001				
460	0.0001				
465	0.0001				
470	0.0001				
475	0.0001				
480	0.00010999999999999999				
485	0.00017				
490	0.00027				
495	0.00046				
500	0.00075				
505	0.0011799999999999998				
510	0.0017299999999999998				
515	0.00261				
520	0.00406				
525	0.00625				
530	0.00897				
535	0.01155				
540	0.01422				
545	0.018000000000000002				
550	0.025929999999999998				
555	0.04325999999999999				
560	0.07568				
565	0.12835000000000002				
570	0.21208				
575	0.33077				
580	0.469				
585	0.5834199999999999				
590	0.6608499999999999				
595	0.71134				
600	0.7451399999999999				
605	0.77637				
610	0.79777				
615	0.80857				
620	0.80861				
625	0.8026800000000001				
630	0.79728				
635	0.79958				
640	0.8092900000000001				
645	0.82012				
650	0.8295999999999999				
655	0.83324				
660	0.8288800000000001				
665	0.81991				
670	0.81406				
675	0.8143300000000001				
680	0.81894				
685	0.8290500000000001				
690	0.84557				
695	0.85478				
700	0.86235				
705	0.8624299999999999				
710	0.8625700000000001				
715	0.86283				
720	0.8632899999999999				
725	0.8641				
730	0.86551				
735	0.8678100000000001				
740	0.8713299999999999				
745	0.87611				
750	0.8817				
755	0.8872				
760	0.8917400000000001				
765	0.895				
770	0.8970999999999999				
775	0.8983599999999999				
780	0.8990900000000001				
785	0.8995000000000001				
790	0.89972				
795	0.89985				
800	0.89991				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
