Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.44915	#FFB4A5	Lee Filters	Moroccan Pink	790
410	0.45866				
415	0.46601				
420	0.46930999999999995				
425	0.4685				
430	0.46881999999999996				
435	0.46808999999999995				
440	0.46598999999999996				
445	0.45872				
450	0.44604				
455	0.43033				
460	0.41342				
465	0.39826				
470	0.38409				
475	0.37204				
480	0.36132				
485	0.35307				
490	0.34529000000000004				
495	0.34043				
500	0.33897				
505	0.3406				
510	0.34652				
515	0.35528				
520	0.36499000000000004				
525	0.37775				
530	0.38811				
535	0.40149999999999997				
540	0.41811				
545	0.44066000000000005				
550	0.46866				
555	0.50498				
560	0.5396				
565	0.57313				
570	0.60289				
575	0.63557				
580	0.66739				
585	0.69741				
590	0.72847				
595	0.76116				
600	0.78927				
605	0.8129500000000001				
610	0.82991				
615	0.8426600000000001				
620	0.85077				
625	0.85414				
630	0.85547				
635	0.8559				
640	0.8521				
645	0.85303				
650	0.85252				
655	0.85348				
660	0.8585699999999999				
665	0.8601000000000001				
670	0.86461				
675	0.87177				
680	0.87725				
685	0.87611				
690	0.88063				
695	0.88359				
700	0.8812099999999999				
705	0.88385				
710	0.8861199999999999				
715	0.88807				
720	0.8897499999999999				
725	0.89119				
730	0.89243				
735	0.89349				
740	0.89441				
745	0.89519				
750	0.89587				
755	0.89645				
760	0.8969499999999999				
765	0.89738				
770	0.89775				
775	0.89806				
780	0.89834				
785	0.89857				
790	0.89877				
795	0.8989400000000001				
800	0.8990600000000001				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
