Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.28667000000000004	#FF3CA0	Lee Filters	Vanity Fair	793
410	0.29769				
415	0.30757				
420	0.30544				
425	0.30818999999999996				
430	0.31579999999999997				
435	0.31661				
440	0.30699000000000004				
445	0.29896999999999996				
450	0.28296				
455	0.25233				
460	0.21697				
465	0.18538				
470	0.15316000000000002				
475	0.11986000000000001				
480	0.09069				
485	0.0673				
490	0.049				
495	0.03365				
500	0.021110000000000004				
505	0.011810000000000001				
510	0.00605				
515	0.0031				
520	0.00184				
525	0.00132				
530	0.00113				
535	0.00096				
540	0.0007000000000000001				
545	0.00037				
550	0.00017999999999999998				
555	0.0001				
560	0.0001				
565	0.0001				
570	0.00021				
575	0.0006900000000000001				
580	0.00344				
585	0.01306				
590	0.0462				
595	0.12406				
600	0.2521				
605	0.40337				
610	0.54095				
615	0.64057				
620	0.70048				
625	0.7399899999999999				
630	0.76904				
635	0.8007500000000001				
640	0.82786				
645	0.8472				
650	0.85488				
655	0.8533700000000001				
660	0.84344				
665	0.84072				
670	0.84284				
675	0.85259				
680	0.86669				
685	0.87969				
690	0.8903				
695	0.8901				
700	0.88571				
705	0.8857299999999999				
710	0.88579				
715	0.88589				
720	0.88606				
725	0.88637				
730	0.8869				
735	0.88778				
740	0.8891100000000001				
745	0.89093				
750	0.8930500000000001				
755	0.8951399999999999				
760	0.8968600000000001				
765	0.8981				
770	0.8989				
775	0.8993800000000001				
780	0.8996500000000001				
785	0.89981				
790	0.8998999999999999				
795	0.89994				
800	0.89996				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
