Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0	#B8D05B	MidOpt	Acrylic Absorptive Near-IR/UV-Block Visible Bandpass Filter	AB555
360	0.0				
370	0.0				
380	0.0				
390	0.0				
400	0.0				
410	0.0				
420	0.0				
430	0.0				
440	0.0002				
450	0.005				
460	0.053				
470	0.1497				
480	0.2303				
490	0.2529				
500	0.25670000000000004				
510	0.2716				
520	0.3018				
530	0.3533				
540	0.4053				
550	0.43200000000000005				
560	0.4341				
570	0.428				
580	0.4214				
590	0.4075				
600	0.3834				
610	0.35009999999999997				
620	0.3062				
630	0.2483				
640	0.18289999999999998				
650	0.1233				
660	0.0799				
670	0.0545				
680	0.0317				
690	0.0143				
700	0.0040999999999999995				
710	0.0007000000000000001				
720	0.0001				
730	0.0				
740	0.0				
750	0.0				
760	0.0				
770	0.0				
780	0.0				
790	0.0				
800	0.0				
810	0.0				
820	0.0				
830	0.0				
840	0.0				
850	0.0				
860	0.0				
870	0.0				
880	0.0				
890	0.0				
900	0.0				
910	0.0003				
920	0.0				
930	0.0001				
940	0.0001				
950	0.0002				
960	0.0				
970	0.0				
980	0.0002				
990	0.0				
1000	0.0001				
1010	0.0001				
1020	0.0001				
1030	0.0002				
1040	0.0001				
1050	0.0001				
1060	0.0				
1070	0.0001				
1080	0.0				
1090	0.0001				
1100	0.0002				
