Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0001	#681C1F	MidOpt	Acrylic NIR Longpass Filter	AC760
360	0.0001				
370	0.0004				
380	0.0032				
390	0.0034999999999999996				
400	0.0012				
410	0.0004				
420	0.0004				
430	0.0005				
440	0.0005				
450	0.0004				
460	0.0004				
470	0.0004				
480	0.0004				
490	0.0005				
500	0.0005				
510	0.0006				
520	0.0006				
530	0.0006				
540	0.0005				
550	0.0004				
560	0.0003				
570	0.0003				
580	0.0003				
590	0.0003				
600	0.0004				
610	0.0004				
620	0.0002				
630	0.0002				
640	0.0002				
650	0.0003				
660	0.0003				
670	0.0002				
680	0.0002				
690	0.0001				
700	0.0002				
710	0.001				
720	0.0067				
730	0.0379				
740	0.1344				
750	0.332				
760	0.5404				
770	0.6922				
780	0.7948000000000001				
790	0.8542000000000001				
800	0.8853				
810	0.9012				
820	0.9092				
830	0.9129999999999999				
840	0.9147				
850	0.9154000000000001				
860	0.915				
870	0.9134				
880	0.9102				
890	0.9073				
900	0.9078				
910	0.9115000000000001				
920	0.9155				
930	0.9185				
940	0.92				
950	0.9205				
960	0.9204000000000001				
970	0.9196				
980	0.9181999999999999				
990	0.9166				
1000	0.9161				
1010	0.9164				
1020	0.9179				
1030	0.9196				
1040	0.9215000000000001				
1050	0.9235				
1060	0.9251999999999999				
1070	0.9262				
1080	0.9264				
1090	0.9256				
1100	0.9229999999999999				
