Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0002	#00AEEF	MidOpt	Narrow Blue Bandpass Filter	BN470
360	0.0002				
370	0.0002				
380	0.0002				
390	0.0002				
400	0.0002				
410	0.0002				
420	0.0002				
430	0.004699999999999999				
440	0.233				
450	0.7023				
460	0.8606999999999999				
470	0.8898999999999999				
480	0.826				
490	0.8809				
500	0.5089				
510	0.0868				
520	0.0166				
530	0.0058				
540	0.0037				
550	0.0018				
560	0.0016				
570	0.0008				
580	0.0008				
590	0.0002				
600	0.0				
610	0.0				
620	0.0				
630	0.0				
640	0.0001				
650	0.0005				
660	0.0004				
670	0.0002				
680	0.0002				
690	0.0008				
700	0.0028000000000000004				
710	0.0023				
720	0.0022				
730	0.0045000000000000005				
740	0.0172				
750	0.042699999999999995				
760	0.023799999999999998				
770	0.0124				
780	0.0116				
790	0.0177				
800	0.019799999999999998				
810	0.009300000000000001				
820	0.0054				
830	0.005600000000000001				
840	0.0104				
850	0.02				
860	0.0127				
870	0.0067				
880	0.0113				
890	0.0171				
900	0.0489				
910	0.030899999999999997				
920	0.01				
930	0.0059				
940	0.0062				
950	0.011200000000000002				
960	0.012				
970	0.0073				
980	0.0032				
990	0.0016				
1000	0.0012				
1010	0.0011				
1020	0.0012				
1030	0.0017000000000000001				
1040	0.0026				
1050	0.004699999999999999				
1060	0.0076				
1070	0.0096				
1080	0.0096				
1090	0.0085				
1100	0.0078000000000000005				
