Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.024900000000000002	#0A0038	MidOpt	Deep-to-Near-UV Bandpass Filter	BP250
210	0.0554				
220	0.13949999999999999				
230	0.2625				
240	0.32289999999999996				
250	0.30870000000000003				
260	0.2561				
270	0.1813				
280	0.115				
290	0.0662				
300	0.0363				
310	0.019799999999999998				
320	0.0113				
330	0.0070999999999999995				
340	0.0045000000000000005				
350	0.0029				
360	0.0018				
370	0.0014000000000000002				
380	0.0013				
390	0.0				
400	0.0				
410	0.0				
420	0.0				
430	0.0				
440	0.0				
450	0.0				
460	0.0				
470	0.0				
480	0.0				
490	0.0				
500	0.0				
510	0.0				
520	0.0				
530	0.0				
540	0.0				
550	0.0				
560	0.0				
570	0.0				
580	0.0				
590	0.0				
600	0.0				
610	0.0				
620	0.0				
630	0.0				
640	0.0				
650	0.0				
660	0.0				
670	0.0				
680	0.0				
690	0.0				
700	0.0				
710	0.0				
720	0.0				
730	0.0				
740	0.0				
750	0.0				
760	0.0				
770	0.0				
780	0.0				
790	0.0				
800	0.0				
810	0.0				
820	0.0				
830	0.0				
840	0.0				
850	0.0				
860	0.0				
870	0.0				
880	0.0				
890	0.0				
900	0.0				
910	0.0				
920	0.0				
930	0.0				
940	0.0				
950	0.0				
960	0.0				
970	0.0				
980	0.0				
990	0.0				
1000	0.0				
1010	0.0				
1020	0.0				
1030	0.0				
1040	0.0				
1050	0.0				
1060	0.0				
1070	0.0				
1080	0.0				
1090	0.0				
1100	0.0				
