Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#231F20	MidOpt	Near-IR Interference Bandpass Filter	Bi808
310	0.0003				
320	0.0001				
330	-0.0001				
340	0.0				
350	0.0				
360	0.0001				
370	0.0001				
380	0.0				
390	0.0001				
400	0.0001				
410	0.0001				
420	0.0003				
430	0.0001				
440	0.0004				
450	0.0006				
460	0.0002				
470	0.001				
480	0.0006				
490	0.0006				
500	0.0003				
510	0.0004				
520	0.0008				
530	0.0038				
540	0.0003				
550	0.0001				
560	0.0006				
570	0.003				
580	0.0017000000000000001				
590	0.0018				
600	0.0006				
610	0.0004				
620	0.0011				
630	0.0002				
640	0.0				
650	0.0006				
660	0.0025				
670	0.0009				
680	0.0009				
690	0.0013				
700	0.0015				
710	0.0017000000000000001				
720	0.002				
730	0.0004				
740	0.0005				
750	0.001				
760	0.0011				
770	0.0029				
780	0.0277				
790	0.43310000000000004				
800	0.8368000000000001				
810	0.8654999999999999				
820	0.8133				
830	0.30329999999999996				
840	0.0262				
850	0.0038				
860	0.0017000000000000001				
870	0.0011				
880	0.0018				
890	0.002				
900	0.0008				
910	0.0005				
920	0.0004				
930	0.0009				
940	0.0007000000000000001				
950	0.0006				
960	0.0007000000000000001				
970	0.002				
980	0.0024				
990	0.0007000000000000001				
1000	0.0003				
1010	0.0006				
1020	0.0011				
1030	0.0022				
1040	0.0032				
1050	0.0037				
1060	0.0038				
1070	0.0034000000000000002				
1080	0.003				
1090	0.0032				
1100	0.0043				
