Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0	#231F20	MidOpt	Near-IR Longpass Filter	LP850
360	0.0				
370	0.0				
380	0.0001				
390	0.0				
400	0.0001				
410	0.0				
420	-0.0001				
430	0.0				
440	0.0				
450	0.0				
460	0.0				
470	0.0				
480	0.0				
490	0.0				
500	0.0				
510	0.0001				
520	0.0				
530	0.0				
540	0.0				
550	0.0001				
560	0.0				
570	0.0				
580	0.0001				
590	0.0				
600	0.0				
610	0.0				
620	0.0				
630	0.0				
640	0.0				
650	0.0				
660	0.0				
670	0.0				
680	0.0				
690	0.0				
700	0.0				
710	0.0				
720	0.0				
730	0.0				
740	0.0				
750	0.0				
760	0.0				
770	0.0				
780	0.0001				
790	0.0004				
800	0.0024				
810	0.0137				
820	0.0645				
830	0.2231				
840	0.46520000000000006				
850	0.6859999999999999				
860	0.8276				
870	0.9015000000000001				
880	0.9397				
890	0.9561				
900	0.9668000000000001				
910	0.972				
920	0.9743				
930	0.9761				
940	0.9773000000000001				
950	0.978				
960	0.9777				
970	0.9777				
980	0.9788				
990	0.9787				
1000	0.9790000000000001				
1010	0.9791				
1020	0.9792000000000001				
1030	0.9789				
1040	0.9791				
1050	0.9789				
1060	0.9786				
1070	0.9787				
1080	0.9783				
1090	0.9786				
1100	0.9781				
