Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0	#231F20	MidOpt	Neutral Density Filter - Absorptive 1.0% Transmission	ND200
360	0.0				
370	0.0001				
380	0.0003				
390	0.0014000000000000002				
400	0.0029				
410	0.0036				
420	0.0043				
430	0.0051				
440	0.0052				
450	0.006500000000000001				
460	0.0078000000000000005				
470	0.008199999999999999				
480	0.0079				
490	0.0076				
500	0.0075				
510	0.0075				
520	0.0079				
530	0.0085				
540	0.0091				
550	0.009399999999999999				
560	0.009300000000000001				
570	0.0088				
580	0.0084				
590	0.0083				
600	0.0087				
610	0.009399999999999999				
620	0.0102				
630	0.0108				
640	0.0113				
650	0.011899999999999999				
660	0.013300000000000001				
670	0.0155				
680	0.019799999999999998				
690	0.0252				
700	0.030600000000000002				
710	0.035				
720	0.038599999999999995				
730	0.0414				
740	0.0435				
750	0.0454				
760	0.0467				
770	0.0478				
780	0.048600000000000004				
790	0.0492				
800	0.0496				
810	0.0499				
820	0.05				
830	0.0499				
840	0.049800000000000004				
850	0.0496				
860	0.0493				
870	0.049				
880	0.0483				
890	0.0478				
900	0.0471				
910	0.04650000000000001				
920	0.0458				
930	0.0452				
940	0.0446				
950	0.044000000000000004				
960	0.0435				
970	0.0429				
980	0.0425				
990	0.0421				
1000	0.0418				
1010	0.0415				
1020	0.041299999999999996				
1030	0.0412				
1040	0.041100000000000005				
1050	0.041100000000000005				
1060	0.0412				
1070	0.041299999999999996				
1080	0.0415				
1090	0.0418				
1100	0.0421				
