Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0699	#BF2E65	MidOpt	Magenta Dichroic Shortpass Filter (Green Block)	NF550
360	0.2403				
370	0.7223				
380	0.7182				
390	0.7467				
400	0.8748999999999999				
410	0.8995000000000001				
420	0.8981999999999999				
430	0.9220999999999999				
440	0.8606				
450	0.8440000000000001				
460	0.7722				
470	0.8106				
480	0.3235				
490	0.0323				
500	0.0083				
510	0.004				
520	0.003				
530	0.0032				
540	0.0046				
550	0.0088				
560	0.0225				
570	0.0757				
580	0.285				
590	0.633				
600	0.7946				
610	0.8491				
620	0.8767				
630	0.8986				
640	0.8918				
650	0.8369				
660	0.78				
670	0.7908				
680	0.8842				
690	0.9370999999999999				
700	0.7572				
710	0.4803				
720	0.2968				
730	0.2034				
740	0.1583				
750	0.1361				
760	0.1275				
770	0.1292				
780	0.1362				
790	0.1483				
800	0.1671				
810	0.1893				
820	0.2115				
830	0.23620000000000002				
840	0.261				
850	0.28600000000000003				
860	0.3151				
870	0.3483				
880	0.38659999999999994				
890	0.42710000000000004				
900	0.4705				
910	0.5205				
920	0.5783				
930	0.6409				
940	0.7076				
950	0.7774				
960	0.8406				
970	0.8885				
980	0.9131				
990	0.9125				
1000	0.8917				
1010	0.858				
1020	0.8212				
1030	0.7873				
1040	0.763				
1050	0.7490000000000001				
1060	0.746				
1070	0.7528				
1080	0.7683				
1090	0.7909999999999999				
1100	0.8179000000000001				
