Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.0019	#231F20	MidOpt	Neutral Density Filter - Reflective 1% Transmission	Ni200
410	0.0019				
420	0.0019				
430	0.0019				
440	0.002				
450	0.0019				
460	0.002				
470	0.002				
480	0.0021				
490	0.0021				
500	0.0021				
510	0.0022				
520	0.0022				
530	0.0023				
540	0.0024				
550	0.0024				
560	0.0024				
570	0.0026				
580	0.0026				
590	0.0027				
600	0.0028000000000000004				
610	0.0029				
620	0.003				
630	0.0031				
640	0.0032				
650	0.0032				
660	0.0034000000000000002				
670	0.0034000000000000002				
680	0.0034999999999999996				
690	0.0037				
700	0.0038				
710	0.0038				
720	0.0039000000000000003				
730	0.004				
740	0.0042				
750	0.0043				
760	0.0043				
770	0.0045000000000000005				
780	0.0046				
790	0.004699999999999999				
800	0.004699999999999999				
810	0.005				
820	0.005				
830	0.005				
840	0.0052				
850	0.0054				
860	0.0054				
870	0.0055000000000000005				
880	0.0062				
890	0.0060999999999999995				
900	0.006999999999999999				
910	0.006				
920	0.006500000000000001				
930	0.0066				
940	0.0066				
950	0.0066				
960	0.0067				
970	0.006999999999999999				
980	0.0070999999999999995				
990	0.0074				
1000	0.0074				
1010	0.0076				
1020	0.0076				
1030	0.0077				
1040	0.0079				
1050	0.008199999999999999				
1060	0.0083				
1070	0.0084				
1080	0.0086				
1090	0.0087				
1100	0.0088				
1110	0.009000000000000001				
1120	0.009000000000000001				
1130	0.0092				
1140	0.009399999999999999				
1150	0.0095				
1160	0.0097				
1170	0.009899999999999999				
1180	0.01				
1190	0.0101				
1200	0.0103				
1210	0.0105				
1220	0.0106				
1230	0.010700000000000001				
1240	0.0109				
1250	0.011000000000000001				
1260	0.011200000000000002				
1270	0.0113				
1280	0.011399999999999999				
1290	0.0116				
1300	0.011699999999999999				
1310	0.0118				
1320	0.012				
1330	0.012199999999999999				
1340	0.0123				
1350	0.0125				
1360	0.0124				
1370	0.0126				
1380	0.0128				
1390	0.0129				
1400	0.013000000000000001				
1410	0.0131				
1420	0.013300000000000001				
1430	0.0134				
1440	0.013500000000000002				
1450	0.0137				
1460	0.0139				
1470	0.013999999999999999				
1480	0.0141				
1490	0.0144				
1500	0.0144				
1510	0.014499999999999999				
1520	0.0146				
1530	0.0149				
1540	0.015				
1550	0.0149				
1560	0.0151				
1570	0.015300000000000001				
1580	0.0154				
1590	0.0155				
1600	0.015600000000000001				
1610	0.015700000000000002				
1620	0.016				
1630	0.0159				
1640	0.0163				
1650	0.0155				
1660	0.0151				
1670	0.0149				
1680	0.0158				
1690	0.015300000000000001				
1700	0.0154				
1710	0.015600000000000001				
1720	0.0155				
1730	0.0151				
1740	0.0154				
1750	0.015600000000000001				
1760	0.016399999999999998				
1770	0.0163				
1780	0.0167				
1790	0.0169				
1800	0.015700000000000002				
1810	0.017				
1820	0.0168				
1830	0.0181				
1840	0.0167				
1850	0.018000000000000002				
1860	0.0174				
1870	0.016399999999999998				
1880	0.0155				
1890	0.0173				
1900	0.0178				
1910	0.019299999999999998				
1920	0.0189				
1930	0.0182				
1940	0.0161				
1950	0.022400000000000003				
1960	0.0166				
1970	0.0175				
1980	0.018000000000000002				
1990	0.0181				
2000	0.0202				
