Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0001	#FEF4A4	MidOpt	Near-IR/Mid-Red Dichroic Block Shortpass Filter	SP650
310	0.0039000000000000003				
320	0.024300000000000002				
330	0.0012				
340	0.0037				
350	0.3761				
360	0.8117				
370	0.8391				
380	0.6551				
390	0.7445999999999999				
400	0.8654000000000001				
410	0.9370999999999999				
420	0.9456				
430	0.9439				
440	0.9586				
450	0.945				
460	0.9575				
470	0.9407				
480	0.9348000000000001				
490	0.9654				
500	0.9648				
510	0.966				
520	0.9706999999999999				
530	0.9487000000000001				
540	0.9803000000000001				
550	0.9795				
560	0.9490000000000001				
570	0.9729000000000001				
580	0.9548000000000001				
590	0.9384				
600	0.9043000000000001				
610	0.9198999999999999				
620	0.9045000000000001				
630	0.9512999999999999				
640	0.7879				
650	0.46880000000000005				
660	0.152				
670	0.0753				
680	0.0475				
690	0.0225				
700	0.011200000000000002				
710	0.0102				
720	0.0154				
730	0.013300000000000001				
740	0.0064				
750	0.0049				
760	0.0072				
770	0.0128				
780	0.0097				
790	0.005				
800	0.0045000000000000005				
810	0.0085				
820	0.0332				
830	0.0225				
840	0.0060999999999999995				
850	0.0042				
860	0.0055000000000000005				
870	0.0125				
880	0.013500000000000002				
890	0.0043				
900	0.0015				
910	0.0013				
920	0.0014000000000000002				
930	0.0009				
940	0.0011				
950	0.0024				
960	0.005699999999999999				
970	0.0097				
980	0.0096				
990	0.0072				
1000	0.0063				
1010	0.0062				
1020	0.0078000000000000005				
1030	0.012				
1040	0.0215				
1050	0.0463				
1060	0.1182				
1070	0.3134				
1080	0.5764				
1090	0.6606000000000001				
1100	0.6840999999999999				
