Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.0	#838383	Omega	523DMSP Dichroic	W2564
451	0.00035000000000000005				
452	0.0				
453	0.00012				
454	0.0				
455	0.0005099999999999999				
456	7.000000000000001e-05				
457	0.0				
458	0.0				
459	0.00012				
460	0.0				
461	0.0				
462	0.0				
463	6e-05				
464	0.00014000000000000001				
465	0.00052				
466	0.00104				
467	0.00201				
468	0.00375				
469	0.004079999999999999				
470	0.00775				
471	0.01283				
472	0.02674				
473	0.052919999999999995				
474	0.07526				
475	0.14075				
476	0.21022				
477	0.31128				
478	0.37567999999999996				
479	0.42674				
480	0.46104				
481	0.47607				
482	0.4783				
483	0.47929				
484	0.48131999999999997				
485	0.48899000000000004				
486	0.5094299999999999				
487	0.55176				
488	0.63244				
489	0.71748				
490	0.78427				
491	0.83664				
492	0.85982				
493	0.86356				
494	0.86764				
495	0.87277				
496	0.88078				
497	0.8824				
498	0.88632				
499	0.8868				
500	0.88898				
501	0.8902599999999999				
502	0.88539				
503	0.88007				
504	0.8717400000000001				
505	0.85834				
506	0.8395199999999999				
507	0.82336				
508	0.8146800000000001				
509	0.7997799999999999				
510	0.79095				
511	0.7911499999999999				
512	0.79971				
513	0.80781				
514	0.8241299999999999				
515	0.8315699999999999				
516	0.82675				
517	0.7999299999999999				
518	0.76106				
519	0.72456				
520	0.67511				
521	0.60701				
522	0.58288				
523	0.5252600000000001				
524	0.48656999999999995				
525	0.43875				
526	0.39007				
527	0.34345				
528	0.29087				
529	0.23654				
530	0.20689				
531	0.16631				
532	0.14012				
533	0.11182				
534	0.09337999999999999				
535	0.07123				
536	0.06171				
537	0.050170000000000006				
538	0.04104				
539	0.03525				
540	0.028319999999999998				
541	0.0239				
542	0.02009				
543	0.01733				
544	0.012410000000000001				
545	0.01113				
546	0.00904				
547	0.00814				
548	0.00612				
549	0.00459				
550	0.00441				
551	0.00357				
552	0.00662				
553	0.00344				
554	0.0028699999999999997				
555	0.00063				
556	0.00188				
557	0.00409				
558	0.0				
559	0.00135				
560	0.0				
561	0.00047				
562	0.0016200000000000001				
563	0.0				
564	0.0				
565	0.00197				
566	0.0				
567	0.00104				
568	0.0013700000000000001				
569	0.00098				
570	0.00054				
571	0.0				
572	0.00079				
573	0.0				
574	0.0				
575	0.00031				
576	0.0				
577	0.00111				
578	0.0				
579	0.0				
580	0.0				
581	0.00121				
582	0.00046				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.00027				
590	0.0				
591	0.00043999999999999996				
592	0.0				
593	0.0				
594	0.00128				
595	0.0				
596	0.0				
597	7.000000000000001e-05				
598	0.0				
599	0.0				
600	0.00018999999999999998				
601	0.00169				
602	0.0				
603	0.0				
604	0.00165				
605	0.00021999999999999998				
606	0.0				
607	0.0				
608	0.0005899999999999999				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.00117				
616	0.0				
617	0.00021999999999999998				
618	0.0				
619	0.0016300000000000002				
620	0.0				
621	0.0023				
622	0.0				
623	0.00148				
624	0.0				
625	0.0014000000000000002				
626	0.0				
627	0.00101				
628	0.0				
629	0.00031				
630	0.0				
631	0.00125				
632	0.00073				
633	0.0037099999999999998				
634	0.00028000000000000003				
635	0.0031				
636	0.006770000000000001				
637	0.00881				
638	0.0074399999999999996				
639	0.01192				
640	0.01198				
641	0.0245				
642	0.03464				
643	0.06526				
644	0.10384				
645	0.14318				
646	0.18045000000000003				
647	0.20587				
648	0.21403				
649	0.22239				
650	0.2305				
