Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.0066300000000000005	#838383	Omega	532-633DUALRB Notch (Rejection Band)	W2654
401	0.006540000000000001				
402	0.00609				
403	0.00557				
404	0.0053300000000000005				
405	0.00502				
406	0.00492				
407	0.0051600000000000005				
408	0.005				
409	0.00504				
410	0.0060999999999999995				
411	0.006770000000000001				
412	0.00569				
413	0.00461				
414	0.00582				
415	0.00701				
416	0.00773				
417	0.011160000000000002				
418	0.01474				
419	0.01774				
420	0.01935				
421	0.01939				
422	0.01807				
423	0.015449999999999998				
424	0.01171				
425	0.00756				
426	0.00436				
427	0.0028599999999999997				
428	0.0023499999999999997				
429	0.0021				
430	0.00188				
431	0.00172				
432	0.00166				
433	0.0016300000000000002				
434	0.00166				
435	0.0017000000000000001				
436	0.00166				
437	0.0015199999999999999				
438	0.00157				
439	0.00185				
440	0.0020599999999999998				
441	0.0019				
442	0.00154				
443	0.0013700000000000001				
444	0.0014099999999999998				
445	0.0013900000000000002				
446	0.0013900000000000002				
447	0.0017599999999999998				
448	0.0022400000000000002				
449	0.00222				
450	0.0017599999999999998				
451	0.00209				
452	0.00363				
453	0.00515				
454	0.00522				
455	0.0035299999999999997				
456	0.00196				
457	0.0032400000000000003				
458	0.00544				
459	0.0063				
460	0.01043				
461	0.01414				
462	0.016730000000000002				
463	0.02146				
464	0.02476				
465	0.027000000000000003				
466	0.02846				
467	0.02919				
468	0.02935				
469	0.02886				
470	0.027839999999999997				
471	0.026230000000000003				
472	0.02405				
473	0.02112				
474	0.01745				
475	0.012960000000000001				
476	0.00788				
477	0.00381				
478	0.0023				
479	0.00218				
480	0.00194				
481	0.0015				
482	0.00114				
483	0.00094				
484	0.0008799999999999999				
485	0.0008500000000000001				
486	0.00086				
487	0.0008500000000000001				
488	0.00083				
489	0.00082				
490	0.00079				
491	0.00078				
492	0.0008				
493	0.00089				
494	0.00099				
495	0.0010299999999999999				
496	0.00099				
497	0.00086				
498	0.00075				
499	0.00074				
500	0.00077				
501	0.00078				
502	0.0007599999999999999				
503	0.00079				
504	0.00097				
505	0.00131				
506	0.00159				
507	0.00156				
508	0.00123				
509	0.00095				
510	0.0013700000000000001				
511	0.0025700000000000002				
512	0.0039000000000000003				
513	0.0046300000000000004				
514	0.00442				
515	0.00316				
516	0.0015199999999999999				
517	0.00146				
518	0.00329				
519	0.00494				
520	0.00502				
521	0.0072499999999999995				
522	0.01135				
523	0.01473				
524	0.01894				
525	0.02322				
526	0.026600000000000002				
527	0.02933				
528	0.031400000000000004				
529	0.03313				
530	0.03448				
531	0.03552				
532	0.036230000000000005				
533	0.03678				
534	0.03693				
535	0.03695				
536	0.03666				
537	0.03617				
538	0.0354				
539	0.034390000000000004				
540	0.03318				
541	0.03167				
542	0.02986				
543	0.02771				
544	0.0252				
545	0.02228				
546	0.01874				
547	0.014499999999999999				
548	0.00958				
549	0.0049				
550	0.00253				
551	0.00256				
552	0.00292				
553	0.00269				
554	0.0020399999999999997				
555	0.0013800000000000002				
556	0.00094				
557	0.00079				
558	0.00077				
559	0.00077				
560	0.00074				
561	0.0007000000000000001				
562	0.00063				
563	0.0005899999999999999				
564	0.00055				
565	0.00058				
566	0.0005600000000000001				
567	0.0005899999999999999				
568	0.0006				
569	0.0006				
570	0.00061				
571	0.00062				
572	0.00061				
573	0.00061				
574	0.0006				
575	0.0006				
576	0.00058				
577	0.0005600000000000001				
578	0.00057				
579	0.00058				
580	0.0006				
581	0.0005899999999999999				
582	0.00058				
583	0.00055				
584	0.00055				
585	0.0005899999999999999				
586	0.0007000000000000001				
587	0.00086				
588	0.0010299999999999999				
589	0.00115				
590	0.00114				
591	0.00104				
592	0.0008100000000000001				
593	0.00064				
594	0.0006900000000000001				
595	0.0011				
596	0.00178				
597	0.0025900000000000003				
598	0.00322				
599	0.0035399999999999997				
600	0.00344				
601	0.0028799999999999997				
602	0.00193				
603	0.00101				
604	0.00084				
605	0.0017499999999999998				
606	0.00308				
607	0.004079999999999999				
608	0.00419				
609	0.00317				
610	0.006690000000000001				
611	0.0101				
612	0.01319				
613	0.015569999999999999				
614	0.01951				
615	0.022789999999999998				
616	0.02557				
617	0.02794				
618	0.029990000000000003				
619	0.03183				
620	0.03342				
621	0.03483				
622	0.03597				
623	0.03703				
624	0.03798				
625	0.038759999999999996				
626	0.039420000000000004				
627	0.03993				
628	0.040369999999999996				
629	0.04057				
630	0.04092				
631	0.040999999999999995				
632	0.0409				
633	0.0408				
634	0.04066				
635	0.040350000000000004				
636	0.03988				
637	0.03936				
638	0.03883				
639	0.03805				
640	0.03718				
641	0.03624				
642	0.035230000000000004				
643	0.03399				
644	0.03268				
645	0.03123				
646	0.0296				
647	0.027770000000000003				
648	0.025750000000000002				
649	0.02351				
650	0.02096				
651	0.01803				
652	0.014650000000000002				
653	0.01077				
654	0.00651				
655	0.00322				
656	0.00234				
657	0.00302				
658	0.0037199999999999998				
659	0.00384				
660	0.0034999999999999996				
661	0.0028899999999999998				
662	0.00213				
663	0.00145				
664	0.0010199999999999999				
665	0.0008500000000000001				
666	0.00086				
667	0.00094				
668	0.001				
669	0.00101				
670	0.00095				
671	0.00083				
672	0.0007199999999999999				
673	0.00063				
674	0.00057				
675	0.0005600000000000001				
676	0.0006				
677	0.00065				
678	0.0006900000000000001				
679	0.00074				
680	0.00074				
681	0.00073				
682	0.0007199999999999999				
683	0.00068				
684	0.00063				
685	0.00061				
686	0.0005899999999999999				
687	0.00054				
688	0.0005600000000000001				
689	0.00055				
690	0.00057				
691	0.0006				
692	0.00061				
693	0.00061				
694	0.00065				
695	0.00066				
696	0.00068				
697	0.00067				
698	0.00067				
699	0.00066				
700	0.00065				
701	0.00063				
702	0.00062				
703	0.00061				
704	0.0005899999999999999				
705	0.0006				
706	0.00058				
707	0.00061				
708	0.00064				
709	0.00068				
710	0.00073				
711	0.0008				
712	0.0008500000000000001				
713	0.00089				
714	0.00091				
715	0.00094				
716	0.00089				
717	0.0008500000000000001				
718	0.0007599999999999999				
719	0.00068				
720	0.00063				
721	0.00064				
722	0.00073				
723	0.0008500000000000001				
724	0.00115				
725	0.00145				
726	0.0017499999999999998				
727	0.0020499999999999997				
728	0.00227				
729	0.00242				
730	0.00243				
731	0.00231				
732	0.00202				
733	0.00168				
734	0.00128				
735	0.00092				
736	0.0007199999999999999				
737	0.00083				
738	0.00126				
739	0.0019				
740	0.0025900000000000003				
741	0.00311				
742	0.0034599999999999995				
743	0.00338				
744	0.00293				
745	0.00214				
746	0.00151				
747	0.0035499999999999998				
748	0.00658				
749	0.00918				
