Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
510	0.0	#838383	Omega	600BP45-52 Bandpass	W2770
511	0.0				
512	0.0				
513	2e-05				
514	0.0				
515	0.0				
516	0.0				
517	4e-05				
518	0.0				
519	2e-05				
520	0.0				
521	0.0				
522	0.0				
523	1e-05				
524	0.0				
525	2e-05				
526	0.0				
527	0.0				
528	2e-05				
529	0.0				
530	0.0				
531	0.0				
532	1e-05				
533	0.0				
534	1e-05				
535	2e-05				
536	0.0				
537	0.0				
538	0.0				
539	2e-05				
540	4e-05				
541	3e-05				
542	0.0				
543	0.0				
544	2e-05				
545	0.0				
546	7.000000000000001e-05				
547	5e-05				
548	0.0				
549	2e-05				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	3e-05				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	3e-05				
560	0.00014000000000000001				
561	0.00097				
562	0.00376				
563	0.00213				
564	0.00074				
565	0.0005099999999999999				
566	0.0005099999999999999				
567	0.00058				
568	0.0008500000000000001				
569	0.00134				
570	0.0023599999999999997				
571	0.00477				
572	0.01138				
573	0.03225				
574	0.10729				
575	0.31165				
576	0.52044				
577	0.5386099999999999				
578	0.53281				
579	0.57025				
580	0.61723				
581	0.63929				
582	0.6419799999999999				
583	0.6459900000000001				
584	0.6634399999999999				
585	0.69328				
586	0.72287				
587	0.74277				
588	0.74887				
589	0.74979				
590	0.7502				
591	0.75566				
592	0.7624				
593	0.76862				
594	0.76678				
595	0.75928				
596	0.7482899999999999				
597	0.73863				
598	0.73438				
599	0.7363599999999999				
600	0.74161				
601	0.75006				
602	0.7572199999999999				
603	0.7627299999999999				
604	0.7651600000000001				
605	0.76748				
606	0.76709				
607	0.76735				
608	0.76571				
609	0.76211				
610	0.75529				
611	0.74646				
612	0.7345999999999999				
613	0.71782				
614	0.69317				
615	0.6522199999999999				
616	0.59225				
617	0.51388				
618	0.4261				
619	0.33887				
620	0.2616				
621	0.19838				
622	0.14901				
623	0.11076000000000001				
624	0.08105000000000001				
625	0.058600000000000006				
626	0.04183				
627	0.02928				
628	0.020099999999999996				
629	0.01362				
630	0.009170000000000001				
631	0.00609				
632	0.0040100000000000005				
633	0.00269				
634	0.00182				
635	0.00125				
636	0.00082				
637	0.00058				
638	0.00039				
639	0.0003				
640	0.00021999999999999998				
641	0.00016				
642	0.00013				
643	8.999999999999999e-05				
644	6e-05				
645	5e-05				
646	2e-05				
647	5e-05				
648	5e-05				
649	2e-05				
650	3e-05				
651	0.0				
652	0.0				
653	3e-05				
654	1e-05				
655	0.0				
656	0.0				
657	3e-05				
658	0.0				
659	6e-05				
660	0.0				
661	1e-05				
662	0.0				
663	0.0				
664	0.0				
665	4e-05				
666	0.0				
667	1e-05				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	1e-05				
674	1e-05				
675	5e-05				
676	2e-05				
677	0.0				
678	0.0				
679	0.0				
680	3e-05				
